Date	Open	High	Low	Close	Volume
25-Nov-13	521.02	525.87	521	523.74	8192629
22-Nov-13	519.52	522.16	518.53	519.8	7990176
21-Nov-13	517.6	521.21	513.67	521.14	9358123
20-Nov-13	519.23	520.42	514.33	515	6935114
19-Nov-13	519.03	523.38	517.97	519.55	7462101
18-Nov-13	524.99	527.19	518.2	518.63	8748032
15-Nov-13	526.58	529.09	524.49	524.99	11354252
14-Nov-13	522.81	529.28	521.87	528.16	10086441
13-Nov-13	518	522.25	516.96	520.63	7043561
12-Nov-13	517.67	523.92	517	520.01	7302093
11-Nov-13	519.99	521.67	514.41	519.05	8123329
8-Nov-13	514.58	521.13	512.59	520.56	9975649
7-Nov-13	519.58	523.19	512.38	512.49	9379300
6-Nov-13	524.15	524.86	518.2	520.92	7977736
5-Nov-13	524.58	528.88	523	525.45	9481153
4-Nov-13	521.1	526.82	518.81	526.75	8736719
1-Nov-13	524.02	524.8	515.84	520.03	9817472
31-Oct-13	525	527.49	521.27	522.7	9846255
30-Oct-13	519.61	527.52	517.02	524.9	12648671
29-Oct-13	536.27	539.25	514.54	516.68	22707445
28-Oct-13	529.04	531	523.21	529.88	19658589
25-Oct-13	531.32	533.23	525.11	525.96	12003283
24-Oct-13	525	532.47	522.45	531.91	12359914
23-Oct-13	519	525.67	519	524.96	11204446
22-Oct-13	526.4	528.45	508.03	519.87	19073679
21-Oct-13	511.77	524.3	511.52	521.36	14218135
18-Oct-13	505.99	509.26	505.71	508.89	10376510
17-Oct-13	499.98	504.78	499.68	504.5	9056905
16-Oct-13	500.79	502.53	499.23	501.11	8967859
15-Oct-13	497.5	502	495.52	498.68	11431229
14-Oct-13	489.83	497.58	489.35	496.04	9353506
11-Oct-13	486.99	493.84	485.16	492.81	9562134
10-Oct-13	491.32	492.38	487.04	489.64	9950070
9-Oct-13	484.64	487.79	478.28	486.59	10775888
8-Oct-13	489.94	490.64	480.54	480.94	10262868
7-Oct-13	486.56	492.65	485.35	487.75	11153301
4-Oct-13	483.86	484.6	478.6	483.03	9245340
3-Oct-13	490.51	492.35	480.74	483.41	11526929
2-Oct-13	485.63	491.8	483.75	489.56	10222866
1-Oct-13	478.45	489.14	478.38	487.96	12638665
30-Sep-13	477.25	481.66	474.41	476.75	9230794
27-Sep-13	483.78	484.67	480.72	482.75	8144247
26-Sep-13	486	488.56	483.9	486.22	8472169
25-Sep-13	489.2	489.64	481.43	481.53	11319881
24-Sep-13	494.88	495.47	487.82	489.1	13012249
23-Sep-13	496.1	496.91	482.6	490.64	27105959
20-Sep-13	478	478.55	466	467.41	24975046
19-Sep-13	470.7	475.83	469.25	472.3	14447816
18-Sep-13	463.18	466.35	460.66	464.68	16316472
17-Sep-13	447.96	459.71	447.5	455.32	14263539
16-Sep-13	461	461.61	447.22	450.12	19591095
13-Sep-13	469.34	471.83	464.7	464.9	10672634
12-Sep-13	468.5	475.4	466.01	472.69	14430353
11-Sep-13	467.01	473.69	464.81	467.71	31932384
10-Sep-13	506.2	507.45	489.5	494.64	26542696
9-Sep-13	505	507.92	503.48	506.17	12010661
6-Sep-13	498.44	499.38	489.95	498.22	12672876
5-Sep-13	500.25	500.68	493.64	495.27	8441697
4-Sep-13	499.56	502.24	496.28	498.69	12322554
3-Sep-13	493.1	500.6	487.35	488.58	11860738
30-Aug-13	492	492.95	486.5	487.22	9728684
29-Aug-13	491.65	496.5	491.13	491.7	8559102
28-Aug-13	486	495.8	486	490.9	10985954
27-Aug-13	498	502.51	486.3	488.59	15102298
26-Aug-13	500.75	510.2	500.5	502.97	11820150
23-Aug-13	503.27	503.35	499.35	501.02	7954603
22-Aug-13	504.98	505.59	498.2	502.96	8721668
21-Aug-13	503.59	507.15	501.2	502.36	11995615
20-Aug-13	509.71	510.57	500.82	501.07	12810249
19-Aug-13	504.34	513.74	504	507.74	18232783
16-Aug-13	500.15	502.94	498.86	502.33	12939408
15-Aug-13	496.42	502.4	489.08	497.91	17510501
14-Aug-13	497.88	504.25	493.4	498.5	27013273
13-Aug-13	470.94	494.66	468.05	489.57	31497848
12-Aug-13	456.86	468.65	456.63	467.36	13015470
9-Aug-13	458.64	460.46	453.65	454.45	9557887
8-Aug-13	463.86	464.1	457.95	461.01	9142834
7-Aug-13	463.8	467	461.77	464.98	10673424
6-Aug-13	468.02	471.89	462.17	465.25	11961220
5-Aug-13	464.69	470.67	462.15	469.45	11387656
2-Aug-13	458.01	462.85	456.66	462.54	9813618
1-Aug-13	455.75	456.8	453.26	456.68	7366046
31-Jul-13	454.99	457.34	449.43	452.53	11534193
30-Jul-13	449.96	457.15	449.23	453.32	11050795
29-Jul-13	440.8	449.99	440.2	447.79	8872900
26-Jul-13	435.3	441.04	434.34	440.99	7152679
25-Jul-13	440.7	441.4	435.81	438.5	8202948
24-Jul-13	438.93	444.59	435.26	440.51	21144832
23-Jul-13	426	426.96	418.71	418.99	13192629
22-Jul-13	429.46	429.75	425.47	426.31	7428228
19-Jul-13	433.1	433.98	424.35	424.95	9599245
18-Jul-13	433.38	434.87	430.61	431.76	7822974
17-Jul-13	429.7	432.22	428.22	430.31	7109152
16-Jul-13	426.52	430.71	424.17	430.2	7733481
15-Jul-13	425.01	431.46	424.8	427.44	8649015
12-Jul-13	427.65	429.79	423.41	426.51	9987209
11-Jul-13	422.95	428.25	421.17	427.29	11659852
10-Jul-13	419.6	424.8	418.25	420.73	10050117
9-Jul-13	413.6	423.5	410.38	422.35	12596034
8-Jul-13	420.11	421	410.65	415.05	10654060
5-Jul-13	420.39	423.29	415.35	417.42	9788680
3-Jul-13	420.86	422.98	417.45	420.8	8604594
2-Jul-13	409.96	421.63	409.47	418.49	16788797
1-Jul-13	402.69	412.27	401.22	409.22	13970435
28-Jun-13	391.36	400.27	388.87	396.53	20665631
27-Jun-13	399.25	401.39	393.54	393.78	12050007
26-Jun-13	403.9	404.79	395.66	398.07	13140939
25-Jun-13	405.7	407.79	398.83	402.63	11226398
24-Jun-13	407.4	408.66	398.05	402.54	17169490
21-Jun-13	418.49	420	408.1	413.5	17185334
20-Jun-13	419.3	425.98	415.17	416.84	12767794
19-Jun-13	431.4	431.66	423	423	11108255
18-Jun-13	431.56	434.9	430.21	431.77	6970064
17-Jun-13	431.44	435.7	430.36	432	9265779
14-Jun-13	435.4	436.29	428.5	430.05	9381840
13-Jun-13	432.5	437.14	428.75	435.96	10218298
12-Jun-13	439.5	441.25	431.5	432.19	9479524
11-Jun-13	435.74	442.76	433.32	437.6	10203764
10-Jun-13	444.73	449.08	436.8	438.89	16084149
7-Jun-13	436.5	443.24	432.77	441.81	14455098
6-Jun-13	445.47	447	434.05	438.46	14895494
5-Jun-13	445.65	450.72	443.71	445.11	10378191
4-Jun-13	453.22	454.43	447.39	449.31	10454503
3-Jun-13	447.78	452.36	442.48	450.72	13298263
31-May-13	452.5	457.1	449.5	449.74	13725006
30-May-13	445.65	454.5	444.51	451.58	12632664
29-May-13	440	447.5	439.4	444.95	11813667
28-May-13	449.9	451.11	440.85	441.44	13790884
24-May-13	440.85	445.66	440.36	445.15	9872377
23-May-13	435.95	446.16	435.79	442.14	12620748
22-May-13	444.05	448.35	438.22	441.35	15763076
21-May-13	438.15	445.48	434.2	439.66	16296320
20-May-13	431.91	445.8	430.1	442.93	16127712
17-May-13	439.05	440.09	431.01	433.26	15288547
16-May-13	423.24	437.85	418.9	434.58	21552354
15-May-13	439.16	441	422.36	428.85	26486155
14-May-13	453.85	455.2	442.15	443.86	15968420
13-May-13	451.51	457.9	451.5	454.74	11325330
10-May-13	457.97	459.71	450.48	452.97	11958926
9-May-13	459.81	463	455.58	456.77	14241068
8-May-13	459.04	465.37	455.81	463.84	16878434
7-May-13	464.97	465.75	453.7	458.66	17276868
6-May-13	455.71	462.2	454.31	460.71	17737166
3-May-13	451.31	453.23	449.15	449.98	12911684
2-May-13	441.78	448.59	440.63	445.52	15072312
1-May-13	444.46	444.93	434.39	439.29	18112671
