Date,Open,High,Low,Close,Volume
29-Nov-13,80.18,80.65,79.98,80.02,835024
27-Nov-13,80.30,80.52,79.96,80.33,1063364
26-Nov-13,83.18,83.82,79.80,80.31,2319489
25-Nov-13,80.00,80.40,79.94,80.12,1687196
22-Nov-13,79.65,80.04,79.56,80.01,1550367
21-Nov-13,79.32,79.87,79.13,79.78,1925045
20-Nov-13,79.91,80.13,78.81,79.05,2875802
19-Nov-13,78.80,80.44,78.28,79.71,6780229
18-Nov-13,77.36,77.70,77.14,77.36,1761619
15-Nov-13,76.87,77.40,76.55,77.33,2347742
14-Nov-13,76.64,77.43,76.51,76.97,2190298
13-Nov-13,75.65,76.50,75.24,76.45,2437549
12-Nov-13,75.69,75.90,75.39,75.72,1812594
11-Nov-13,75.83,76.04,75.50,75.76,1166717
8-Nov-13,75.44,76.03,75.21,76.01,1379200
7-Nov-13,76.15,76.41,75.21,75.33,1532707
6-Nov-13,75.34,76.05,75.32,75.83,1254660
5-Nov-13,75.25,75.67,74.74,75.51,1166933
4-Nov-13,75.72,75.91,74.95,75.51,1581083
1-Nov-13,75.35,75.48,74.89,75.31,1852344
31-Oct-13,74.26,75.25,74.01,75.02,2727019
30-Oct-13,75.91,75.91,73.77,74.30,2169549
29-Oct-13,76.04,76.66,75.57,76.35,1683396
28-Oct-13,75.32,76.08,75.15,75.67,1649357
25-Oct-13,75.31,75.71,74.96,75.51,1166766
24-Oct-13,75.30,75.64,75.14,75.41,1386990
23-Oct-13,75.24,75.31,74.82,75.11,1111598
22-Oct-13,74.92,75.75,74.64,75.45,1366720
21-Oct-13,73.99,74.75,73.89,74.70,1238597
18-Oct-13,74.15,74.50,73.87,74.19,1722746
17-Oct-13,73.41,74.15,73.25,74.08,1412504
16-Oct-13,72.95,73.79,72.72,73.72,1814173
15-Oct-13,72.54,72.70,72.18,72.32,1791176
14-Oct-13,72.36,72.89,72.14,72.86,987343
11-Oct-13,71.26,72.53,71.22,72.51,1076046
10-Oct-13,70.84,71.93,70.61,71.81,1402502
9-Oct-13,70.25,70.60,69.91,70.28,1415390
8-Oct-13,71.14,71.24,70.17,70.24,1497406
7-Oct-13,70.89,71.35,70.52,71.02,880558
4-Oct-13,71.26,71.61,70.94,71.52,1240975
3-Oct-13,71.71,72.00,70.89,71.10,1362596
2-Oct-13,72.00,72.10,71.66,72.02,1721984
1-Oct-13,72.58,72.58,71.89,72.16,1485427
30-Sep-13,72.31,72.51,71.89,72.38,1757620
27-Sep-13,72.70,72.73,71.61,72.56,1396033
26-Sep-13,72.83,73.20,72.57,72.92,1199344
25-Sep-13,73.09,73.22,72.32,72.52,1172515
24-Sep-13,72.45,73.30,72.29,72.95,1918665
23-Sep-13,74.20,74.62,72.71,73.13,3032130
20-Sep-13,74.76,74.88,74.36,74.43,2336915
19-Sep-13,74.89,74.95,74.48,74.68,1657367
18-Sep-13,74.17,74.86,73.75,74.74,1654128
17-Sep-13,74.24,74.41,73.90,74.16,2295138
16-Sep-13,74.85,74.93,74.03,74.10,1977515
13-Sep-13,74.23,74.33,73.46,74.09,1882355
12-Sep-13,73.91,74.51,73.75,74.18,1336110
11-Sep-13,73.36,74.10,73.18,74.01,2952591
10-Sep-13,74.38,74.38,73.74,73.74,3155981
9-Sep-13,73.14,73.94,73.14,73.79,1675073
6-Sep-13,72.45,73.28,71.37,73.13,2205364
5-Sep-13,71.83,72.38,71.79,72.34,1167603
4-Sep-13,70.09,72.12,69.76,72.05,1672351
3-Sep-13,71.98,72.45,71.00,71.41,1816191
30-Aug-13,71.29,71.31,70.76,71.16,1505990
29-Aug-13,70.78,71.64,70.42,71.30,1417651
28-Aug-13,71.12,71.40,70.85,70.94,1589228
27-Aug-13,71.22,71.58,70.90,70.94,1626064
26-Aug-13,69.89,72.48,69.89,72.03,1099136
23-Aug-13,72.48,72.56,72.01,72.28,1324560
22-Aug-13,72.01,72.64,71.90,72.44,809488
21-Aug-13,72.15,72.38,71.61,71.83,1564370
20-Aug-13,71.79,72.51,71.75,72.34,1229977
19-Aug-13,71.61,72.24,71.61,71.90,1393107
16-Aug-13,71.47,72.08,71.38,71.89,1792894
15-Aug-13,72.22,72.24,71.35,71.61,1553649
14-Aug-13,72.84,73.08,72.64,72.68,1391818
13-Aug-13,72.99,73.03,72.64,72.99,2495228
12-Aug-13,72.01,72.83,71.90,72.80,1275638
9-Aug-13,72.07,72.60,71.94,72.46,1238833
8-Aug-13,72.36,72.65,71.95,72.34,1375407
7-Aug-13,72.11,72.28,71.67,71.99,1461908
6-Aug-13,71.48,72.38,71.10,72.24,1692103
5-Aug-13,71.53,71.71,71.16,71.60,2032055
2-Aug-13,71.22,71.62,70.86,71.58,2091594
1-Aug-13,70.51,72.02,70.11,71.85,2311956
31-Jul-13,72.62,72.78,72.04,72.09,2185462
30-Jul-13,72.69,72.69,72.01,72.14,1252524
29-Jul-13,72.16,72.49,71.85,72.10,926092
26-Jul-13,72.05,72.50,71.71,72.48,1426583
25-Jul-13,72.18,72.40,71.66,72.17,1572601
24-Jul-13,72.95,72.95,72.05,72.22,1286077
23-Jul-13,73.17,73.33,72.48,72.49,1540757
22-Jul-13,73.79,73.83,72.79,73.16,1603254
19-Jul-13,73.14,73.17,72.26,72.88,2265347
18-Jul-13,72.67,73.05,72.56,72.82,1281095
17-Jul-13,72.67,72.85,72.26,72.32,1890260
16-Jul-13,72.54,72.63,72.07,72.30,1303799
15-Jul-13,73.25,73.32,72.22,72.36,2081721
12-Jul-13,71.99,73.44,71.93,73.41,2808998
11-Jul-13,72.22,72.59,71.75,71.85,2252796
10-Jul-13,70.86,71.87,70.84,71.75,1688738
9-Jul-13,71.00,71.34,70.89,71.04,1486083
8-Jul-13,70.88,71.27,70.77,70.97,1357681
5-Jul-13,70.64,71.17,70.00,70.75,1534636
3-Jul-13,69.69,70.58,69.56,70.24,1057919
2-Jul-13,69.79,70.49,69.20,70.08,2355977
1-Jul-13,68.83,69.92,68.75,69.45,1950173
28-Jun-13,68.91,69.37,68.50,68.86,3113088
27-Jun-13,69.68,69.92,69.19,69.37,1379800
26-Jun-13,69.50,69.75,69.15,69.35,1709481
25-Jun-13,69.16,69.16,68.16,68.84,1316695
24-Jun-13,68.42,68.93,68.11,68.38,1812223
21-Jun-13,68.68,68.98,67.99,68.68,3197281
20-Jun-13,68.44,68.66,68.08,68.20,2492858
19-Jun-13,69.08,69.98,68.92,69.04,1904234
18-Jun-13,68.67,69.68,68.61,69.60,1280157
17-Jun-13,68.56,69.08,68.39,68.70,1695701
14-Jun-13,68.05,68.54,67.85,68.01,1419684
13-Jun-13,67.33,68.49,67.16,68.28,1547276
12-Jun-13,68.25,68.34,67.26,67.33,1445356
11-Jun-13,68.33,68.69,67.98,68.11,1594737
10-Jun-13,68.96,69.10,68.58,68.78,1139241
7-Jun-13,68.51,69.05,68.18,68.91,2050579
6-Jun-13,67.68,68.03,67.28,67.94,2233529
5-Jun-13,68.63,68.90,67.79,67.86,1735060
4-Jun-13,69.45,69.87,68.62,68.97,1776311
3-Jun-13,68.98,69.61,68.66,69.55,2161792
31-May-13,69.43,70.16,68.59,68.72,3119904
30-May-13,70.01,70.20,69.81,69.81,1493156
29-May-13,70.00,70.20,69.50,69.77,1488803
28-May-13,70.50,71.06,70.22,70.49,1838212
24-May-13,69.67,69.85,69.29,69.85,1569804
23-May-13,69.91,70.21,69.72,69.93,1938190
22-May-13,71.09,71.18,70.02,70.26,2779311
21-May-13,71.03,71.43,70.81,71.03,1959283
20-May-13,72.00,72.00,70.82,71.05,2152846
17-May-13,71.46,72.00,71.00,71.99,2554995
16-May-13,71.52,71.91,70.88,70.98,1924837
15-May-13,70.85,71.75,70.75,71.74,2246241
14-May-13,70.20,70.91,70.19,70.81,1820895
13-May-13,69.78,70.16,69.74,70.08,1357260
10-May-13,70.12,70.27,69.58,70.03,1652934
9-May-13,68.89,70.25,68.80,70.00,3063607
8-May-13,68.64,68.80,68.41,68.56,2447974
7-May-13,68.82,69.09,68.53,68.65,1956068
6-May-13,69.16,69.16,68.53,68.68,1339080
3-May-13,68.52,69.28,68.02,69.23,1879793
2-May-13,66.83,67.74,66.60,67.39,1680510
1-May-13,67.39,67.39,66.70,66.82,1541116
30-Apr-13,66.99,67.35,66.87,67.34,1641649
29-Apr-13,66.55,67.25,66.40,67.14,949416
26-Apr-13,66.76,66.77,66.20,66.59,862137
25-Apr-13,66.93,66.98,66.49,66.77,1526278
24-Apr-13,66.70,66.95,66.44,66.67,1282094
23-Apr-13,65.94,66.38,65.41,66.36,1268414
22-Apr-13,65.21,65.68,64.71,65.50,1382805
19-Apr-13,64.37,65.43,64.37,65.23,2144702
18-Apr-13,65.83,65.87,64.38,64.63,1454589
17-Apr-13,64.82,65.42,63.98,65.35,2980239
16-Apr-13,64.71,65.47,64.52,65.41,1539315
15-Apr-13,65.80,65.90,64.44,64.46,1821943
12-Apr-13,66.13,66.13,65.51,65.91,1511889
11-Apr-13,65.64,66.21,65.47,66.11,1196455
10-Apr-13,64.44,65.70,64.29,65.66,1392708
9-Apr-13,64.35,64.72,63.84,64.46,1504992
8-Apr-13,63.69,64.26,63.54,64.26,1087044
5-Apr-13,64.10,64.11,63.30,63.77,1689621
4-Apr-13,64.85,65.06,64.32,64.72,1206859
3-Apr-13,65.26,65.49,64.56,64.75,1600043
2-Apr-13,65.15,65.68,64.85,65.28,1929151
1-Apr-13,64.66,65.18,64.50,64.68,1498854
28-Mar-13,64.50,65.12,64.33,65.03,2213530
27-Mar-13,64.40,64.73,64.10,64.66,1511388
26-Mar-13,64.04,64.80,64.04,64.79,1919106
25-Mar-13,64.45,64.55,63.56,63.93,1712092
22-Mar-13,64.00,64.22,63.65,64.08,1597694
21-Mar-13,63.98,64.39,63.43,63.73,2219952
20-Mar-13,64.65,64.82,64.16,64.42,1643036
19-Mar-13,64.31,64.46,63.66,64.31,1573509
18-Mar-13,63.87,64.47,63.80,64.22,1639710
15-Mar-13,64.67,65.05,64.37,64.48,3560880
14-Mar-13,64.20,65.03,64.20,65.02,2501726
13-Mar-13,64.00,64.21,63.85,64.18,1425390
12-Mar-13,63.90,63.98,63.75,63.97,1956495
11-Mar-13,63.38,63.89,63.34,63.87,1798946
8-Mar-13,63.26,63.71,63.16,63.35,2093716
7-Mar-13,62.48,63.57,62.30,63.34,3539409
6-Mar-13,62.54,62.56,62.03,62.30,1552234
5-Mar-13,62.00,62.70,61.92,62.66,1809912
4-Mar-13,61.32,61.89,61.10,61.84,1763774
1-Mar-13,61.29,61.75,60.69,61.65,1703353
28-Feb-13,61.70,61.72,61.36,61.36,1941943
27-Feb-13,60.86,61.83,60.66,61.59,1659768
26-Feb-13,61.12,61.37,60.72,61.08,1954782
25-Feb-13,61.48,61.74,60.76,60.77,2578118
22-Feb-13,60.71,61.02,60.34,61.01,1570009
21-Feb-13,61.16,61.16,60.07,60.27,2305166
20-Feb-13,61.43,61.76,61.13,61.21,2000710
19-Feb-13,61.22,61.49,61.09,61.46,1661840
15-Feb-13,61.26,61.26,60.75,61.22,2192741
14-Feb-13,60.25,60.78,60.03,60.74,1704835
13-Feb-13,60.56,60.79,60.05,60.45,1806080
12-Feb-13,60.24,60.57,60.00,60.36,1342315
11-Feb-13,60.79,60.98,60.28,60.34,1366376
8-Feb-13,60.71,61.00,60.51,60.92,1813162
7-Feb-13,60.63,60.74,59.83,60.50,2097846
6-Feb-13,60.97,61.20,60.19,60.77,1957186
5-Feb-13,59.84,61.25,59.56,61.23,3086141
4-Feb-13,60.50,60.75,59.48,59.55,2815425
1-Feb-13,59.88,60.72,59.78,60.65,2512004
31-Jan-13,59.33,59.77,59.26,59.29,2600253
30-Jan-13,60.16,60.25,59.34,59.47,1911910
29-Jan-13,59.52,60.34,59.32,60.27,2338151
28-Jan-13,60.00,60.00,59.62,59.64,1385632
25-Jan-13,59.98,60.00,59.54,59.89,1451941
24-Jan-13,59.79,59.97,59.44,59.71,1814225
23-Jan-13,59.97,59.97,59.41,59.56,1772693
22-Jan-13,59.65,59.97,59.27,59.96,2175473
18-Jan-13,59.18,59.73,59.08,59.72,2515632
17-Jan-13,59.16,59.35,58.91,59.17,1215028
16-Jan-13,59.28,59.36,58.80,58.83,1660860
15-Jan-13,59.30,59.31,58.91,59.14,1846864
14-Jan-13,59.42,59.55,59.17,59.41,1770466
11-Jan-13,59.93,60.00,59.18,59.42,1335924
10-Jan-13,59.48,59.49,58.97,59.32,1818680
9-Jan-13,59.40,59.42,58.87,59.11,1940626
8-Jan-13,58.79,59.32,58.60,59.25,1689444
7-Jan-13,58.82,59.09,58.43,58.91,1503773
4-Jan-13,58.82,59.29,58.56,59.14,1855365
3-Jan-13,58.61,58.83,57.75,58.62,2251483
2-Jan-13,58.06,58.55,57.75,58.39,2824866
31-Dec-12,55.99,57.01,55.99,56.93,2086772
28-Dec-12,56.44,57.01,56.29,56.33,1517491
27-Dec-12,57.11,57.20,56.26,56.89,1757900
26-Dec-12,57.48,57.67,56.87,57.10,990318
24-Dec-12,57.42,57.66,57.18,57.48,825746
21-Dec-12,57.48,58.22,57.23,57.58,4359108
20-Dec-12,58.25,58.38,57.73,58.37,1734624
19-Dec-12,58.41,58.56,57.95,58.12,2634785
18-Dec-12,58.04,58.48,57.41,58.26,2401288
17-Dec-12,57.32,58.12,57.06,57.95,1988454
14-Dec-12,57.39,57.67,57.34,57.40,1360675
13-Dec-12,57.45,57.89,57.29,57.58,1735319
12-Dec-12,57.98,58.25,57.28,57.40,1370445
11-Dec-12,57.56,58.38,57.41,58.03,2098637
10-Dec-12,57.22,57.91,57.16,57.33,1898668
7-Dec-12,57.57,57.90,56.93,57.31,1537833
6-Dec-12,57.22,57.75,57.21,57.54,1494638
5-Dec-12,56.67,57.42,56.56,57.24,1447744
4-Dec-12,56.50,56.77,56.27,56.67,1421781
3-Dec-12,57.00,57.09,56.29,56.41,1474536
30-Nov-12,56.40,56.86,56.34,56.74,2595673
29-Nov-12,56.18,56.37,55.86,56.28,1726754
28-Nov-12,55.19,55.91,55.05,55.89,1450241
27-Nov-12,55.56,55.79,55.34,55.38,1206410
26-Nov-12,55.88,55.99,55.43,55.67,1249970
23-Nov-12,55.62,56.14,55.50,56.12,760838
21-Nov-12,55.01,55.44,54.97,55.40,1250105
