Date,Open,High,Low,Close,Volume
29-Nov-13,114.19,114.45,113.68,114.08,1828333
27-Nov-13,114.46,114.88,112.82,113.82,2848202
26-Nov-13,114.07,114.73,113.54,113.67,2737683
25-Nov-13,113.35,114.04,112.46,113.96,3304962
22-Nov-13,113.01,113.50,112.23,113.03,4520431
21-Nov-13,115.81,116.38,110.75,112.25,7457362
20-Nov-13,115.36,116.70,114.89,115.56,2269296
19-Nov-13,115.71,116.17,114.65,115.46,2152241
18-Nov-13,116.50,117.72,115.75,116.03,2879834
15-Nov-13,115.00,115.63,113.70,114.98,2910548
14-Nov-13,114.02,116.76,113.62,115.41,4040823
13-Nov-13,111.55,113.97,110.85,113.53,3221837
12-Nov-13,112.17,112.95,111.45,112.71,2413459
11-Nov-13,113.00,113.98,111.67,113.17,2294762
8-Nov-13,111.41,113.97,111.27,113.21,3060040
7-Nov-13,114.16,115.25,110.65,111.03,3827369
6-Nov-13,116.25,116.29,113.09,113.32,3494241
5-Nov-13,116.33,116.87,114.85,115.14,3299323
4-Nov-13,118.73,119.70,116.89,117.28,2248741
1-Nov-13,117.07,118.74,116.56,118.69,2632299
31-Oct-13,117.11,117.64,115.89,116.14,2648578
30-Oct-13,118.32,118.50,116.57,116.88,2527902
29-Oct-13,118.30,118.38,116.70,118.27,2655560
28-Oct-13,115.99,118.96,115.80,118.33,3322003
25-Oct-13,116.62,116.65,115.17,116.32,1998672
24-Oct-13,116.28,117.53,115.75,116.20,3226464
23-Oct-13,114.94,116.15,114.10,115.67,3365234
22-Oct-13,114.38,116.64,113.40,116.21,3665672
21-Oct-13,114.96,115.47,112.76,113.64,2683437
18-Oct-13,115.95,116.00,113.78,114.92,2694022
17-Oct-13,113.67,115.97,113.64,115.85,2656420
16-Oct-13,112.42,114.85,112.35,114.28,3541553
15-Oct-13,111.62,112.12,110.89,111.44,1968930
14-Oct-13,110.02,111.69,109.59,111.58,2211075
11-Oct-13,110.00,111.51,109.66,110.89,2431336
10-Oct-13,107.17,109.99,106.99,109.92,3096572
9-Oct-13,108.13,108.42,105.76,106.28,5440677
8-Oct-13,110.17,110.80,106.91,107.76,4235536
7-Oct-13,111.47,111.71,110.08,110.22,2662899
4-Oct-13,110.74,113.48,110.11,112.91,3087999
3-Oct-13,112.99,113.06,110.07,111.12,3058836
2-Oct-13,113.88,113.88,112.40,113.06,2437721
