Date,Open,High,Low,Close,Volume
27-Nov-13,383.50,387.00,382.61,386.71,2269656
26-Nov-13,377.61,382.50,374.82,381.37,2730689
25-Nov-13,373.82,377.79,373.18,376.64,2972546
22-Nov-13,370.00,374.50,366.31,372.31,2967833
21-Nov-13,364.05,369.25,363.30,368.92,1967041
20-Nov-13,367.56,367.56,360.45,362.57,1772984
19-Nov-13,365.82,368.78,362.50,364.94,1904797
18-Nov-13,370.28,373.49,364.67,366.18,2738214
15-Nov-13,367.63,372.90,365.55,369.17,4494773
14-Nov-13,357.39,368.94,356.43,367.40,4164128
13-Nov-13,347.40,356.22,345.68,356.22,2777832
12-Nov-13,352.99,355.48,347.28,349.53,2344304
11-Nov-13,350.59,355.37,348.06,354.38,2262538
8-Nov-13,345.95,351.05,344.04,350.31,2656865
7-Nov-13,355.86,357.90,341.88,343.56,4250065
6-Nov-13,360.45,362.87,354.50,356.18,2288077
5-Nov-13,356.78,360.17,354.84,358.89,2007275
4-Nov-13,360.12,361.00,354.40,358.74,1940496
1-Nov-13,365.63,365.77,356.10,359.00,3332126
31-Oct-13,361.73,366.00,359.00,364.03,2466937
30-Oct-13,362.62,365.00,358.65,361.08,4505005
29-Oct-13,358.96,362.89,356.29,362.70,2190763
28-Oct-13,359.92,362.75,357.20,358.16,3635848
25-Oct-13,358.60,368.40,352.62,363.39,11997904
24-Oct-13,329.63,332.65,326.75,332.21,4891383
23-Oct-13,330.84,331.72,324.06,326.76,2818158
22-Oct-13,327.72,337.11,325.68,332.54,3942953
21-Oct-13,329.89,330.00,323.80,326.44,2527617
18-Oct-13,319.36,331.89,316.75,328.93,5969814
17-Oct-13,307.07,311.00,305.24,310.77,2648384
16-Oct-13,308.38,310.80,305.55,310.49,2180521
15-Oct-13,309.87,310.79,305.26,306.40,2261554
14-Oct-13,309.22,311.64,307.00,310.70,1939092
11-Oct-13,304.77,310.93,303.84,310.89,2163093
10-Oct-13,304.63,306.70,302.59,305.17,2557138
9-Oct-13,303.42,303.50,296.50,298.23,3252771
8-Oct-13,311.50,311.54,300.27,303.23,3160227
7-Oct-13,315.24,315.34,309.74,310.03,2085725
4-Oct-13,315.13,319.20,312.62,319.04,1814976
3-Oct-13,320.39,322.92,313.02,314.76,2679440
2-Oct-13,318.04,321.73,317.52,320.51,2210411
1-Oct-13,314.22,321.00,313.65,320.95,2398999
30-Sep-13,313.41,315.31,311.06,312.64,1619102
27-Sep-13,316.92,317.21,313.35,316.01,1658435
26-Sep-13,313.90,319.37,313.26,318.12,1990982
25-Sep-13,314.53,316.71,310.75,312.65,2010249
24-Sep-13,312.43,318.08,311.28,314.13,2033546
23-Sep-13,314.01,315.90,308.77,311.49,1877677
20-Sep-13,312.54,320.57,312.41,316.34,5306003
19-Sep-13,313.77,314.54,311.04,312.06,2350946
18-Sep-13,304.06,312.74,302.91,312.03,2946988
17-Sep-13,297.63,304.65,296.01,304.17,2297381
16-Sep-13,299.82,301.00,295.26,296.06,1818400
13-Sep-13,300.14,300.22,296.20,297.92,1350645
12-Sep-13,299.39,302.00,297.66,298.86,1606393
11-Sep-13,298.91,301.86,297.84,299.64,1742264
10-Sep-13,300.55,301.00,297.22,300.36,1781037
9-Sep-13,297.22,299.96,296.60,299.71,1626753
6-Sep-13,295.33,298.88,290.80,295.86,2287606
5-Sep-13,293.63,297.00,292.71,294.10,1819790
4-Sep-13,288.33,295.23,287.58,293.64,2439351
3-Sep-13,284.73,291.39,284.17,288.80,2898422
30-Aug-13,284.59,284.87,280.00,280.98,1534706
29-Aug-13,281.45,285.98,280.00,283.98,1566544
