Date,Open,High,Low,Close,Volume
29-Nov-13,15.84,15.92,15.79,15.82,44288423
27-Nov-13,15.87,15.94,15.76,15.83,75503648
26-Nov-13,15.84,15.97,15.81,15.88,114833655
25-Nov-13,15.67,15.98,15.66,15.81,153765538
22-Nov-13,15.70,15.79,15.60,15.64,110331145
21-Nov-13,15.22,15.60,15.20,15.59,142053629
20-Nov-13,15.25,15.27,15.08,15.14,107174852
19-Nov-13,14.98,15.30,14.97,15.20,161505567
18-Nov-13,14.98,15.17,14.86,14.92,145554412
15-Nov-13,14.79,14.95,14.77,14.92,105475307
14-Nov-13,14.68,14.82,14.61,14.80,128999354
13-Nov-13,14.26,14.64,14.20,14.64,128018534
12-Nov-13,14.33,14.46,14.26,14.32,69498250
11-Nov-13,14.27,14.42,14.24,14.40,66357382
8-Nov-13,13.86,14.32,13.84,14.32,158227341
7-Nov-13,14.00,14.03,13.80,13.80,80774996
6-Nov-13,13.99,14.02,13.91,13.96,66712941
5-Nov-13,13.99,14.02,13.90,13.93,71809708
4-Nov-13,14.09,14.12,14.00,14.04,53063221
1-Nov-13,14.00,14.10,13.96,14.02,75610402
31-Oct-13,14.14,14.16,13.96,13.97,105713401
30-Oct-13,14.19,14.29,14.15,14.17,76624191
29-Oct-13,14.26,14.29,14.06,14.15,79563054
28-Oct-13,14.29,14.32,14.21,14.23,62328002
25-Oct-13,14.15,14.27,14.14,14.26,58430741
24-Oct-13,14.12,14.20,14.07,14.17,85701908
23-Oct-13,14.45,14.48,14.17,14.21,108529710
22-Oct-13,14.55,14.63,14.45,14.52,102835983
21-Oct-13,14.53,14.59,14.47,14.52,91280611
18-Oct-13,14.68,14.72,14.53,14.63,96986444
17-Oct-13,14.44,14.66,14.41,14.66,94090794
16-Oct-13,14.32,14.61,14.32,14.56,153480986
15-Oct-13,14.39,14.43,14.21,14.24,102099279
14-Oct-13,14.06,14.39,14.05,14.35,78367537
11-Oct-13,14.24,14.28,14.11,14.19,83421972
10-Oct-13,14.03,14.25,14.01,14.23,102305780
9-Oct-13,13.72,13.93,13.69,13.84,96012822
8-Oct-13,13.83,13.90,13.68,13.69,92329450
7-Oct-13,13.91,13.95,13.80,13.81,64822703
4-Oct-13,14.02,14.08,13.96,14.05,63495447
3-Oct-13,14.07,14.10,13.83,14.00,95269005
2-Oct-13,13.81,14.10,13.79,14.06,88517364
1-Oct-13,13.85,13.92,13.81,13.90,57631044
30-Sep-13,13.68,13.93,13.60,13.80,103968812
27-Sep-13,13.99,14.03,13.88,13.90,79156075
26-Sep-13,14.19,14.22,13.98,14.08,89352855
25-Sep-13,14.12,14.24,14.03,14.14,86549982
24-Sep-13,14.18,14.25,14.01,14.09,96912766
23-Sep-13,14.31,14.32,14.09,14.14,126617781
20-Sep-13,14.66,14.66,14.44,14.44,145174775
19-Sep-13,14.80,14.83,14.58,14.61,79710935
18-Sep-13,14.53,14.82,14.49,14.72,127490707
17-Sep-13,14.53,14.62,14.40,14.55,73686195
16-Sep-13,14.61,14.68,14.53,14.53,65822451
13-Sep-13,14.46,14.55,14.45,14.49,56793351
12-Sep-13,14.65,14.68,14.46,14.48,63355875
11-Sep-13,14.56,14.68,14.52,14.65,74028224
