Date,Open,High,Low,Close,Volume
29-Nov-13,163.51,168.24,163.51,166.57,2218797
27-Nov-13,163.16,165.70,161.98,162.99,2483948
26-Nov-13,155.77,163.28,153.25,163.03,3922681
25-Nov-13,158.86,160.59,155.66,156.66,2439460
22-Nov-13,159.25,160.00,156.52,158.09,2242561
21-Nov-13,161.01,161.24,156.81,158.40,3187703
20-Nov-13,163.32,164.98,158.32,158.76,2718479
19-Nov-13,164.50,165.76,160.20,163.12,3275509
18-Nov-13,164.00,169.55,161.64,162.87,4900072
15-Nov-13,159.50,163.04,159.30,162.33,4473044
14-Nov-13,153.48,159.60,152.74,158.99,4229905
13-Nov-13,148.95,153.00,147.80,152.98,2671038
12-Nov-13,151.00,154.11,149.56,150.43,1964997
11-Nov-13,151.11,153.56,150.00,151.60,2224464
8-Nov-13,147.95,152.60,147.20,151.09,4396401
7-Nov-13,150.56,150.92,142.70,147.35,5243326
6-Nov-13,154.00,155.49,147.79,150.09,3800170
5-Nov-13,155.16,155.49,150.20,153.46,5426350
4-Nov-13,160.36,160.60,155.50,156.02,3014390
1-Nov-13,162.99,163.12,158.23,160.06,2943715
31-Oct-13,161.59,163.39,157.45,160.80,5169619
30-Oct-13,168.60,169.75,159.75,164.93,14106908
29-Oct-13,154.71,159.50,152.53,159.41,6291913
28-Oct-13,155.51,158.40,152.50,154.12,4511491
25-Oct-13,162.90,165.40,158.10,159.36,4121668
24-Oct-13,155.76,161.86,155.32,161.34,4438198
23-Oct-13,155.15,156.50,151.35,155.07,4796768
22-Oct-13,162.35,164.80,153.22,158.57,4137508
21-Oct-13,167.55,167.55,160.38,161.21,4507385
18-Oct-13,157.23,166.39,157.00,165.91,7361401
17-Oct-13,150.23,154.96,150.00,153.83,3223158
16-Oct-13,151.72,155.00,149.74,150.20,2946473
15-Oct-13,152.75,153.99,150.42,151.50,2406944
14-Oct-13,152.07,153.75,150.84,152.96,1945611
11-Oct-13,152.00,155.00,150.48,154.90,2824985
10-Oct-13,150.12,153.87,149.05,153.16,3432464
9-Oct-13,149.97,150.97,141.52,146.54,5755649
8-Oct-13,157.54,158.71,146.67,148.75,6231084
7-Oct-13,157.61,160.60,157.45,157.54,3195705
4-Oct-13,157.13,160.48,157.07,159.00,2598132
3-Oct-13,160.31,160.66,156.24,157.08,3345155
2-Oct-13,157.61,161.48,157.11,159.94,3474740
1-Oct-13,155.30,158.76,154.05,158.64,3332722
30-Sep-13,150.65,155.80,148.26,155.18,3114129
27-Sep-13,153.73,154.80,152.10,153.84,1861289
26-Sep-13,151.51,154.35,150.28,154.28,2808088
25-Sep-13,151.70,153.00,149.63,150.68,2779259
24-Sep-13,149.12,154.72,147.03,150.13,5267021
23-Sep-13,145.61,149.95,145.22,149.26,3126746
20-Sep-13,148.02,149.14,145.56,146.25,3253379
19-Sep-13,146.33,149.74,146.06,147.70,3433147
18-Sep-13,143.81,145.95,143.20,145.70,2722861
17-Sep-13,142.21,143.93,141.32,143.80,2132745
16-Sep-13,143.85,147.38,141.29,142.59,3197954
13-Sep-13,145.48,146.01,141.28,142.64,2925220
12-Sep-13,147.37,147.60,143.60,144.50,2923003
11-Sep-13,139.80,148.25,139.80,147.31,6915217
