Date,Open,High,Low,Close,Volume
29-Nov-13,290.00,295.49,290.00,290.97,514221
27-Nov-13,292.80,295.89,288.01,293.83,940013
26-Nov-13,295.95,297.80,288.58,289.20,1584811
25-Nov-13,286.54,297.98,284.51,295.88,2727961
22-Nov-13,278.00,289.97,274.98,285.62,4701626
21-Nov-13,247.30,253.22,245.31,252.43,1399465
20-Nov-13,245.67,249.96,243.00,246.12,1014438
19-Nov-13,241.97,248.75,240.68,245.46,1203463
18-Nov-13,244.98,247.40,239.81,241.27,1224246
15-Nov-13,237.00,245.81,236.80,245.09,1579726
14-Nov-13,236.50,240.84,236.50,237.58,680886
13-Nov-13,233.70,236.43,232.11,236.10,1006274
12-Nov-13,233.50,235.63,231.00,235.62,991126
11-Nov-13,236.23,237.43,232.36,234.79,770449
8-Nov-13,233.12,237.54,230.25,236.69,1095922
7-Nov-13,239.72,242.89,230.53,231.19,1444991
6-Nov-13,245.27,245.98,237.63,238.48,1053625
5-Nov-13,237.99,244.87,237.99,244.06,995254
4-Nov-13,243.79,245.95,239.85,240.07,942173
1-Nov-13,245.57,248.32,239.61,243.10,1593538
31-Oct-13,249.23,251.00,244.17,244.19,1176113
30-Oct-13,253.72,254.82,246.77,248.95,934530
29-Oct-13,255.85,256.00,249.13,254.39,875339
28-Oct-13,250.46,262.00,245.03,254.43,2585694
25-Oct-13,250.53,252.83,247.76,252.26,1345364
24-Oct-13,251.99,252.99,248.37,249.22,1032905
23-Oct-13,249.80,251.84,247.43,251.12,994048
22-Oct-13,244.25,251.96,243.02,250.60,1240277
21-Oct-13,245.19,246.50,241.52,243.07,776135
18-Oct-13,246.70,246.86,241.66,244.90,1122399
17-Oct-13,241.02,247.46,240.05,247.10,932712
16-Oct-13,236.57,241.88,236.35,241.18,1153514
15-Oct-13,237.69,239.07,236.19,236.47,766040
14-Oct-13,232.65,238.97,231.02,238.84,701806
11-Oct-13,233.97,238.65,233.26,234.80,895325
10-Oct-13,228.26,234.85,227.50,234.17,1185707
9-Oct-13,226.96,228.15,221.07,223.85,1429555
8-Oct-13,235.37,237.75,225.11,225.50,1549661
7-Oct-13,237.47,240.91,235.59,236.59,911428
4-Oct-13,236.39,241.45,235.40,240.30,1325957
3-Oct-13,244.71,245.98,233.50,233.84,1683012
2-Oct-13,243.90,248.32,243.62,246.23,834622
1-Oct-13,242.85,245.75,241.95,244.92,914758
30-Sep-13,242.00,244.50,240.29,240.76,921338
27-Sep-13,241.23,245.16,238.47,244.82,1118913
26-Sep-13,241.94,245.88,241.48,243.05,989340
25-Sep-13,244.10,244.36,241.27,241.51,875823
24-Sep-13,242.46,243.97,240.89,243.54,849083
23-Sep-13,248.40,248.40,241.52,242.67,1053594
20-Sep-13,248.28,248.75,246.05,248.13,1611216
19-Sep-13,247.03,248.95,244.62,247.98,1396022
18-Sep-13,245.99,246.49,240.05,246.35,1606903
17-Sep-13,238.98,241.00,236.23,240.05,798156
16-Sep-13,238.03,240.38,236.31,239.57,1045346
13-Sep-13,234.95,236.07,231.54,234.71,650540
12-Sep-13,236.77,238.50,233.08,234.11,1112213
11-Sep-13,228.50,236.54,227.79,236.27,1220570
10-Sep-13,230.00,230.35,224.79,228.69,932221
9-Sep-13,226.09,229.00,224.94,228.86,872119
6-Sep-13,229.50,230.00,224.43,225.18,1255238
5-Sep-13,229.81,231.72,226.02,227.70,1074956
4-Sep-13,223.64,231.65,223.00,230.58,1905670
3-Sep-13,216.00,222.45,213.05,221.79,1223572
30-Aug-13,213.99,214.56,210.87,213.02,1002299
29-Aug-13,209.19,217.07,209.03,214.13,859661
28-Aug-13,208.27,211.29,206.60,209.71,809577
27-Aug-13,210.09,211.71,207.39,207.65,721685
26-Aug-13,212.02,214.92,210.98,212.34,806600
23-Aug-13,211.49,212.25,210.02,211.38,612324
22-Aug-13,208.35,212.77,208.01,211.48,612520
21-Aug-13,205.61,210.98,203.55,208.08,999517
20-Aug-13,206.81,209.25,206.24,206.55,736676
19-Aug-13,207.15,209.95,206.84,206.87,641313
16-Aug-13,205.61,208.92,205.28,206.89,1253346
15-Aug-13,209.41,209.86,205.73,206.53,814902
14-Aug-13,210.93,214.16,210.65,211.52,1054843
13-Aug-13,206.88,213.49,206.15,211.25,1776086
12-Aug-13,210.79,210.79,203.55,206.89,1958713
9-Aug-13,214.75,217.10,212.01,212.35,1028855
8-Aug-13,219.70,220.00,215.87,216.89,807767
7-Aug-13,220.64,223.00,217.13,217.76,1114953
6-Aug-13,227.21,227.36,221.70,221.82,771221
5-Aug-13,228.00,229.00,225.10,227.57,969762
2-Aug-13,220.38,227.80,220.30,227.76,1535972
1-Aug-13,218.82,221.58,218.03,220.20,1126054
31-Jul-13,217.49,221.70,216.06,218.13,1202869
30-Jul-13,216.98,217.99,214.21,216.93,1797980
29-Jul-13,221.86,224.11,215.96,215.96,1429111
26-Jul-13,226.40,227.76,218.16,223.23,1403347
25-Jul-13,233.53,233.97,222.20,227.48,2394407
24-Jul-13,222.73,226.97,221.18,226.61,1455839
23-Jul-13,231.55,231.83,221.91,222.66,1724446
22-Jul-13,234.69,234.74,222.09,231.67,2485920
19-Jul-13,224.33,230.62,220.10,230.27,1593039
18-Jul-13,225.33,226.99,222.62,223.12,813615
17-Jul-13,224.06,227.12,223.32,225.10,1025044
16-Jul-13,223.94,225.53,220.03,222.85,1063441
