Date,Open,High,Low,Close,Volume
29-Nov-13,161.83,162.57,161.58,161.77,1078911
27-Nov-13,163.72,163.95,160.71,161.52,1984081
26-Nov-13,164.68,164.92,162.15,163.43,2609031
25-Nov-13,164.73,165.74,162.63,163.96,3305916
22-Nov-13,161.00,164.00,160.45,163.33,3626713
21-Nov-13,156.18,159.43,156.00,158.61,2693617
20-Nov-13,154.64,157.09,154.14,155.53,2338359
19-Nov-13,153.43,154.60,152.18,154.44,3155269
18-Nov-13,151.49,155.25,151.21,152.98,3251520
15-Nov-13,149.90,151.45,148.09,151.11,2543901
14-Nov-13,149.29,150.74,148.53,150.00,2410904
13-Nov-13,147.37,149.94,147.11,149.28,3483134
12-Nov-13,147.74,149.50,146.52,149.41,2586722
11-Nov-13,149.00,149.97,147.40,148.48,1820565
8-Nov-13,145.89,149.97,145.23,148.92,3210767
7-Nov-13,147.09,149.68,142.10,144.99,5680666
6-Nov-13,151.04,151.99,144.37,144.49,5065156
5-Nov-13,149.63,152.19,148.60,150.74,2371702
4-Nov-13,151.94,152.89,150.26,150.72,2380528
1-Nov-13,149.27,151.45,149.06,151.30,2365233
31-Oct-13,151.79,152.93,147.23,148.49,3291914
30-Oct-13,155.90,157.00,150.31,151.32,3247238
29-Oct-13,156.77,157.19,154.15,155.31,2484957
28-Oct-13,156.00,157.56,155.16,156.23,2533643
25-Oct-13,157.67,159.29,154.60,155.74,3223432
24-Oct-13,158.89,160.00,156.04,157.96,3833319
23-Oct-13,159.46,160.67,157.16,160.00,2382368
22-Oct-13,160.00,161.24,157.45,160.84,2318008
21-Oct-13,161.49,161.64,158.25,159.23,1949176
18-Oct-13,158.65,160.58,158.33,160.55,3549428
17-Oct-13,158.00,160.00,157.13,160.00,2223487
16-Oct-13,156.06,158.44,156.00,158.33,2487120
15-Oct-13,153.64,156.99,153.62,155.25,2505178
14-Oct-13,151.67,154.45,150.52,154.34,1860256
11-Oct-13,152.40,154.78,151.55,153.17,2056764
10-Oct-13,150.17,153.05,149.93,152.55,2956031
9-Oct-13,148.92,150.32,143.13,146.87,5363220
8-Oct-13,154.47,155.24,148.24,148.53,3861961
7-Oct-13,155.25,157.11,153.74,153.87,2870408
