Date,Open,High,Low,Close,Volume
29-Nov-13,49.73,50.15,49.66,49.87,5599586
27-Nov-13,49.65,50.02,49.34,49.78,8279915
26-Nov-13,50.04,50.29,49.56,49.78,12526212
25-Nov-13,49.48,50.75,49.34,49.91,17835255
22-Nov-13,47.49,49.95,47.49,49.52,27177108
21-Nov-13,47.14,47.71,46.92,47.45,7078552
20-Nov-13,47.70,47.85,46.76,46.85,8348095
19-Nov-13,47.34,47.57,47.10,47.46,6270306
18-Nov-13,47.64,47.92,47.34,47.38,8386462
15-Nov-13,47.74,47.99,47.40,47.73,10014050
14-Nov-13,47.52,47.78,47.24,47.69,6418389
13-Nov-13,46.85,47.41,46.62,47.39,7398278
12-Nov-13,47.32,47.34,46.58,46.98,8372835
11-Nov-13,47.95,48.18,47.05,47.35,8948248
8-Nov-13,47.34,48.24,46.91,48.18,10010069
7-Nov-13,48.12,48.25,47.12,47.24,9590737
6-Nov-13,47.88,48.21,47.66,47.81,7457375
5-Nov-13,48.33,48.37,47.35,47.84,7776718
4-Nov-13,48.67,48.90,48.00,48.18,7393350
1-Nov-13,47.85,48.76,47.73,48.64,12432962
31-Oct-13,46.58,48.21,46.58,47.60,15592506
30-Oct-13,47.86,47.86,46.87,47.09,13448471
29-Oct-13,48.20,48.23,47.54,47.71,13470090
28-Oct-13,48.35,48.35,47.97,48.23,9402514
25-Oct-13,47.96,48.19,47.64,48.17,9186244
24-Oct-13,47.26,47.99,47.01,47.76,8756947
23-Oct-13,47.13,47.63,46.80,46.96,8705767
22-Oct-13,47.41,47.63,47.21,47.36,9749749
21-Oct-13,46.91,47.10,46.83,47.09,7019167
18-Oct-13,47.28,47.49,46.95,47.04,9980113
17-Oct-13,46.89,47.50,46.78,47.47,9669351
16-Oct-13,46.73,47.13,46.46,46.98,15207801
15-Oct-13,46.45,46.86,46.05,46.39,9956121
14-Oct-13,45.95,46.55,45.82,46.46,8076737
11-Oct-13,45.16,46.23,45.12,46.06,9543975
10-Oct-13,44.78,45.42,44.62,45.35,8735166
9-Oct-13,44.84,45.17,44.09,44.33,9945029
8-Oct-13,45.05,45.13,44.56,44.62,10243028
7-Oct-13,45.13,45.88,45.05,45.10,8001997
4-Oct-13,44.91,45.85,44.75,45.64,11559247
3-Oct-13,45.15,45.30,44.62,45.01,9594738
2-Oct-13,45.30,45.45,45.10,45.45,9441739
1-Oct-13,45.15,45.76,45.04,45.61,12745138
