Date,Open,High,Low,Close,Volume
29-Nov-13,125.70,126.03,125.14,125.43,725417
27-Nov-13,125.65,125.89,125.20,125.38,873630
26-Nov-13,125.21,126.12,125.04,125.18,1598019
25-Nov-13,125.67,126.12,124.90,125.17,1391904
22-Nov-13,124.26,125.35,124.00,125.21,1502250
21-Nov-13,122.95,124.20,122.31,123.89,1164216
20-Nov-13,124.00,124.21,122.43,122.76,1135897
19-Nov-13,123.54,124.10,123.12,123.63,1233576
18-Nov-13,124.66,124.66,122.92,123.31,1327685
15-Nov-13,123.66,124.69,123.39,124.29,1784164
14-Nov-13,123.39,124.06,122.85,123.74,1488015
13-Nov-13,121.91,123.17,121.60,123.17,1679297
12-Nov-13,121.61,122.73,121.52,122.45,1587965
11-Nov-13,122.74,123.67,122.10,123.02,1275660
8-Nov-13,122.21,122.89,121.12,122.78,2314755
7-Nov-13,124.74,124.74,122.51,122.78,2459632
6-Nov-13,120.44,124.56,120.32,124.07,3065872
5-Nov-13,120.15,120.43,119.10,120.13,1419737
4-Nov-13,120.00,120.40,119.26,120.34,1589212
1-Nov-13,118.71,119.80,118.55,119.62,2187706
31-Oct-13,117.86,118.60,117.47,118.00,1588489
30-Oct-13,118.59,118.90,117.21,117.76,1108645
29-Oct-13,117.67,118.99,117.37,118.75,1881314
28-Oct-13,116.20,118.29,116.20,117.35,1809729
25-Oct-13,115.97,116.46,115.29,116.44,1834757
24-Oct-13,115.54,116.80,115.18,116.24,2244362
23-Oct-13,117.25,118.03,117.02,117.16,1183247
22-Oct-13,117.18,118.89,117.09,117.81,1386138
21-Oct-13,117.41,117.50,116.75,117.38,1454575
18-Oct-13,118.32,118.35,116.63,117.64,2728000
17-Oct-13,117.23,118.70,117.10,118.26,2099740
16-Oct-13,116.27,117.49,115.62,117.36,1854872
15-Oct-13,115.76,116.11,115.27,115.36,1503334
14-Oct-13,115.01,116.30,115.01,116.26,1195117
11-Oct-13,115.16,116.00,114.74,115.90,1563043
10-Oct-13,114.98,115.96,114.13,115.70,2388285
9-Oct-13,111.08,115.23,110.15,114.59,5852776
8-Oct-13,113.49,113.79,112.12,112.21,2138777
7-Oct-13,113.81,114.16,113.36,113.41,1294540
4-Oct-13,114.18,114.94,114.03,114.44,1084988
3-Oct-13,114.34,115.14,113.90,114.42,1608037
2-Oct-13,114.62,115.09,114.32,114.82,1633952
1-Oct-13,115.11,115.17,114.65,115.00,1454630
30-Sep-13,115.03,115.56,114.74,115.17,1824652
27-Sep-13,115.61,116.21,115.42,115.72,898256
26-Sep-13,115.89,116.48,115.24,116.40,1039095
25-Sep-13,116.45,116.57,115.00,115.41,2271407
24-Sep-13,117.32,118.08,116.32,116.34,1649936
23-Sep-13,117.08,118.17,117.05,117.57,1757136
20-Sep-13,119.36,119.45,117.61,117.94,2589578
19-Sep-13,119.07,119.47,118.64,119.20,1228685
18-Sep-13,117.68,119.06,116.96,118.64,1858820
