Date,Open,High,Low,Close,Volume
29-Nov-13,51.12,52.60,50.99,52.09,5635312
27-Nov-13,52.63,52.90,51.88,52.71,3770693
26-Nov-13,52.56,53.14,52.00,52.30,5694969
25-Nov-13,53.77,54.14,51.85,52.75,8402815
22-Nov-13,54.65,55.09,54.50,54.69,3347781
21-Nov-13,53.87,54.51,53.75,54.44,5695490
20-Nov-13,53.46,54.80,53.33,53.61,7664641
19-Nov-13,55.37,55.37,52.55,52.74,16325369
18-Nov-13,58.20,58.37,55.21,55.51,15146044
15-Nov-13,57.39,57.89,56.77,57.31,5295014
14-Nov-13,57.09,57.69,56.74,56.99,4851639
13-Nov-13,56.76,57.76,56.65,57.21,4585775
12-Nov-13,56.13,57.50,55.96,56.71,6072425
11-Nov-13,55.68,56.14,55.04,56.12,3392980
8-Nov-13,54.35,55.55,54.35,55.49,4167613
7-Nov-13,55.91,57.24,54.20,54.35,6340210
6-Nov-13,55.91,55.95,54.66,55.23,4634227
5-Nov-13,55.40,55.71,54.85,55.69,4265258
4-Nov-13,54.50,55.67,54.15,55.58,4889401
1-Nov-13,53.54,54.63,53.54,53.96,4330475
31-Oct-13,52.79,53.71,52.51,53.36,3504408
30-Oct-13,53.83,54.11,52.62,52.79,4280658
29-Oct-13,53.75,54.09,52.80,53.70,3555209
28-Oct-13,54.56,54.81,52.20,53.49,4450089
25-Oct-13,54.55,54.89,53.65,54.56,2713690
24-Oct-13,53.75,54.54,53.64,54.38,3191119
23-Oct-13,53.95,54.04,52.98,53.34,2538443
22-Oct-13,55.37,55.50,53.01,54.28,5081359
21-Oct-13,56.15,56.24,54.73,55.10,4208521
18-Oct-13,53.51,54.15,53.31,54.10,4549170
17-Oct-13,52.50,53.10,52.25,53.01,3002416
16-Oct-13,50.98,52.93,50.98,52.58,5546392
15-Oct-13,51.12,51.53,50.60,50.72,3661594
14-Oct-13,50.51,51.21,49.97,51.17,3866745
11-Oct-13,51.54,51.88,50.90,51.07,2614367
10-Oct-13,50.20,51.77,50.11,51.54,4790732
9-Oct-13,50.26,50.50,48.70,49.91,4755114
8-Oct-13,52.55,52.82,49.50,50.14,5745448
7-Oct-13,52.42,53.20,52.02,52.16,2975030
4-Oct-13,52.24,53.37,52.08,52.83,3600924
3-Oct-13,53.02,53.34,51.71,52.00,3091660
2-Oct-13,52.25,53.15,52.04,53.15,3191342
1-Oct-13,52.14,52.82,51.93,52.63,3754181
30-Sep-13,51.14,52.25,50.76,51.91,5037825
27-Sep-13,53.03,53.08,52.32,52.43,3948124
26-Sep-13,52.86,53.94,52.85,53.32,4143945
25-Sep-13,52.05,53.16,52.00,52.47,4047813
24-Sep-13,52.17,52.73,51.71,52.14,2980025
23-Sep-13,52.83,53.65,51.89,52.35,4321762
20-Sep-13,53.50,54.02,52.75,52.76,6108960
19-Sep-13,52.66,54.25,52.66,53.38,6897749
18-Sep-13,49.93,52.57,49.87,52.49,10466086
17-Sep-13,49.85,50.47,49.70,49.90,3167225
16-Sep-13,50.20,50.46,49.49,49.65,3348872
13-Sep-13,49.92,50.09,49.18,49.64,3351870
12-Sep-13,49.83,50.60,49.40,49.96,3839637
11-Sep-13,49.79,50.42,49.49,49.88,4308163
10-Sep-13,49.45,50.08,49.35,50.02,5139461
9-Sep-13,48.60,49.20,48.54,49.20,5143321
6-Sep-13,48.69,49.25,48.02,48.47,5185279
5-Sep-13,48.46,49.12,48.37,48.60,5999787
4-Sep-13,48.81,49.25,48.30,48.77,8029471
3-Sep-13,49.46,50.15,49.13,49.58,10224013
30-Aug-13,47.67,49.94,47.38,49.13,31862626
29-Aug-13,42.36,43.98,42.11,43.65,13186475
28-Aug-13,42.45,43.25,42.38,42.78,5877623
27-Aug-13,42.92,42.98,42.33,42.46,5582558
26-Aug-13,43.16,43.84,43.15,43.40,5735731
23-Aug-13,43.15,43.73,43.00,43.59,4317179
22-Aug-13,43.75,43.96,43.50,43.75,2964958
21-Aug-13,43.43,44.15,43.24,43.50,5380020
20-Aug-13,43.43,43.86,43.02,43.39,3573293
19-Aug-13,43.80,44.17,43.35,43.44,3482047
16-Aug-13,43.53,44.11,43.47,43.83,4074362
15-Aug-13,44.11,44.18,42.86,43.60,5910769
14-Aug-13,45.10,45.25,44.19,44.66,3741512
13-Aug-13,45.36,45.50,44.50,45.07,3644697
12-Aug-13,45.14,45.68,45.06,45.39,2863301
9-Aug-13,45.23,45.58,44.86,45.21,2543779
8-Aug-13,45.20,45.69,44.97,45.24,3400675
7-Aug-13,45.20,45.20,44.18,44.92,3003057
6-Aug-13,45.38,45.64,44.90,45.42,2751508
5-Aug-13,45.31,46.10,45.25,45.69,2620940
2-Aug-13,44.97,45.60,44.93,45.52,3494581
1-Aug-13,44.17,45.60,44.15,45.14,5479019
31-Jul-13,43.96,44.29,43.65,43.75,3264150
30-Jul-13,43.59,44.42,43.52,43.99,4358401
29-Jul-13,43.16,43.43,42.51,43.31,3087794
26-Jul-13,42.97,43.33,42.28,43.22,2734137
25-Jul-13,42.12,43.47,42.06,43.22,5237763
24-Jul-13,43.01,43.53,41.95,42.01,6022821
23-Jul-13,42.13,43.16,42.01,42.54,4638444
22-Jul-13,42.50,42.52,41.84,42.04,3134602
19-Jul-13,41.85,42.75,41.70,42.50,6079926
18-Jul-13,42.55,43.00,41.54,41.90,5923046
17-Jul-13,42.00,42.74,41.73,42.71,4607933
16-Jul-13,41.94,42.05,41.40,41.84,3900706
15-Jul-13,42.27,42.43,41.29,41.98,4156835
12-Jul-13,41.56,42.60,41.33,42.43,5275328
11-Jul-13,40.21,41.70,40.16,41.52,6913398
10-Jul-13,38.77,39.97,38.58,39.74,4670025
9-Jul-13,38.49,38.81,37.94,38.72,3796101
8-Jul-13,39.03,39.36,38.33,38.43,3846089
5-Jul-13,38.96,39.07,38.33,38.94,2825564
3-Jul-13,37.89,38.74,37.78,38.55,2293931
2-Jul-13,37.74,38.40,37.73,38.17,4111431
1-Jul-13,38.56,38.72,37.76,37.80,3799789
28-Jun-13,38.44,38.57,37.81,38.18,5071493
27-Jun-13,38.34,38.95,38.30,38.84,5188179
26-Jun-13,37.75,38.20,37.72,38.00,5046835
25-Jun-13,37.61,38.24,37.34,37.44,5832908
24-Jun-13,37.63,37.63,36.13,36.95,8584076
21-Jun-13,37.00,38.83,36.09,38.30,15551092
20-Jun-13,37.36,37.79,36.58,36.75,5538138
19-Jun-13,38.25,38.50,37.58,37.65,4961457
18-Jun-13,38.25,38.52,38.04,38.25,3208058
17-Jun-13,37.22,38.82,37.08,38.22,6521752
14-Jun-13,37.79,38.72,37.50,37.56,4933257
13-Jun-13,37.46,37.98,36.87,37.80,5839058
12-Jun-13,38.12,38.51,37.29,37.58,7770470
11-Jun-13,38.24,38.32,37.34,37.59,8934618
10-Jun-13,39.95,39.97,38.52,38.68,10801806
7-Jun-13,38.38,39.64,38.27,39.61,10149774
6-Jun-13,37.87,38.40,37.10,38.06,10971744
5-Jun-13,38.68,38.81,37.69,37.95,18561098
4-Jun-13,39.25,40.19,37.57,37.80,29720635
3-Jun-13,42.37,42.44,40.09,41.04,8969737
31-May-13,42.52,43.06,42.08,42.33,5759398
30-May-13,42.09,42.97,42.00,42.76,5558604
29-May-13,41.18,42.36,40.85,41.93,8799766
28-May-13,43.53,43.53,41.62,41.80,10071905
24-May-13,42.75,43.82,41.80,43.25,21579137
23-May-13,43.44,46.05,43.02,45.69,12218688
22-May-13,46.43,47.22,45.53,45.78,6710991
21-May-13,47.05,47.11,46.30,46.33,6115856
20-May-13,47.14,47.58,46.82,47.01,6331793
17-May-13,46.18,46.83,45.75,46.79,4791486
16-May-13,45.39,47.31,45.29,46.15,7165468
15-May-13,45.03,45.07,44.41,44.79,3100093
14-May-13,44.05,45.04,44.01,44.98,4119675
13-May-13,44.33,44.56,43.83,43.96,2946288
10-May-13,43.21,44.25,43.21,44.17,4287552
9-May-13,42.35,43.78,42.28,43.15,6062212
8-May-13,42.43,42.59,42.20,42.37,3030766
7-May-13,42.64,42.85,42.11,42.42,2806940
6-May-13,42.33,42.84,42.30,42.44,4306527
3-May-13,42.27,42.50,42.06,42.24,2897014
2-May-13,41.77,42.10,41.50,41.87,3598443
1-May-13,41.21,42.19,41.12,41.56,6423995
30-Apr-13,41.05,41.24,40.71,41.11,3806589
29-Apr-13,40.75,41.28,40.55,41.01,2654498
26-Apr-13,40.84,41.10,40.64,40.71,2646256
25-Apr-13,41.10,41.17,40.62,40.76,5150560
24-Apr-13,41.02,41.53,40.87,40.91,2671992
23-Apr-13,40.71,41.55,40.61,41.08,4116263
22-Apr-13,41.06,41.17,40.13,40.32,4897810
19-Apr-13,41.02,41.25,39.75,40.88,8714683
18-Apr-13,41.17,41.91,40.76,41.03,4476925
17-Apr-13,42.21,42.66,41.42,41.84,5535820
16-Apr-13,41.68,42.60,41.52,42.60,6040052
15-Apr-13,42.00,42.48,41.30,41.30,7121064
12-Apr-13,41.59,42.46,41.12,42.38,7168720
11-Apr-13,41.88,42.08,41.41,41.63,6845720
10-Apr-13,41.48,42.30,41.38,42.20,4476780
9-Apr-13,41.88,41.88,40.89,41.33,5303976
8-Apr-13,41.24,41.80,40.99,41.72,3674200
5-Apr-13,40.42,41.43,40.33,41.36,5287916
4-Apr-13,42.13,42.16,41.13,41.60,5680388
3-Apr-13,43.70,43.96,41.67,42.13,8306560
2-Apr-13,44.25,44.32,43.70,43.83,3875544
1-Apr-13,44.68,44.91,43.68,43.85,4824468
28-Mar-13,43.96,44.80,43.77,44.71,6540900
27-Mar-13,43.23,44.04,43.12,43.97,5028648
26-Mar-13,43.38,43.70,42.80,43.40,4500948
25-Mar-13,43.98,44.07,43.06,43.19,5163836
22-Mar-13,43.85,44.28,43.26,44.02,7259256
21-Mar-13,42.69,43.42,42.54,43.18,6507052
20-Mar-13,43.29,43.42,42.94,43.13,4593440
19-Mar-13,43.63,43.68,42.59,42.81,7280500
18-Mar-13,43.82,44.25,43.46,43.53,6498844
15-Mar-13,44.61,44.96,44.05,44.12,9872472
14-Mar-13,45.41,45.72,44.59,44.62,7149992
13-Mar-13,45.38,45.41,44.74,45.23,6624144
12-Mar-13,45.68,45.83,45.12,45.20,8921652
11-Mar-13,46.38,46.98,46.38,46.48,4045032
8-Mar-13,46.45,46.51,45.77,46.46,4218500
7-Mar-13,46.62,46.64,46.02,46.12,3819964
6-Mar-13,46.42,46.87,46.14,46.59,4816236
5-Mar-13,45.94,46.47,45.76,46.44,9380952
4-Mar-13,45.50,46.66,45.37,46.47,9554472
1-Mar-13,44.38,45.81,42.70,45.50,26728428
28-Feb-13,41.77,42.48,41.77,42.30,14841348
27-Feb-13,40.84,42.05,40.50,41.74,6224064
26-Feb-13,40.95,41.67,40.56,40.84,6919608
25-Feb-13,42.45,42.74,40.82,40.88,10161184
22-Feb-13,42.54,42.64,42.19,42.64,4078316
21-Feb-13,42.72,42.79,41.94,42.14,5466956
20-Feb-13,43.72,43.90,42.76,42.77,5300332
19-Feb-13,43.68,43.94,43.45,43.71,3496836
15-Feb-13,43.69,43.96,43.15,43.76,5413348
14-Feb-13,43.07,43.86,42.89,43.62,6841256
13-Feb-13,43.09,43.34,42.50,43.08,4106540
12-Feb-13,42.68,43.25,42.62,43.09,5906404
11-Feb-13,42.70,42.81,42.27,42.66,5683700
8-Feb-13,42.62,42.86,42.37,42.49,4284032
7-Feb-13,42.94,43.12,42.29,42.51,4345708
6-Feb-13,42.87,43.33,42.67,42.82,4883060
5-Feb-13,43.27,43.44,42.78,43.10,3768000
4-Feb-13,43.45,43.70,42.96,43.19,5354188
1-Feb-13,43.50,43.96,43.31,43.76,5180004
31-Jan-13,43.35,43.70,42.65,43.03,4999460
30-Jan-13,43.76,44.11,42.94,43.08,7245004
29-Jan-13,43.68,44.00,43.08,43.67,6209212
28-Jan-13,44.33,44.73,44.16,44.52,8180204
25-Jan-13,43.30,43.94,43.15,43.46,6516056
24-Jan-13,42.69,43.37,42.62,43.07,5149504
23-Jan-13,41.80,42.93,41.79,42.60,5760656
22-Jan-13,42.50,42.57,41.53,41.72,7501696
18-Jan-13,42.88,43.02,41.91,42.50,6345652
17-Jan-13,42.70,43.33,42.60,42.78,6335424
16-Jan-13,43.50,43.68,41.82,42.41,16573300
15-Jan-13,43.11,43.74,42.79,43.66,4128544
14-Jan-13,43.24,43.70,43.11,43.50,3813800
11-Jan-13,43.12,43.41,42.81,43.34,5299484
10-Jan-13,43.15,43.46,42.46,43.28,4751260
9-Jan-13,42.53,43.09,42.33,42.96,3856368
8-Jan-13,42.34,42.68,41.89,42.49,3954736
7-Jan-13,42.32,42.32,41.69,42.24,4185564
4-Jan-13,42.16,42.60,42.02,42.40,3296032
3-Jan-13,42.52,43.14,42.03,42.18,5707236
2-Jan-13,42.94,43.49,41.72,42.79,8162736
31-Dec-12,40.95,42.08,40.73,42.02,6147900
28-Dec-12,41.11,41.44,40.88,41.04,4131520
27-Dec-12,41.57,41.86,40.66,41.56,5890256
26-Dec-12,42.30,42.42,41.32,41.58,3720188
24-Dec-12,42.09,42.36,42.00,42.34,1647696
21-Dec-12,41.98,42.44,41.87,42.24,10736560
20-Dec-12,42.50,42.56,42.13,42.52,4706316
19-Dec-12,42.82,43.19,42.45,42.46,4175988
18-Dec-12,42.25,42.91,42.18,42.72,4889948
17-Dec-12,41.19,42.64,41.16,42.23,10101064
14-Dec-12,41.32,42.04,41.32,41.70,5086752
13-Dec-12,41.54,41.85,41.39,41.66,6461344
12-Dec-12,41.30,42.03,41.10,41.76,9206188
11-Dec-12,39.59,41.47,39.59,41.25,17483400
10-Dec-12,39.18,39.62,39.10,39.60,3867552
7-Dec-12,39.27,39.62,39.02,39.18,5181884
6-Dec-12,39.12,39.68,39.00,39.35,5109880
5-Dec-12,39.06,39.28,38.31,39.22,5315492
4-Dec-12,39.26,39.42,38.78,39.24,3896056
3-Dec-12,39.68,39.88,39.22,39.26,4641648
30-Nov-12,39.54,39.70,39.24,39.42,3504140
29-Nov-12,39.50,39.95,39.46,39.69,5778396
28-Nov-12,38.78,39.52,38.75,39.46,6705628
27-Nov-12,39.34,39.81,39.04,39.09,11894884
26-Nov-12,39.22,40.12,39.15,40.06,10961748
23-Nov-12,39.09,39.92,38.75,39.86,8430444
21-Nov-12,37.52,39.77,37.45,39.70,27937192
20-Nov-12,36.84,37.38,36.09,36.48,12296512
19-Nov-12,36.33,37.39,36.33,36.83,8463260
16-Nov-12,35.34,36.22,35.04,36.08,6346244
15-Nov-12,35.05,35.26,34.86,35.18,4549932
14-Nov-12,35.68,35.95,34.84,34.92,5551668
13-Nov-12,35.05,35.67,34.77,35.28,4170332
12-Nov-12,35.42,35.71,34.94,35.42,4835112
9-Nov-12,35.60,36.08,35.26,35.28,6523956
8-Nov-12,36.57,36.69,35.62,35.82,8839256
7-Nov-12,36.48,36.93,36.46,36.63,5667352
6-Nov-12,36.38,37.27,36.38,36.93,3989408
5-Nov-12,36.72,36.72,35.85,36.27,6740232
2-Nov-12,36.79,37.10,36.47,36.65,7024324
1-Nov-12,35.81,36.74,34.76,36.56,10003744
31-Oct-12,36.21,36.82,36.00,36.50,6795440
26-Oct-12,36.40,36.83,36.32,36.66,8318936
25-Oct-12,37.25,37.31,35.64,36.33,17441232
24-Oct-12,37.45,37.79,36.87,37.06,5813924
23-Oct-12,36.47,37.38,36.38,37.20,4797900
22-Oct-12,37.32,37.50,36.56,36.91,6422080
19-Oct-12,37.42,37.80,37.10,37.25,8388872
18-Oct-12,37.79,38.02,37.22,37.52,6158876
17-Oct-12,38.74,38.81,37.66,37.91,6300788
16-Oct-12,38.69,38.92,38.40,38.86,4083620
15-Oct-12,38.27,38.74,37.88,38.54,3823704
12-Oct-12,38.32,38.69,38.05,38.32,4350892
11-Oct-12,38.24,38.74,37.91,38.15,5578692
10-Oct-12,38.04,38.15,37.17,37.54,4949152
9-Oct-12,38.26,38.60,37.55,38.04,5986904
8-Oct-12,38.49,39.11,38.18,38.40,4539640
5-Oct-12,39.87,39.96,38.44,38.68,6718024
4-Oct-12,38.88,39.53,38.72,39.46,6671072
3-Oct-12,38.38,39.45,38.33,39.26,8755200
2-Oct-12,37.88,38.47,37.57,38.24,5214472
1-Oct-12,38.29,38.37,37.40,37.78,8091388
28-Sep-12,37.92,38.57,37.78,38.17,6212680
27-Sep-12,37.60,38.54,37.32,38.30,6905048
26-Sep-12,37.76,37.84,36.56,37.24,8626704
25-Sep-12,38.48,38.96,38.03,38.03,6297200
24-Sep-12,38.44,38.78,38.01,38.39,4796144
21-Sep-12,39.14,39.44,38.75,38.80,9856880
20-Sep-12,39.50,39.65,38.50,39.00,7120460
19-Sep-12,38.98,39.73,38.64,39.50,8077976
18-Sep-12,39.38,39.50,38.96,39.07,6022700
17-Sep-12,39.75,39.97,39.41,39.54,5741652
14-Sep-12,39.18,40.48,39.14,39.86,13432504
13-Sep-12,38.38,39.50,38.19,39.25,10944772
12-Sep-12,37.77,38.71,37.75,38.18,10642724
11-Sep-12,37.27,37.80,37.05,37.70,6767372
10-Sep-12,37.46,37.70,37.13,37.34,4714696
7-Sep-12,37.20,37.64,37.02,37.39,6190256
6-Sep-12,36.38,37.47,36.23,37.22,9193884
