Date,Open,High,Low,Close,Volume
29-Nov-13,122.83,123.30,122.00,122.44,3721043
27-Nov-13,122.62,122.74,121.64,122.42,3906714
26-Nov-13,123.41,123.70,122.65,122.78,4597479
25-Nov-13,123.77,124.10,123.22,123.74,3925266
22-Nov-13,123.54,124.19,122.42,124.03,3887477
21-Nov-13,122.36,123.60,122.36,123.46,4885180
20-Nov-13,122.16,122.75,121.60,122.00,4571346
19-Nov-13,120.55,122.38,120.27,122.06,5891835
18-Nov-13,120.70,120.89,120.07,120.56,4788683
15-Nov-13,119.78,120.27,119.13,120.06,6008388
14-Nov-13,119.58,119.93,119.32,119.56,5473175
13-Nov-13,119.58,120.15,119.19,120.09,6214448
12-Nov-13,121.03,121.25,119.62,120.00,6916783
11-Nov-13,121.18,121.50,120.71,121.08,3427927
8-Nov-13,119.67,121.21,119.58,121.19,11332421
7-Nov-13,121.60,121.88,119.42,119.91,10137342
6-Nov-13,119.30,121.41,118.82,121.14,8373190
5-Nov-13,117.60,118.90,117.07,118.45,6631560
4-Nov-13,118.59,118.60,117.32,118.10,6670253
1-Nov-13,119.04,119.44,117.00,118.01,9344455
31-Oct-13,120.15,121.33,119.83,119.96,7754754
30-Oct-13,121.54,121.96,119.91,120.30,4999699
29-Oct-13,121.33,122.01,121.16,121.50,4241738
28-Oct-13,120.56,121.15,120.09,120.91,5497678
25-Oct-13,120.59,121.22,120.27,120.59,4273268
24-Oct-13,120.67,121.00,119.91,120.56,4172752
23-Oct-13,120.29,120.64,119.84,120.13,4963627
22-Oct-13,120.14,120.79,119.71,120.64,6446466
21-Oct-13,119.63,120.19,119.31,119.82,4360694
18-Oct-13,119.61,119.85,119.13,119.65,6231468
17-Oct-13,119.10,119.61,118.67,119.52,5256381
16-Oct-13,119.42,119.72,118.34,119.16,5622581
15-Oct-13,118.56,119.07,117.77,118.15,6418776
14-Oct-13,117.33,118.75,116.32,118.58,4789785
11-Oct-13,116.57,117.71,115.93,117.67,6535990
10-Oct-13,115.24,116.38,114.44,116.38,11137407
9-Oct-13,116.55,116.80,115.32,116.13,8863255
8-Oct-13,117.89,118.09,116.71,116.73,6741272
7-Oct-13,117.43,118.50,117.21,117.87,5677372
4-Oct-13,118.50,118.54,117.52,118.13,6538705
3-Oct-13,120.62,120.66,117.93,118.25,10206049
2-Oct-13,121.04,121.18,119.76,120.83,5867972
1-Oct-13,121.27,121.74,120.84,121.32,4703384
30-Sep-13,121.60,122.02,120.50,121.50,6401020
27-Sep-13,123.23,123.26,122.51,122.64,4520905
26-Sep-13,124.10,124.44,123.02,123.49,5022701
25-Sep-13,124.77,125.03,124.07,124.07,4498863
24-Sep-13,125.34,125.84,124.41,124.49,6099902
23-Sep-13,124.62,125.62,124.57,125.52,5431382
20-Sep-13,125.66,126.23,124.74,124.92,10275346
19-Sep-13,125.86,126.12,125.25,125.44,4444884
18-Sep-13,124.36,126.43,123.82,125.82,6292547
17-Sep-13,124.10,125.19,124.08,124.34,5459088
16-Sep-13,124.98,125.19,123.98,124.08,4285618
13-Sep-13,123.98,124.84,123.81,124.14,3094049
12-Sep-13,124.05,124.62,123.64,123.89,4529701
11-Sep-13,123.05,124.00,122.79,123.92,4995847
10-Sep-13,122.82,123.01,121.21,123.01,6001679
9-Sep-13,121.21,122.47,121.21,122.22,4393495
6-Sep-13,121.53,122.75,119.01,121.21,5688225
5-Sep-13,121.08,121.66,120.91,121.37,3338249
4-Sep-13,120.35,121.27,119.94,120.86,3673779
3-Sep-13,121.34,121.48,120.00,120.55,4154385
30-Aug-13,120.52,120.88,120.07,120.43,4696073
29-Aug-13,121.15,121.56,120.06,120.37,5490700
28-Aug-13,119.46,122.36,119.46,121.81,7615716
27-Aug-13,118.24,119.67,118.07,118.81,5184408
26-Aug-13,119.74,119.92,118.52,118.84,3783351
23-Aug-13,118.69,119.73,118.12,119.53,4677103
22-Aug-13,117.94,119.19,117.43,118.29,4028673
21-Aug-13,118.38,118.50,117.22,117.70,5653157
20-Aug-13,118.59,119.30,118.29,118.29,4491237
19-Aug-13,119.69,120.00,118.52,118.66,4309128
16-Aug-13,119.89,120.19,119.05,119.88,5653085
15-Aug-13,120.68,121.00,120.00,120.25,4247808
14-Aug-13,122.76,122.96,121.54,122.05,6886540
