Date,Open,High,Low,Close,Volume
29-Nov-13,16.13,16.14,16.07,16.07,171290
27-Nov-13,15.96,15.99,15.92,15.97,173051
26-Nov-13,16.00,16.03,15.95,16.02,660879
25-Nov-13,15.99,16.04,15.95,15.97,447419
22-Nov-13,16.10,16.12,16.03,16.07,351546
21-Nov-13,16.00,16.07,16.00,16.04,79089
20-Nov-13,16.11,16.16,16.06,16.06,122483
19-Nov-13,16.16,16.16,16.02,16.08,123449
18-Nov-13,16.15,16.19,16.09,16.16,191700
15-Nov-13,16.02,16.15,16.01,16.15,123460
14-Nov-13,15.92,15.96,15.85,15.96,270692
13-Nov-13,15.88,15.97,15.81,15.97,187472
12-Nov-13,15.86,15.89,15.84,15.87,121650
11-Nov-13,15.78,15.81,15.71,15.77,293403
8-Nov-13,15.80,15.80,15.69,15.70,253926
7-Nov-13,15.82,15.83,15.72,15.76,261445
6-Nov-13,15.86,15.91,15.84,15.88,216808
5-Nov-13,15.80,15.80,15.73,15.78,107316
4-Nov-13,15.96,15.96,15.82,15.87,115190
1-Nov-13,15.80,15.87,15.76,15.87,191762
31-Oct-13,15.89,15.94,15.81,15.87,484513
30-Oct-13,15.90,15.91,15.78,15.80,172083
29-Oct-13,15.93,16.02,15.92,15.99,156959
28-Oct-13,15.72,15.78,15.70,15.74,213033
25-Oct-13,16.00,16.00,15.68,15.81,290392
24-Oct-13,16.07,16.14,16.02,16.06,240265
23-Oct-13,16.02,16.02,15.90,15.92,174316
22-Oct-13,16.01,16.12,15.97,16.09,103854
21-Oct-13,15.86,15.95,15.83,15.88,235939
18-Oct-13,15.91,16.00,15.88,15.95,107783
17-Oct-13,15.74,15.81,15.69,15.81,280535
16-Oct-13,15.80,15.80,15.67,15.75,335246
15-Oct-13,15.93,15.94,15.87,15.88,127810
14-Oct-13,16.04,16.11,16.02,16.11,80595
11-Oct-13,16.04,16.11,16.00,16.09,301545
10-Oct-13,15.92,16.19,15.92,16.15,262343
9-Oct-13,15.76,15.91,15.73,15.89,148174
8-Oct-13,15.76,15.80,15.64,15.65,209009
7-Oct-13,15.87,15.99,15.87,15.93,120438
4-Oct-13,16.02,16.10,16.02,16.08,108376
3-Oct-13,15.91,16.01,15.91,15.99,83933
2-Oct-13,15.90,15.94,15.84,15.91,129402
1-Oct-13,15.98,16.06,15.95,16.03,162689
30-Sep-13,16.20,16.25,16.16,16.22,163752
27-Sep-13,16.07,16.18,16.06,16.15,191596
26-Sep-13,16.27,16.29,16.21,16.22,283223
25-Sep-13,16.41,16.47,16.25,16.35,342928
24-Sep-13,16.60,16.63,16.53,16.55,165805
23-Sep-13,16.37,16.37,16.32,16.35,88763
20-Sep-13,16.34,16.36,16.25,16.33,250318
