Date,Open,High,Low,Close,Volume
29-Nov-13,49.77,50.75,49.71,50.52,9636624
27-Nov-13,49.29,49.86,49.15,49.30,12640187
26-Nov-13,49.26,49.27,48.06,48.76,23429501
25-Nov-13,50.72,50.74,48.47,49.04,34904347
22-Nov-13,50.27,50.52,50.18,50.33,13722817
21-Nov-13,50.77,50.80,49.93,50.21,17609612
20-Nov-13,52.48,52.50,49.86,50.39,34262761
19-Nov-13,52.43,52.50,51.94,52.13,10263297
18-Nov-13,52.33,52.69,51.73,52.08,12753940
15-Nov-13,53.02,53.12,52.32,52.60,10588533
14-Nov-13,53.10,53.48,52.68,52.88,10519427
13-Nov-13,52.60,53.04,52.47,53.03,7658912
12-Nov-13,52.05,53.20,51.96,52.83,10741792
11-Nov-13,52.63,53.08,52.50,52.82,6898854
8-Nov-13,52.84,53.17,52.47,53.00,9804309
7-Nov-13,53.50,53.85,52.31,52.57,9687193
6-Nov-13,51.57,53.82,51.12,53.28,25126766
5-Nov-13,51.27,51.34,50.52,51.08,11341673
4-Nov-13,51.99,52.28,51.31,51.37,8835564
1-Nov-13,52.94,52.99,51.85,51.94,12346728
31-Oct-13,52.73,52.93,52.25,52.71,9047478
30-Oct-13,53.51,53.51,52.52,52.72,8700053
29-Oct-13,52.29,53.37,52.08,53.34,12253291
28-Oct-13,51.80,52.28,51.46,51.97,8551595
25-Oct-13,52.59,52.92,51.05,51.64,15793169
24-Oct-13,52.07,52.51,51.85,52.34,9676137
23-Oct-13,51.75,52.28,51.57,51.73,8359574
22-Oct-13,52.31,52.36,51.57,51.83,11155104
21-Oct-13,52.43,52.59,51.60,51.94,14252661
18-Oct-13,51.58,52.68,50.46,52.20,30624874
17-Oct-13,50.33,51.87,50.23,51.38,34376189
16-Oct-13,54.44,54.44,53.16,53.52,19320622
15-Oct-13,54.59,54.80,53.82,53.97,8921700
14-Oct-13,54.11,54.78,53.86,54.77,6031497
11-Oct-13,53.55,54.79,53.49,54.37,8762457
10-Oct-13,52.88,53.55,52.58,53.42,8850739
9-Oct-13,53.13,53.23,52.10,52.33,9096133
8-Oct-13,54.52,54.60,52.63,52.97,9221326
7-Oct-13,54.90,55.43,54.52,54.57,5321826
4-Oct-13,55.06,55.80,54.82,55.58,5869147
3-Oct-13,55.50,55.77,54.49,54.91,6699129
2-Oct-13,55.57,55.72,55.11,55.63,6302270
1-Oct-13,55.65,56.25,55.59,55.97,5803978
30-Sep-13,55.27,56.07,55.00,55.80,8058310
27-Sep-13,56.10,56.30,55.67,55.78,7229460
26-Sep-13,54.63,56.90,54.47,56.64,13906426
25-Sep-13,55.02,55.18,54.02,54.21,7504314
24-Sep-13,55.00,55.47,54.64,55.17,6652661
23-Sep-13,55.01,55.30,54.28,54.76,7224795
20-Sep-13,54.60,55.25,54.54,54.95,11473494
19-Sep-13,54.98,55.10,54.14,54.45,6311357
18-Sep-13,54.31,54.75,53.76,54.68,10319895
17-Sep-13,53.96,55.07,53.86,54.63,10349534
16-Sep-13,54.48,54.65,53.44,53.65,6995520
13-Sep-13,54.19,54.22,53.40,53.82,5218729
12-Sep-13,54.46,54.61,53.50,54.04,7936698
11-Sep-13,53.00,54.47,53.00,54.28,9996309
10-Sep-13,53.05,53.54,52.96,53.49,8747739
9-Sep-13,52.78,53.29,52.10,52.67,8933444
6-Sep-13,52.53,53.24,52.28,52.83,12056090
5-Sep-13,51.48,52.23,51.29,51.95,6752834
4-Sep-13,50.75,51.65,50.41,51.45,9502414
3-Sep-13,50.58,51.08,50.08,50.32,8138203
30-Aug-13,51.09,51.10,49.62,49.99,11123775
29-Aug-13,50.22,51.48,50.20,50.99,7109271
28-Aug-13,50.75,51.01,50.42,50.43,8138571
27-Aug-13,51.24,51.49,50.42,50.61,10315838
26-Aug-13,51.67,52.14,51.21,51.96,8070908
23-Aug-13,51.22,51.70,51.14,51.65,7025948
22-Aug-13,51.20,51.62,51.01,51.08,7479349
21-Aug-13,51.74,51.87,50.81,50.96,12852648
20-Aug-13,52.30,52.62,51.78,51.99,9379423
19-Aug-13,52.74,53.28,52.04,52.07,6644480
16-Aug-13,53.09,53.64,52.69,52.92,7531618
15-Aug-13,53.39,53.46,51.68,53.18,15268889
14-Aug-13,54.14,54.52,53.99,54.23,6768009
13-Aug-13,53.74,54.48,53.51,54.12,9443214
12-Aug-13,52.75,53.46,52.52,53.28,4713978
9-Aug-13,53.54,53.78,52.97,53.33,6381518
8-Aug-13,53.53,53.73,52.84,53.57,5637204
7-Aug-13,53.43,53.88,52.98,53.01,7062208
6-Aug-13,52.71,53.79,52.44,53.70,10343374
5-Aug-13,52.63,52.95,52.33,52.71,5381115
2-Aug-13,52.45,52.75,52.13,52.54,8508685
1-Aug-13,52.14,52.43,51.79,52.41,8103955
31-Jul-13,52.18,52.18,51.40,51.69,7732670
30-Jul-13,51.98,52.11,51.60,51.98,7814557
29-Jul-13,52.10,52.53,51.50,51.64,7500242
26-Jul-13,51.42,52.41,50.92,52.25,12708212
25-Jul-13,52.00,52.23,51.33,51.50,10152383
24-Jul-13,51.61,52.37,51.60,52.10,15500253
23-Jul-13,52.38,52.46,51.52,51.64,11021729
22-Jul-13,52.42,52.47,51.89,52.31,15576045
19-Jul-13,53.75,53.92,52.12,52.18,19230296
18-Jul-13,53.58,53.85,53.16,53.52,43088889
17-Jul-13,56.85,57.50,56.68,57.38,15158003
16-Jul-13,56.83,56.96,56.26,56.81,9020097
15-Jul-13,57.02,57.09,56.18,56.45,6880479
12-Jul-13,55.80,57.07,55.75,57.04,8641269
11-Jul-13,55.36,56.15,55.34,55.88,9692297
10-Jul-13,54.66,55.22,54.61,54.88,6953633
9-Jul-13,54.12,54.62,54.02,54.49,7097268
8-Jul-13,54.28,54.38,53.37,53.71,6064112
5-Jul-13,53.77,53.89,53.01,53.85,4514644
3-Jul-13,52.85,53.53,52.80,53.17,4199875
2-Jul-13,53.02,53.63,52.94,53.33,8195192
1-Jul-13,52.20,53.28,52.03,52.90,8950455
28-Jun-13,51.59,52.44,51.22,51.72,15340618
27-Jun-13,51.77,52.29,51.69,52.14,9038976
26-Jun-13,52.03,52.10,51.00,51.33,10948875
25-Jun-13,51.34,51.91,51.30,51.64,8569442
24-Jun-13,50.83,51.33,50.09,50.82,9419795
21-Jun-13,50.81,51.24,50.25,51.13,13678330
20-Jun-13,51.79,51.83,50.48,50.74,10444200
19-Jun-13,52.64,52.99,52.17,52.23,12643355
18-Jun-13,52.21,52.86,52.10,52.56,5673113
17-Jun-13,51.90,52.74,51.76,52.07,7824356
14-Jun-13,51.50,51.77,51.07,51.29,6571066
13-Jun-13,50.71,51.62,50.64,51.48,10662413
12-Jun-13,52.34,52.37,50.73,50.75,10351864
11-Jun-13,52.25,52.64,51.87,52.05,12782339
10-Jun-13,51.80,53.39,51.60,53.25,11673601
7-Jun-13,51.95,52.19,51.42,51.45,11738983
6-Jun-13,51.15,51.66,50.83,51.52,9848529
5-Jun-13,52.57,52.68,50.91,51.36,14463075
4-Jun-13,53.74,53.75,52.22,52.59,10615412
3-Jun-13,53.86,53.89,52.40,53.41,13133202
31-May-13,54.70,54.91,53.99,54.10,12810071
30-May-13,55.01,55.69,54.96,55.10,8751999
29-May-13,55.15,55.40,54.53,55.05,8693771
28-May-13,55.25,56.25,55.21,55.53,9747716
24-May-13,53.80,54.65,53.57,54.64,7310148
23-May-13,53.69,54.56,53.32,54.48,9504721
22-May-13,55.32,55.82,54.13,54.40,11425781
21-May-13,55.96,56.11,54.94,54.95,13028809
20-May-13,56.56,56.66,55.76,55.95,8759845
17-May-13,56.49,57.10,56.47,56.71,11559148
16-May-13,56.80,56.90,55.72,55.80,8521430
15-May-13,56.27,56.68,56.06,56.65,8568093
14-May-13,55.15,56.41,55.14,56.27,9227399
13-May-13,55.79,55.80,55.09,55.33,7220655
10-May-13,55.39,55.82,55.21,55.65,7125447
9-May-13,54.99,55.99,54.79,55.17,9298074
8-May-13,54.01,54.98,53.77,54.96,7028336
7-May-13,53.93,54.13,53.10,53.94,9679914
6-May-13,54.06,54.82,53.76,54.09,6355849
3-May-13,54.00,54.51,53.60,54.21,7207364
2-May-13,52.42,53.70,52.03,53.55,9885069
1-May-13,52.38,52.87,51.92,52.40,7917150
30-Apr-13,52.67,53.14,52.13,52.39,9056833
29-Apr-13,52.61,53.00,52.21,52.84,7171243
26-Apr-13,52.40,52.86,51.89,52.54,10612866
25-Apr-13,53.31,53.36,52.07,52.36,11481105
24-Apr-13,53.00,53.33,52.64,52.97,10229182
23-Apr-13,51.96,52.77,51.85,52.49,12681589
22-Apr-13,52.14,52.32,51.16,51.63,13764193
19-Apr-13,52.77,53.24,51.90,52.39,15600700
18-Apr-13,53.85,54.24,52.73,52.82,25357841
17-Apr-13,56.49,56.83,55.65,56.10,14710510
16-Apr-13,56.19,57.15,56.00,57.01,8630262
15-Apr-13,56.98,57.48,55.68,55.84,9199347
12-Apr-13,57.90,57.90,56.81,57.31,6315678
11-Apr-13,57.42,58.04,57.21,57.78,7291266
