Date,Open,High,Low,Close,Volume
29-Nov-13,23.79,24.06,23.78,23.85,10276004
27-Nov-13,23.59,23.95,23.57,23.85,15612705
26-Nov-13,23.85,23.94,23.48,23.54,21978587
25-Nov-13,24.01,24.01,23.55,23.75,22283902
22-Nov-13,23.97,24.17,23.92,24.09,15678659
21-Nov-13,23.98,24.05,23.83,23.94,14786426
20-Nov-13,23.94,23.99,23.84,23.87,20188379
19-Nov-13,23.83,23.94,23.76,23.84,12463530
18-Nov-13,24.07,24.19,23.86,23.92,18514821
15-Nov-13,23.81,24.18,23.71,24.00,29298396
14-Nov-13,24.13,24.25,23.67,23.74,24598931
13-Nov-13,24.19,24.26,24.01,24.21,18985752
12-Nov-13,23.85,24.28,23.78,24.25,20794493
11-Nov-13,24.04,24.04,23.84,23.87,14917459
8-Nov-13,23.90,24.07,23.86,23.95,17630662
7-Nov-13,24.01,24.14,23.82,23.87,17807975
6-Nov-13,23.74,23.99,23.62,23.91,23596983
5-Nov-13,23.50,23.61,23.35,23.55,18002090
4-Nov-13,23.71,23.79,23.57,23.58,14750130
1-Nov-13,24.06,24.11,23.60,23.65,24660108
31-Oct-13,24.03,24.43,23.99,24.07,23766784
30-Oct-13,24.09,24.17,23.94,24.00,15945966
29-Oct-13,23.94,24.19,23.91,24.00,19157789
28-Oct-13,23.80,23.95,23.71,23.85,17695450
25-Oct-13,23.83,23.86,23.71,23.80,30518643
24-Oct-13,23.77,23.94,23.66,23.71,22453254
23-Oct-13,23.65,23.83,23.29,23.67,52462485
22-Oct-13,24.10,24.49,23.95,24.04,72935191
21-Oct-13,25.23,25.47,25.00,25.24,25838912
18-Oct-13,24.66,25.25,24.47,25.08,24670849
17-Oct-13,24.43,24.71,24.16,24.62,27826411
16-Oct-13,24.74,24.97,24.65,24.78,23058219
15-Oct-13,25.31,25.37,24.61,24.65,23132452
14-Oct-13,25.11,25.42,25.07,25.39,9124781
11-Oct-13,25.26,25.44,25.12,25.30,12461667
10-Oct-13,25.00,25.20,24.84,25.16,19608599
9-Oct-13,24.62,24.90,24.44,24.81,22900865
8-Oct-13,25.35,25.38,24.55,24.58,30720574
7-Oct-13,25.20,25.50,25.03,25.32,18733274
4-Oct-13,25.16,25.45,25.04,25.43,33220814
3-Oct-13,25.64,25.66,25.05,25.16,22296716
2-Oct-13,25.63,25.80,25.60,25.72,23265038
1-Oct-13,25.56,25.85,25.52,25.71,12530897
30-Sep-13,25.85,25.85,25.50,25.56,23051443
27-Sep-13,26.13,26.18,25.99,26.07,16120512
26-Sep-13,26.29,26.64,26.21,26.28,11287753
25-Sep-13,25.89,26.29,25.87,26.20,20558876
24-Sep-13,25.81,26.13,25.50,25.90,26812800
23-Sep-13,26.26,26.42,26.12,26.24,13658210
20-Sep-13,26.96,26.97,26.38,26.43,21013208
19-Sep-13,27.12,27.30,26.92,26.94,19695539
18-Sep-13,26.83,27.14,26.76,27.02,13312679
17-Sep-13,26.94,27.05,26.80,26.81,9212445
16-Sep-13,27.09,27.14,26.83,26.88,13998342
13-Sep-13,26.99,27.00,26.69,26.84,13191687
12-Sep-13,26.91,27.20,26.86,26.98,15536056
11-Sep-13,27.00,27.18,26.91,26.99,18597205
10-Sep-13,26.87,27.04,26.85,26.97,12451204
9-Sep-13,26.41,26.83,26.35,26.73,12840366
6-Sep-13,26.31,26.60,26.20,26.39,10285057
5-Sep-13,26.20,26.48,26.08,26.32,10764952
4-Sep-13,26.05,26.25,26.02,26.21,10019817
3-Sep-13,25.95,26.27,25.92,25.99,12137210
30-Aug-13,25.87,25.99,25.64,25.78,9302453
29-Aug-13,25.70,26.00,25.62,25.86,8127149
28-Aug-13,25.71,25.92,25.69,25.75,8713927
27-Aug-13,25.99,26.12,25.65,25.71,12177314
26-Aug-13,26.35,26.62,26.23,26.27,12252002
23-Aug-13,26.12,26.41,26.06,26.38,12407489
22-Aug-13,25.78,26.05,25.73,25.95,8388556
21-Aug-13,25.64,26.04,25.59,25.75,11841550
20-Aug-13,25.69,25.80,25.46,25.60,14908695
19-Aug-13,25.86,26.00,25.71,25.73,11326677
16-Aug-13,26.02,26.10,25.85,25.88,18422515
15-Aug-13,26.29,26.45,25.93,26.03,22002799
14-Aug-13,27.03,27.08,26.72,26.78,15377341
13-Aug-13,27.01,27.09,26.81,26.93,11118654
12-Aug-13,26.70,27.12,26.67,26.97,12250679
9-Aug-13,26.86,27.07,26.77,26.85,11384510
8-Aug-13,26.60,27.20,26.54,27.04,17944717
