Date,Open,High,Low,Close,Volume
29-Nov-13,17.06,17.18,17.04,17.08,14918840
27-Nov-13,16.86,17.09,16.81,17.03,31559712
26-Nov-13,17.05,17.05,16.85,16.87,26440554
25-Nov-13,17.10,17.14,16.93,16.94,25129544
22-Nov-13,17.12,17.14,17.00,17.01,29794776
21-Nov-13,17.01,17.15,16.98,17.09,33051191
20-Nov-13,16.89,17.08,16.84,16.92,31087637
19-Nov-13,16.99,17.03,16.82,16.87,26841783
18-Nov-13,17.07,17.18,16.92,16.98,31231282
15-Nov-13,17.13,17.15,17.00,17.07,33105205
14-Nov-13,17.12,17.20,17.01,17.09,35559912
13-Nov-13,16.66,17.10,16.64,17.10,39159991
12-Nov-13,16.80,16.85,16.66,16.72,31432341
11-Nov-13,16.87,17.14,16.73,16.89,29561199
8-Nov-13,16.66,16.87,16.61,16.85,38987344
7-Nov-13,16.91,16.92,16.53,16.55,47526874
6-Nov-13,17.16,17.20,16.85,16.91,37052438
5-Nov-13,16.89,17.14,16.83,17.09,43523805
4-Nov-13,16.97,17.01,16.78,17.00,33974656
1-Nov-13,17.24,17.24,16.76,16.89,52492989
31-Oct-13,17.29,17.33,17.10,17.11,38742669
30-Oct-13,17.62,17.64,17.25,17.34,39898538
29-Oct-13,17.57,17.62,17.41,17.61,36931547
28-Oct-13,17.66,17.72,17.52,17.57,37323019
25-Oct-13,17.84,17.85,17.42,17.60,47380892
24-Oct-13,18.01,18.02,17.64,17.76,71090034
23-Oct-13,17.66,17.71,17.39,17.52,45496200
22-Oct-13,17.55,17.68,17.44,17.60,30226515
21-Oct-13,17.59,17.60,17.41,17.50,22159654
18-Oct-13,17.52,17.55,17.43,17.53,23022146
17-Oct-13,17.24,17.49,17.24,17.46,26889382
16-Oct-13,17.08,17.29,17.03,17.29,33098327
15-Oct-13,17.18,17.21,16.95,16.97,39294096
14-Oct-13,16.93,17.25,16.92,17.18,31229631
11-Oct-13,17.02,17.12,16.88,17.11,30814195
10-Oct-13,16.87,17.00,16.83,16.93,46955720
9-Oct-13,16.51,16.74,16.35,16.62,50838247
8-Oct-13,16.83,16.85,16.45,16.50,45335668
7-Oct-13,16.86,16.95,16.81,16.81,30339569
4-Oct-13,16.97,17.14,16.94,17.09,24997202
3-Oct-13,17.11,17.17,16.76,16.95,36628838
2-Oct-13,17.09,17.22,16.95,17.21,29419736
1-Oct-13,16.93,17.34,16.92,17.19,41816955
30-Sep-13,16.77,17.01,16.69,16.87,36444527
27-Sep-13,17.17,17.20,17.00,17.05,34024213
26-Sep-13,17.26,17.38,17.12,17.27,32360852
25-Sep-13,17.25,17.40,17.16,17.19,31638500
24-Sep-13,17.23,17.40,17.08,17.26,33788944
23-Sep-13,17.27,17.35,16.98,17.20,42548761
20-Sep-13,17.71,17.71,17.30,17.39,47961983
19-Sep-13,17.75,17.77,17.51,17.66,30750335
18-Sep-13,17.36,17.77,17.34,17.62,45175026
17-Sep-13,17.35,17.45,17.30,17.44,23176278
16-Sep-13,17.53,17.59,17.30,17.35,27078925
13-Sep-13,17.45,17.49,17.28,17.35,21581414
12-Sep-13,17.55,17.56,17.31,17.39,26855331
11-Sep-13,17.50,17.58,17.39,17.54,32865544
10-Sep-13,17.49,17.68,17.37,17.55,45861816
9-Sep-13,17.11,17.41,17.10,17.31,38235384
6-Sep-13,17.33,17.34,16.82,17.00,61688206
5-Sep-13,17.10,17.35,17.03,17.30,55979780
4-Sep-13,16.38,17.02,16.37,16.91,69543347
3-Sep-13,16.42,16.54,16.21,16.34,33457667
30-Aug-13,16.58,16.59,16.12,16.19,40290569
29-Aug-13,16.21,16.66,16.15,16.50,47727543
28-Aug-13,15.86,16.15,15.71,16.02,37035369
27-Aug-13,16.16,16.18,15.85,15.88,43925469
26-Aug-13,16.44,16.62,16.38,16.41,24792587
23-Aug-13,16.47,16.52,16.35,16.45,21547927
22-Aug-13,16.29,16.49,16.25,16.41,16471896
21-Aug-13,16.31,16.42,16.11,16.25,34926512
20-Aug-13,16.06,16.36,15.82,16.31,42599238
19-Aug-13,16.29,16.31,16.11,16.12,28013524
16-Aug-13,16.45,16.60,16.22,16.30,30477287
15-Aug-13,16.71,16.73,16.22,16.43,55905236
14-Aug-13,17.04,17.06,16.85,16.89,29255631
13-Aug-13,17.15,17.21,16.96,17.06,22371904
12-Aug-13,16.91,17.14,16.89,17.07,23170601
9-Aug-13,16.95,17.11,16.94,17.02,25640699
8-Aug-13,16.94,17.03,16.87,16.98,26626154
7-Aug-13,16.95,16.96,16.72,16.77,33058014
6-Aug-13,17.18,17.23,17.00,17.03,29013933
5-Aug-13,17.44,17.50,17.11,17.19,53812955
2-Aug-13,17.15,17.50,17.12,17.50,32234781
1-Aug-13,17.04,17.21,16.95,17.19,39519529
31-Jul-13,17.09,17.15,16.84,16.88,42167282
30-Jul-13,17.19,17.25,17.06,17.08,25879793
29-Jul-13,17.08,17.19,17.05,17.08,27831435
26-Jul-13,16.92,17.13,16.90,17.02,30356128
25-Jul-13,17.26,17.27,16.88,16.96,51596223
24-Jul-13,17.48,17.68,17.25,17.37,78609334
23-Jul-13,17.16,17.17,16.82,16.94,35019062
22-Jul-13,16.87,17.04,16.83,17.04,28747564
19-Jul-13,16.89,16.89,16.65,16.76,29593880
18-Jul-13,16.82,16.98,16.78,16.93,24606383
17-Jul-13,16.64,16.83,16.62,16.78,27888019
16-Jul-13,16.95,16.95,16.41,16.60,63282542
15-Jul-13,17.24,17.29,17.10,17.12,26663467
12-Jul-13,16.98,17.11,16.97,17.11,27306032
11-Jul-13,16.95,16.99,16.86,16.98,34601765
10-Jul-13,16.76,16.88,16.65,16.72,38164691
9-Jul-13,16.86,16.94,16.72,16.84,33770384
8-Jul-13,16.85,16.93,16.75,16.81,42020774
5-Jul-13,16.53,16.74,16.48,16.70,44732244
3-Jul-13,16.15,16.45,16.14,16.43,38114464
2-Jul-13,15.76,16.21,15.69,16.18,70277383
1-Jul-13,15.61,15.79,15.56,15.74,36012492
28-Jun-13,15.56,15.65,15.44,15.47,45071327
27-Jun-13,15.43,15.70,15.39,15.65,35859602
26-Jun-13,15.16,15.31,15.10,15.29,39603739
25-Jun-13,14.85,15.00,14.84,14.97,34037202
24-Jun-13,14.67,14.83,14.30,14.67,58604767
21-Jun-13,15.02,15.06,14.59,15.00,48242170
20-Jun-13,15.19,15.28,14.75,14.82,57317740
19-Jun-13,15.60,15.62,15.31,15.32,35997899
18-Jun-13,15.54,15.71,15.44,15.65,25959707
17-Jun-13,15.53,15.72,15.44,15.55,31359990
14-Jun-13,15.52,15.57,15.35,15.37,27152888
13-Jun-13,15.31,15.60,15.18,15.58,34327479
12-Jun-13,15.63,15.71,15.31,15.37,36213590
11-Jun-13,15.52,15.68,15.40,15.51,35334834
10-Jun-13,15.86,15.90,15.60,15.71,29589984
7-Jun-13,15.58,15.76,15.46,15.73,37107776
6-Jun-13,15.25,15.48,15.06,15.44,54820077
5-Jun-13,15.70,15.71,15.18,15.25,64862392
4-Jun-13,15.98,16.09,15.63,15.78,50273310
3-Jun-13,15.93,16.08,15.51,15.89,59023547
31-May-13,15.88,16.04,15.68,15.68,52118915
30-May-13,15.76,16.02,15.74,15.90,61804939
29-May-13,15.27,15.72,15.24,15.63,65167317
28-May-13,15.22,15.35,15.10,15.28,59250415
24-May-13,14.71,14.88,14.66,14.79,25291612
23-May-13,14.50,14.94,14.37,14.81,49131116
22-May-13,15.08,15.32,14.86,14.97,67069643
21-May-13,15.07,15.22,14.75,14.95,61840257
20-May-13,15.01,15.23,15.00,15.05,34582931
17-May-13,14.79,15.15,14.75,15.08,59748157
16-May-13,14.77,14.85,14.60,14.64,40931349
15-May-13,14.28,14.77,14.27,14.67,56874913
14-May-13,14.00,14.30,13.98,14.27,32394467
13-May-13,14.10,14.12,13.92,14.01,22763720
10-May-13,14.21,14.23,14.02,14.11,30887495
9-May-13,14.19,14.26,14.16,14.20,30576820
8-May-13,14.15,14.24,14.10,14.21,33340148
7-May-13,14.20,14.25,14.09,14.19,42076994
6-May-13,13.86,14.15,13.83,14.09,53821305
3-May-13,13.58,13.83,13.57,13.83,45935157
2-May-13,13.54,13.55,13.38,13.41,33982885
1-May-13,13.64,13.78,13.35,13.38,39353961
30-Apr-13,13.66,13.74,13.52,13.71,24864640
29-Apr-13,13.73,13.76,13.57,13.66,20670649
26-Apr-13,13.52,13.76,13.45,13.67,43817859
25-Apr-13,13.40,13.56,13.35,13.47,42025162
24-Apr-13,13.48,13.54,13.12,13.33,46035817
23-Apr-13,13.12,13.45,13.11,13.36,40082561
22-Apr-13,12.97,13.08,12.80,13.06,26089760
19-Apr-13,12.88,12.97,12.75,12.93,26972696
18-Apr-13,12.94,12.98,12.65,12.75,34884614
17-Apr-13,12.97,13.05,12.80,12.92,44583548
16-Apr-13,13.17,13.24,13.00,13.12,36346119
15-Apr-13,13.36,13.46,12.91,12.95,55886297
12-Apr-13,13.43,13.55,13.26,13.53,37956247
11-Apr-13,13.15,13.58,13.13,13.55,51493264
10-Apr-13,12.87,13.13,12.82,13.12,31095580
9-Apr-13,12.85,12.96,12.75,12.80,29826101
8-Apr-13,12.45,12.83,12.40,12.78,23891018
5-Apr-13,12.43,12.50,12.15,12.44,42610678
4-Apr-13,12.68,12.78,12.45,12.65,29808049
3-Apr-13,13.05,13.05,12.59,12.68,45191908
2-Apr-13,13.00,13.19,12.96,13.01,35197488
1-Apr-13,13.01,13.15,12.90,12.90,32966117
28-Mar-13,13.24,13.24,13.10,13.15,25474731
27-Mar-13,13.23,13.25,13.10,13.22,26240589
26-Mar-13,13.35,13.37,13.24,13.31,24241255
25-Mar-13,13.31,13.40,13.26,13.29,27244507
22-Mar-13,13.24,13.31,13.20,13.26,21423866
21-Mar-13,13.25,13.42,13.23,13.26,29740265
20-Mar-13,13.22,13.40,13.18,13.36,32693970
19-Mar-13,13.27,13.35,13.09,13.16,37639927
18-Mar-13,13.16,13.39,12.80,13.26,36877663
15-Mar-13,13.31,13.45,13.26,13.45,63020566
14-Mar-13,13.43,13.45,13.37,13.43,31658247
13-Mar-13,13.37,13.45,13.35,13.40,26467775
12-Mar-13,13.37,13.47,13.17,13.39,46047560
11-Mar-13,12.97,13.40,12.90,13.34,48696891
8-Mar-13,12.94,12.99,12.80,12.98,24719817
