Date,Open,High,Low,Close,Volume
29-Nov-13,26.75,26.87,26.63,26.66,21405931
27-Nov-13,26.83,26.90,26.75,26.83,22707733
26-Nov-13,26.72,26.94,26.72,26.78,36555553
25-Nov-13,27.14,27.17,26.73,26.73,32343094
22-Nov-13,26.87,27.09,26.86,27.08,22050921
21-Nov-13,27.02,27.02,26.76,26.91,30369466
20-Nov-13,26.99,27.17,26.88,26.96,30288795
19-Nov-13,27.13,27.33,26.92,27.03,35722019
18-Nov-13,27.28,27.50,27.11,27.22,39087309
15-Nov-13,27.01,27.43,26.97,27.20,51698463
14-Nov-13,27.15,27.20,26.86,26.99,32454643
13-Nov-13,26.97,27.15,26.75,27.15,34393647
12-Nov-13,26.92,27.14,26.81,27.05,37561743
11-Nov-13,27.02,27.04,26.89,27.01,23888329
8-Nov-13,26.42,27.06,26.40,27.05,37714071
7-Nov-13,26.94,27.19,26.60,26.60,59541615
6-Nov-13,26.47,26.98,26.45,26.90,58658826
5-Nov-13,26.32,26.52,26.26,26.42,24897459
4-Nov-13,26.59,26.59,26.31,26.43,28170471
1-Nov-13,26.05,26.64,26.03,26.54,55644125
31-Oct-13,26.35,26.44,26.12,26.14,42852523
30-Oct-13,26.29,26.48,26.19,26.37,39840406
29-Oct-13,26.19,26.30,26.07,26.21,38436022
28-Oct-13,25.88,26.16,25.76,26.09,31952016
25-Oct-13,26.07,26.08,25.80,25.88,27349795
24-Oct-13,25.84,26.02,25.67,25.94,34596198
23-Oct-13,25.99,26.00,25.64,25.70,39545793
22-Oct-13,26.19,26.24,25.98,26.02,43352899
21-Oct-13,25.87,26.35,25.79,26.14,60862864
18-Oct-13,25.21,25.75,25.09,25.55,98619113
17-Oct-13,24.38,24.68,24.23,24.68,45442418
16-Oct-13,24.35,24.40,24.13,24.36,30230559
15-Oct-13,24.27,24.44,24.15,24.19,28367187
14-Oct-13,24.21,24.38,24.16,24.38,22026947
11-Oct-13,24.32,24.49,24.20,24.40,34178444
10-Oct-13,23.90,24.25,23.82,24.25,38175465
9-Oct-13,23.84,23.84,23.50,23.57,35096812
8-Oct-13,23.92,23.92,23.67,23.67,42244183
7-Oct-13,23.84,24.13,23.80,23.94,28981574
4-Oct-13,24.18,24.18,23.90,24.05,33307335
3-Oct-13,24.22,24.25,23.84,24.10,37472161
2-Oct-13,24.14,24.35,24.05,24.33,34020465
1-Oct-13,23.94,24.22,23.90,24.17,28989664
30-Sep-13,23.88,24.08,23.82,23.89,35014965
27-Sep-13,24.10,24.10,23.94,24.05,25754286
26-Sep-13,24.30,24.51,23.96,24.25,34259500
25-Sep-13,24.30,24.48,24.20,24.23,29448183
24-Sep-13,24.22,24.54,24.22,24.32,33024247
23-Sep-13,24.20,24.38,24.15,24.28,40964819
20-Sep-13,24.55,24.56,24.00,24.01,68061596
19-Sep-13,24.80,24.88,24.40,24.46,49722443
18-Sep-13,24.47,24.91,24.40,24.86,51242260
17-Sep-13,24.13,24.47,24.11,24.45,35810129
16-Sep-13,24.06,24.23,23.93,24.14,36903544
13-Sep-13,23.78,23.90,23.75,23.78,19073038
12-Sep-13,24.16,24.20,23.77,23.85,30683803
11-Sep-13,23.95,24.09,23.72,24.09,34546105
10-Sep-13,23.67,23.94,23.62,23.87,35723259
9-Sep-13,23.25,23.46,23.18,23.39,27580966
6-Sep-13,23.15,23.38,22.96,23.16,36631972
5-Sep-13,23.34,23.35,23.09,23.16,30302361
4-Sep-13,22.99,23.18,22.96,23.17,31639727
3-Sep-13,23.31,23.45,22.92,23.06,52052334
30-Aug-13,23.44,23.50,23.04,23.14,46277824
29-Aug-13,23.16,23.30,23.10,23.11,22106308
28-Aug-13,23.16,23.40,23.16,23.20,28864262
27-Aug-13,23.36,23.39,23.11,23.18,51274224
26-Aug-13,23.74,23.79,23.56,23.61,25949138
23-Aug-13,23.83,23.85,23.64,23.78,20648103
22-Aug-13,23.66,23.80,23.61,23.78,31040443
21-Aug-13,23.72,23.79,23.56,23.61,31896965
20-Aug-13,23.77,23.85,23.63,23.72,30451449
19-Aug-13,23.90,23.96,23.76,23.85,32219302
16-Aug-13,23.88,24.05,23.86,23.95,36316707
15-Aug-13,23.97,24.26,23.92,24.00,39970664
14-Aug-13,24.20,24.29,24.05,24.07,27993736
13-Aug-13,24.30,24.30,24.10,24.20,28534992
12-Aug-13,24.14,24.30,24.06,24.27,27370216
9-Aug-13,24.34,24.44,24.21,24.25,20767909
8-Aug-13,24.47,24.54,24.22,24.33,22375365
7-Aug-13,24.21,24.34,24.08,24.34,27971727
6-Aug-13,24.49,24.50,24.25,24.31,22911689
5-Aug-13,24.57,24.60,24.49,24.52,17974079
2-Aug-13,24.52,24.70,24.40,24.70,25721303
1-Aug-13,24.60,24.87,24.52,24.62,31978086
31-Jul-13,24.57,24.69,24.36,24.37,38960825
30-Jul-13,24.57,24.64,24.40,24.48,31201882
29-Jul-13,24.53,24.60,24.46,24.49,25591550
26-Jul-13,24.65,24.66,24.50,24.65,31124113
25-Jul-13,24.61,24.69,24.52,24.69,29954529
24-Jul-13,24.79,24.84,24.56,24.62,27489767
23-Jul-13,24.87,24.88,24.63,24.71,32564792
22-Jul-13,24.77,24.92,24.73,24.86,41560879
19-Jul-13,24.21,24.95,24.10,24.72,103710985
18-Jul-13,23.60,23.94,23.56,23.63,41439097
17-Jul-13,23.54,23.61,23.43,23.54,26860547
16-Jul-13,23.66,23.67,23.34,23.43,38194959
15-Jul-13,23.73,23.74,23.56,23.63,35859719
12-Jul-13,23.99,24.00,23.59,23.76,33266658
11-Jul-13,23.91,23.96,23.63,23.94,32623806
10-Jul-13,23.72,23.73,23.36,23.54,28457953
9-Jul-13,23.52,23.80,23.51,23.62,31545085
8-Jul-13,23.36,23.53,23.27,23.32,35533329
5-Jul-13,23.17,23.24,22.95,23.24,22691351
3-Jul-13,22.83,22.98,22.76,22.91,21450528
2-Jul-13,23.27,23.34,22.88,22.90,47613571
1-Jul-13,23.21,23.64,23.19,23.34,35785769
28-Jun-13,23.32,23.44,23.16,23.19,45961049
27-Jun-13,23.41,23.48,23.26,23.32,30872357
26-Jun-13,23.43,23.44,23.02,23.25,32550778
25-Jun-13,23.17,23.25,22.94,23.11,36581035
24-Jun-13,23.12,23.15,22.76,22.93,48779526
21-Jun-13,23.58,23.64,23.20,23.36,65031717
20-Jun-13,23.63,23.69,23.20,23.25,62766258
19-Jun-13,24.20,24.35,23.98,23.98,46091267
18-Jun-13,23.83,24.45,23.77,24.33,72772746
17-Jun-13,23.75,23.85,23.65,23.77,39282823
14-Jun-13,23.68,23.75,23.46,23.52,27718682
13-Jun-13,23.45,23.78,23.34,23.68,34932623
12-Jun-13,23.70,23.73,23.42,23.50,33844535
11-Jun-13,23.49,23.69,23.48,23.58,35978657
10-Jun-13,23.88,23.92,23.64,23.78,41629505
7-Jun-13,23.54,23.95,23.47,23.86,49043480
6-Jun-13,23.25,23.39,23.10,23.38,42679453
5-Jun-13,23.55,23.58,23.21,23.32,44761823
4-Jun-13,23.59,23.76,23.41,23.66,38702401
3-Jun-13,23.37,23.78,23.32,23.64,45238858
31-May-13,23.59,23.79,23.31,23.32,49264824
30-May-13,23.58,23.76,23.50,23.60,29348751
29-May-13,23.42,23.70,23.40,23.64,39237382
28-May-13,23.77,23.84,23.58,23.60,47325972
24-May-13,23.50,23.67,23.49,23.53,41017825
23-May-13,23.52,23.75,23.45,23.66,44389216
22-May-13,23.78,24.13,23.75,23.86,68353960
21-May-13,23.59,23.78,23.59,23.66,33820382
20-May-13,23.46,23.58,23.42,23.57,32887123
17-May-13,23.27,23.48,23.20,23.46,41041295
16-May-13,23.10,23.35,23.10,23.27,33026928
15-May-13,23.04,23.25,22.91,23.24,40162865
14-May-13,22.85,23.07,22.81,23.01,39604000
13-May-13,22.86,22.88,22.62,22.85,30287894
10-May-13,22.77,22.91,22.59,22.90,35117837
9-May-13,22.99,23.10,22.69,22.78,29978312
8-May-13,22.68,23.02,22.62,23.01,39979528
7-May-13,22.69,22.79,22.62,22.68,28211653
6-May-13,22.56,22.64,22.32,22.58,28566488
3-May-13,22.57,22.85,22.55,22.57,45531904
2-May-13,22.25,22.32,22.15,22.32,27653766
1-May-13,22.10,22.35,22.10,22.15,39203372
30-Apr-13,22.29,22.38,22.21,22.29,34078837
29-Apr-13,22.31,22.32,22.00,22.27,36536118
26-Apr-13,21.98,22.40,21.97,22.21,47032947
25-Apr-13,22.21,22.23,21.91,21.95,41469691
24-Apr-13,21.69,22.03,21.65,21.96,51506646
23-Apr-13,21.55,21.69,21.36,21.50,65822433
22-Apr-13,21.67,21.68,21.11,21.35,87840776
19-Apr-13,21.94,22.03,21.61,21.75,108844759
18-Apr-13,22.76,22.84,22.57,22.67,41177812
17-Apr-13,22.96,23.03,22.65,22.76,42676928
16-Apr-13,23.07,23.10,22.90,23.10,36016621
15-Apr-13,23.28,23.30,22.81,22.81,46536181
12-Apr-13,23.49,23.59,23.33,23.46,27235307
11-Apr-13,23.55,23.72,23.43,23.59,27084431
10-Apr-13,23.10,23.65,23.06,23.58,39782026
9-Apr-13,23.25,23.25,22.90,23.06,31673112
8-Apr-13,23.03,23.12,22.83,23.12,30493640
5-Apr-13,22.80,22.94,22.76,22.93,31407644
4-Apr-13,23.01,23.13,22.96,23.08,30476337
3-Apr-13,23.38,23.40,22.92,23.00,52582879
2-Apr-13,23.17,23.37,23.09,23.34,29180237
1-Apr-13,23.03,23.10,22.97,23.08,27465881
28-Mar-13,23.14,23.20,22.99,23.12,31153440
27-Mar-13,23.02,23.14,22.85,23.10,27494048
26-Mar-13,23.27,23.30,23.01,23.12,32359860
25-Mar-13,23.45,23.48,23.05,23.24,41689276
22-Mar-13,23.32,23.40,23.28,23.37,30606056
21-Mar-13,23.42,23.60,23.29,23.29,38548336
20-Mar-13,23.73,23.80,23.33,23.46,39254122
19-Mar-13,23.30,23.36,23.17,23.32,36151432
18-Mar-13,23.17,23.35,23.13,23.25,33703544
15-Mar-13,23.44,23.72,23.36,23.44,58862139
14-Mar-13,23.55,23.76,23.51,23.69,34650796
13-Mar-13,23.44,23.52,23.40,23.49,24155421
12-Mar-13,23.59,23.60,23.33,23.41,36599070
11-Mar-13,23.69,23.75,23.45,23.62,34954138
8-Mar-13,23.86,23.90,23.68,23.77,28958976
7-Mar-13,23.70,23.83,23.67,23.68,22961667
6-Mar-13,23.84,23.84,23.67,23.67,31543603
5-Mar-13,23.46,23.71,23.44,23.59,35738963
4-Mar-13,23.15,23.28,23.03,23.27,25459307
1-Mar-13,23.02,23.34,23.00,23.19,41229377
28-Feb-13,23.37,23.46,23.20,23.22,39736064
27-Feb-13,23.02,23.40,23.00,23.37,29677308
26-Feb-13,22.97,23.15,22.91,23.05,41324083
25-Feb-13,23.50,23.53,22.81,22.81,51631279
22-Feb-13,23.35,23.45,23.23,23.39,27845217
21-Feb-13,23.18,23.35,23.12,23.26,47821500
20-Feb-13,23.71,23.75,23.35,23.41,38108747
19-Feb-13,23.42,23.75,23.41,23.75,41223402
15-Feb-13,23.48,23.55,23.23,23.29,39291282
14-Feb-13,23.25,23.49,23.11,23.41,54000329
13-Feb-13,23.11,23.48,23.04,23.39,84945658
12-Feb-13,22.48,22.65,22.48,22.58,34297471
11-Feb-13,22.49,22.51,22.35,22.45,19740306
8-Feb-13,22.50,22.56,22.45,22.50,24428426
7-Feb-13,22.50,22.51,22.27,22.48,38328930
6-Feb-13,22.47,22.50,22.31,22.44,42988593
5-Feb-13,22.48,22.62,22.45,22.54,30917635
4-Feb-13,22.41,22.49,22.28,22.31,35838763
1-Feb-13,22.43,22.64,22.32,22.62,43845105
31-Jan-13,22.21,22.40,22.18,22.28,34439693
30-Jan-13,22.52,22.55,22.23,22.23,36207615
29-Jan-13,22.49,22.58,22.40,22.50,34149838
28-Jan-13,22.44,22.54,22.26,22.50,49567562
25-Jan-13,22.28,22.31,22.11,22.29,41919751
24-Jan-13,21.96,22.19,21.95,22.05,46992128
23-Jan-13,21.98,22.03,21.75,21.94,47228459
22-Jan-13,22.18,22.20,21.90,22.01,55174351
18-Jan-13,21.94,22.19,21.59,22.04,113095642
17-Jan-13,21.22,21.54,21.12,21.30,63858300
16-Jan-13,21.15,21.20,21.06,21.12,38934986
15-Jan-13,21.04,21.21,21.01,21.20,26555068
14-Jan-13,21.18,21.24,21.07,21.12,31715889
