Date,Open,High,Low,Close,Volume
29-Nov-13,75.00,75.25,74.77,74.81,4900295
27-Nov-13,74.75,75.30,74.17,74.63,8228970
26-Nov-13,74.83,75.06,74.12,74.37,9031662
25-Nov-13,75.42,75.43,74.44,74.60,12257377
22-Nov-13,72.86,75.21,72.85,74.27,18519681
21-Nov-13,71.22,71.87,71.21,71.63,9156781
20-Nov-13,70.19,71.46,69.85,71.08,10251455
19-Nov-13,68.80,69.86,68.35,69.66,7336494
18-Nov-13,70.53,70.74,68.75,68.97,8789244
15-Nov-13,69.46,69.90,68.58,69.89,9388695
14-Nov-13,68.78,69.27,68.58,68.98,9620014
13-Nov-13,67.86,68.51,67.06,68.50,11910310
12-Nov-13,67.18,67.84,67.16,67.61,8446528
11-Nov-13,67.74,68.08,67.22,67.51,9444773
8-Nov-13,66.50,67.58,66.25,67.37,12507053
7-Nov-13,67.90,68.44,65.53,65.63,13751794
6-Nov-13,69.66,69.96,67.21,67.36,11095731
5-Nov-13,69.49,70.04,69.25,69.54,7102310
4-Nov-13,71.13,71.25,69.32,69.34,9332657
1-Nov-13,71.39,71.49,70.42,70.97,9399040
31-Oct-13,72.76,72.77,70.97,71.18,12730354
30-Oct-13,71.89,73.20,71.43,72.67,16640223
29-Oct-13,68.79,69.56,68.23,69.50,6265855
28-Oct-13,70.00,70.40,68.61,68.73,7013251
25-Oct-13,70.12,70.30,68.20,69.68,9453815
24-Oct-13,69.44,70.14,68.95,69.83,10467802
23-Oct-13,68.46,69.35,68.03,69.01,9771675
22-Oct-13,67.01,68.25,66.64,68.09,6875502
21-Oct-13,68.11,68.35,66.63,66.99,9685594
18-Oct-13,67.27,68.45,66.49,68.21,15446765
17-Oct-13,65.70,67.38,65.26,67.36,7651900
16-Oct-13,64.06,65.74,63.85,65.65,8336732
15-Oct-13,63.45,64.72,63.43,63.60,8005591
14-Oct-13,62.46,63.88,61.81,63.87,8669408
11-Oct-13,62.94,63.48,62.38,62.69,8092446
10-Oct-13,61.63,62.80,61.15,62.74,15240296
9-Oct-13,59.81,60.24,58.81,58.90,15313306
8-Oct-13,61.84,61.88,59.30,59.38,9650415
7-Oct-13,62.15,62.55,61.66,61.77,8071004
4-Oct-13,61.63,63.06,61.63,63.04,6351733
3-Oct-13,62.29,62.70,61.37,61.71,6719498
2-Oct-13,62.38,62.69,61.90,62.40,4949871
1-Oct-13,63.02,63.36,62.30,62.80,6774953
30-Sep-13,62.15,63.70,62.00,62.87,7883212
27-Sep-13,62.36,63.93,62.15,63.54,5632958
26-Sep-13,62.35,63.20,62.05,62.80,4673128
25-Sep-13,62.63,62.74,61.71,61.73,5358277
24-Sep-13,62.63,63.16,62.36,62.74,5174950
23-Sep-13,63.43,63.70,62.33,62.58,5935570
20-Sep-13,64.41,64.48,63.80,63.86,9081173
19-Sep-13,64.62,64.74,63.64,64.32,5450493
18-Sep-13,62.83,64.52,62.58,64.28,7918353
17-Sep-13,62.90,63.38,62.36,62.69,5636520
16-Sep-13,64.08,64.21,62.58,63.02,7052772
13-Sep-13,63.53,63.62,62.72,63.53,3840084
12-Sep-13,63.00,63.49,62.28,63.18,4853671
11-Sep-13,63.12,63.30,62.18,62.93,5391197
10-Sep-13,63.16,63.56,62.45,62.86,4835746
9-Sep-13,61.08,62.66,61.08,62.66,5666917
6-Sep-13,61.35,61.48,59.42,61.12,8278529
5-Sep-13,61.19,61.30,60.51,61.07,4951809
4-Sep-13,60.80,61.46,60.36,61.11,7267862
3-Sep-13,60.90,61.60,60.25,60.92,7068665
30-Aug-13,61.16,61.16,59.96,60.27,5545981
29-Aug-13,60.13,61.28,59.91,60.93,5501001
28-Aug-13,58.83,61.04,58.50,60.44,8863367
27-Aug-13,59.80,59.83,58.57,58.74,6099724
26-Aug-13,59.82,60.99,59.60,60.42,6619083
23-Aug-13,59.99,60.12,59.47,59.64,6224648
22-Aug-13,58.75,59.98,58.70,59.93,4743506
21-Aug-13,57.70,59.54,57.43,58.69,10075835
20-Aug-13,57.31,58.55,57.31,58.00,5356385
19-Aug-13,56.84,58.13,56.75,57.34,5522949
16-Aug-13,56.76,57.73,56.25,56.91,7598356
15-Aug-13,57.37,57.65,55.96,56.89,7345326
14-Aug-13,59.11,59.56,58.14,58.17,5155699
13-Aug-13,59.10,59.45,58.22,58.93,4567934
12-Aug-13,58.86,59.14,58.32,58.90,6263792
9-Aug-13,58.82,60.23,58.57,59.21,5667075
8-Aug-13,60.50,60.78,59.29,59.30,8283979
7-Aug-13,60.13,60.47,59.20,60.22,9420906
6-Aug-13,60.92,60.92,59.18,59.98,8579392
5-Aug-13,61.75,61.90,60.43,60.95,6105189
2-Aug-13,61.86,61.95,61.28,61.75,5614287
1-Aug-13,62.05,62.20,60.97,62.00,7726300
31-Jul-13,62.10,62.20,61.36,61.40,8423440
30-Jul-13,62.00,62.28,61.46,61.73,11134373
29-Jul-13,62.60,62.82,61.57,62.02,10272731
26-Jul-13,63.82,64.04,61.58,62.57,14718207
25-Jul-13,60.12,61.14,58.81,60.86,11347448
24-Jul-13,59.71,60.13,59.05,59.88,9591689
23-Jul-13,59.99,60.15,59.05,59.12,10998204
22-Jul-13,59.71,60.46,58.61,59.71,12171809
19-Jul-13,58.58,60.51,57.49,60.10,14574510
18-Jul-13,57.85,58.44,57.56,58.22,8821887
17-Jul-13,57.37,57.77,57.11,57.75,9123715
16-Jul-13,57.55,57.76,56.78,57.14,8831365
15-Jul-13,57.20,57.72,56.82,57.66,7637458
12-Jul-13,56.00,57.86,55.76,57.34,13267812
11-Jul-13,56.03,56.25,55.39,55.85,11373160
