Date,Open,High,Low,Close,Volume
29-Nov-13,38.90,39.15,38.50,38.73,7672093
27-Nov-13,37.71,38.99,37.60,38.85,27415786
26-Nov-13,37.70,37.94,37.40,37.67,22798634
25-Nov-13,37.75,37.86,37.39,37.55,21111360
22-Nov-13,38.20,38.50,37.58,37.63,26780451
21-Nov-13,38.85,39.00,38.04,38.12,33903893
20-Nov-13,38.11,38.71,37.60,37.69,16898679
19-Nov-13,38.57,38.74,37.89,38.01,19843069
18-Nov-13,38.81,39.18,38.53,38.57,16792403
15-Nov-13,38.51,39.08,38.20,38.77,21699113
14-Nov-13,38.70,38.80,38.15,38.50,28495111
13-Nov-13,36.50,38.52,36.48,38.44,43860192
12-Nov-13,36.67,36.80,36.37,36.66,14363833
11-Nov-13,36.68,37.09,36.50,36.68,13666468
8-Nov-13,36.15,36.77,36.01,36.66,18203136
7-Nov-13,36.61,36.75,35.91,35.92,19893826
6-Nov-13,37.24,37.40,36.57,36.59,16166017
5-Nov-13,37.28,37.51,37.07,37.09,15198041
4-Nov-13,37.50,37.80,37.41,37.47,18005295
1-Nov-13,37.17,38.21,37.05,37.39,30765422
31-Oct-13,37.18,37.99,36.95,36.95,28106726
30-Oct-13,37.20,37.55,36.78,37.23,42130010
29-Oct-13,35.82,36.18,35.50,36.06,24055037
28-Oct-13,35.44,35.97,35.43,35.80,12985146
25-Oct-13,35.67,35.77,35.32,35.59,12835586
24-Oct-13,35.49,36.03,35.10,35.63,19285380
23-Oct-13,35.38,35.39,34.53,35.05,17307607
22-Oct-13,35.62,36.13,35.37,35.41,17013425
21-Oct-13,36.26,36.26,35.34,35.50,13451684
18-Oct-13,36.21,36.30,35.68,35.89,14638468
17-Oct-13,35.16,35.79,34.96,35.66,12602908
16-Oct-13,35.02,35.21,34.78,35.13,15529562
15-Oct-13,35.28,35.38,34.51,34.70,13708431
14-Oct-13,34.83,35.44,34.81,35.33,11193412
11-Oct-13,34.79,35.52,34.66,35.35,15406658
10-Oct-13,34.74,34.89,34.61,34.85,18041926
9-Oct-13,34.33,34.39,33.92,34.16,21109890
8-Oct-13,35.25,35.27,34.17,34.21,23486802
7-Oct-13,35.23,35.52,35.02,35.18,12181024
4-Oct-13,35.44,35.80,35.13,35.70,13811139
3-Oct-13,35.76,35.94,35.13,35.29,15001153
2-Oct-13,35.74,36.00,35.23,35.94,19443974
1-Oct-13,36.04,36.41,35.32,35.91,21890705
30-Sep-13,35.71,36.32,35.62,35.97,17488293
27-Sep-13,36.77,36.90,36.16,36.37,14249679
26-Sep-13,37.19,37.35,36.76,36.95,14030772
25-Sep-13,37.53,37.78,37.16,37.18,15115863
24-Sep-13,37.16,37.97,37.06,37.44,23723710
23-Sep-13,37.15,37.50,36.55,37.13,18414218
20-Sep-13,37.64,37.68,36.83,36.83,35724922
19-Sep-13,37.84,37.88,37.16,37.23,16824413
18-Sep-13,36.76,37.73,36.71,37.58,21446371
17-Sep-13,36.32,36.98,36.32,36.71,12992266
16-Sep-13,36.47,36.62,36.15,36.22,14820639
13-Sep-13,36.49,36.55,35.99,36.06,12643031
12-Sep-13,36.37,36.56,35.88,36.37,15745180
11-Sep-13,36.53,36.60,36.02,36.35,27012923
10-Sep-13,36.94,37.27,36.72,37.00,10626974
9-Sep-13,36.34,36.70,36.25,36.48,13464032
6-Sep-13,36.40,36.62,35.61,36.15,14216169
5-Sep-13,36.01,36.79,35.87,36.33,18635818
4-Sep-13,34.20,35.90,34.17,35.85,23040742
3-Sep-13,34.68,34.77,33.96,34.14,10912254
30-Aug-13,34.50,34.54,33.90,34.08,8099717
29-Aug-13,33.82,34.69,33.81,34.45,10558312
28-Aug-13,33.57,34.16,33.50,33.92,9116450
27-Aug-13,34.44,34.61,33.62,33.69,11893070
26-Aug-13,35.03,35.52,34.85,34.92,10831745
23-Aug-13,35.14,35.22,34.86,35.06,7470737
22-Aug-13,34.66,35.05,34.65,34.99,9572186
21-Aug-13,34.78,34.95,34.39,34.53,9798641
20-Aug-13,34.56,34.91,34.05,34.79,13766894
19-Aug-13,34.56,34.83,34.42,34.49,9211613
16-Aug-13,34.59,34.91,34.18,34.38,12499031
15-Aug-13,35.17,35.18,34.41,34.55,20384791
14-Aug-13,35.84,36.01,35.21,35.57,11341555
13-Aug-13,36.21,36.21,35.59,35.84,7145952
12-Aug-13,35.76,36.10,35.60,35.98,8441858
9-Aug-13,35.96,36.27,35.70,36.02,7706722
8-Aug-13,35.61,36.11,35.57,36.01,14457689
7-Aug-13,36.01,36.10,35.43,35.48,19403584
6-Aug-13,36.44,36.49,35.96,35.96,13486181
5-Aug-13,37.03,37.05,36.64,36.75,7151502
2-Aug-13,36.44,37.18,36.34,36.95,11913042
1-Aug-13,36.39,36.86,36.01,36.47,16150164
31-Jul-13,36.62,36.72,35.67,35.87,20697474
30-Jul-13,36.53,36.78,36.32,36.50,12244683
29-Jul-13,36.57,36.67,36.15,36.38,8407926
26-Jul-13,36.93,37.00,36.46,36.67,15897647
25-Jul-13,37.47,37.71,36.51,37.08,18098608
24-Jul-13,37.10,37.45,36.87,37.14,15200519
23-Jul-13,36.89,36.95,36.52,36.61,9300223
22-Jul-13,36.62,36.99,36.48,36.76,11260667
19-Jul-13,36.89,36.89,36.06,36.61,11618062
18-Jul-13,36.50,36.99,36.33,36.84,10682149
17-Jul-13,36.23,36.56,36.08,36.36,10943319
16-Jul-13,36.87,36.94,35.76,36.18,16275865
15-Jul-13,36.60,36.72,36.28,36.50,8968885
12-Jul-13,36.09,36.58,35.91,36.40,10747027
11-Jul-13,35.72,36.20,35.64,36.14,13247413
10-Jul-13,34.90,35.34,34.84,35.33,11820587
9-Jul-13,34.90,35.25,34.72,34.92,7243286
8-Jul-13,34.78,35.02,34.54,34.64,11235206
5-Jul-13,34.35,34.83,34.24,34.67,7107755
3-Jul-13,33.94,34.40,33.76,34.14,5715638
2-Jul-13,34.04,34.94,33.82,34.10,15172268
1-Jul-13,33.52,34.19,33.41,34.00,10311299
28-Jun-13,33.02,33.72,32.80,33.31,15817271
27-Jun-13,32.92,33.50,32.78,33.10,11004377
26-Jun-13,32.18,32.70,32.03,32.55,10375791
25-Jun-13,31.75,32.02,31.54,31.82,9268962
24-Jun-13,31.76,31.84,31.13,31.42,18972879
21-Jun-13,32.96,32.97,31.74,32.21,19000708
20-Jun-13,33.41,33.41,32.28,32.56,29112580
19-Jun-13,34.02,34.25,33.65,33.66,8429133
18-Jun-13,33.80,34.06,33.44,34.01,9926717
17-Jun-13,34.50,34.56,33.60,33.73,10195407
14-Jun-13,34.46,34.62,34.09,34.29,9986614
13-Jun-13,33.36,34.51,33.10,34.50,15614853
12-Jun-13,34.28,34.46,33.24,33.45,13643136
11-Jun-13,34.37,34.49,33.59,33.93,16895643
10-Jun-13,35.18,35.24,34.52,34.74,15222612
7-Jun-13,34.79,35.10,34.00,35.03,30684372
6-Jun-13,34.11,34.53,33.78,34.44,79855029
5-Jun-13,35.00,35.07,34.00,34.02,22346161
4-Jun-13,35.40,35.49,34.75,34.96,30517532
3-Jun-13,34.57,34.69,33.38,34.42,17794525
31-May-13,34.53,34.78,33.89,33.89,10139602
30-May-13,34.04,34.91,33.87,34.64,15085252
29-May-13,33.71,34.30,33.45,34.05,10869281
28-May-13,34.00,34.30,33.75,33.96,16969652
24-May-13,32.55,33.00,32.51,32.87,5861202
23-May-13,32.33,33.11,32.10,32.85,10537248
22-May-13,33.22,33.93,32.99,33.23,13115189
21-May-13,33.59,33.96,32.88,33.40,13791764
20-May-13,33.37,34.01,33.36,33.70,15263560
17-May-13,32.99,33.77,32.81,33.42,20904054
16-May-13,32.09,32.67,32.00,32.39,10425265
15-May-13,31.55,32.40,31.51,32.31,15085956
14-May-13,31.02,31.70,31.01,31.55,10683395
13-May-13,31.16,31.35,30.86,31.00,8098076
10-May-13,31.55,31.70,30.97,31.42,12811341
9-May-13,32.01,32.16,31.62,31.65,10862827
8-May-13,31.41,32.19,31.09,32.08,9991621
7-May-13,31.92,32.13,31.46,31.65,11429744
6-May-13,32.02,32.22,31.78,31.82,8502644
3-May-13,31.74,32.44,31.63,32.10,12497841
2-May-13,31.30,31.82,31.05,31.16,19125881
1-May-13,30.77,31.08,30.11,30.18,10396249
30-Apr-13,30.77,30.97,30.57,30.84,8118396
29-Apr-13,30.62,30.90,30.42,30.79,6197872
26-Apr-13,30.79,30.80,30.03,30.50,13738736
25-Apr-13,30.06,30.78,30.00,30.71,14508421
24-Apr-13,29.91,30.80,29.86,30.45,21510903
23-Apr-13,29.34,29.92,29.28,29.85,8456833
22-Apr-13,29.20,29.34,28.85,29.25,6766935
19-Apr-13,29.10,29.26,28.90,29.15,7183650
18-Apr-13,29.25,29.38,28.75,28.98,11121392
17-Apr-13,29.03,29.33,28.77,29.27,10670470
16-Apr-13,29.17,29.52,29.17,29.47,8007748
15-Apr-13,29.41,29.69,28.84,28.91,14080703
12-Apr-13,29.57,29.84,29.55,29.62,15619284
11-Apr-13,28.49,29.76,28.44,29.72,22305942
10-Apr-13,27.69,28.51,27.68,28.37,12928350
9-Apr-13,27.77,27.78,27.50,27.53,9682252
8-Apr-13,27.48,27.64,27.40,27.59,11572829
5-Apr-13,27.38,27.56,27.11,27.52,11792722
4-Apr-13,27.75,28.00,27.51,27.74,8572227
3-Apr-13,28.00,28.10,27.66,27.80,11199677
2-Apr-13,27.96,28.30,27.53,27.93,16188421
1-Apr-13,27.65,28.09,27.65,27.80,8838307
28-Mar-13,28.02,28.09,27.64,27.82,9330939
27-Mar-13,28.05,28.27,27.96,28.06,5444328
26-Mar-13,28.28,28.35,27.99,28.15,6876418
25-Mar-13,28.39,28.48,28.02,28.16,6670235
22-Mar-13,28.62,28.71,27.96,28.22,12673237
21-Mar-13,28.91,29.17,28.57,28.63,13451955
20-Mar-13,28.25,29.30,28.19,29.20,25484894
19-Mar-13,28.10,28.20,27.90,28.10,12749460
18-Mar-13,27.95,28.15,27.73,28.04,13759486
15-Mar-13,27.96,28.26,27.80,28.21,12115378
14-Mar-13,28.05,28.23,28.04,28.16,6441115
13-Mar-13,28.38,28.38,28.05,28.07,10287325
12-Mar-13,28.26,28.64,28.09,28.37,10690688
11-Mar-13,27.95,28.39,27.55,28.31,19122052
8-Mar-13,27.91,28.19,27.89,28.00,5910491
7-Mar-13,27.86,28.14,27.79,27.88,9429820
6-Mar-13,27.76,27.96,27.62,27.91,9002872
5-Mar-13,27.22,27.79,27.19,27.58,9200331
4-Mar-13,27.14,27.29,26.99,27.09,6586922
1-Mar-13,26.83,27.49,26.75,27.21,9018734
28-Feb-13,27.50,27.57,26.89,27.15,10310570
27-Feb-13,26.80,27.58,26.72,27.40,13116386
26-Feb-13,26.65,26.85,26.19,26.83,13364433
25-Feb-13,27.11,27.17,26.33,26.33,11123563
22-Feb-13,26.40,27.12,26.31,27.11,9287457
21-Feb-13,27.02,27.04,26.33,26.51,13894228
20-Feb-13,27.81,27.81,27.05,27.10,7247185
19-Feb-13,27.69,27.80,27.46,27.68,7091448
15-Feb-13,27.59,27.92,27.22,27.76,12861243
14-Feb-13,28.74,29.36,27.67,27.75,19233280
13-Feb-13,28.75,28.87,28.44,28.67,9286307
12-Feb-13,28.43,28.75,28.24,28.55,7175543
11-Feb-13,28.51,28.65,28.35,28.53,5589830
8-Feb-13,28.54,28.73,28.50,28.57,6317345
7-Feb-13,28.68,28.91,28.03,28.47,10493430
6-Feb-13,28.35,28.60,28.22,28.52,7010404
5-Feb-13,28.03,28.60,28.03,28.59,11097467
4-Feb-13,27.89,28.20,27.88,27.96,6511765
1-Feb-13,28.39,28.50,28.08,28.17,10713724
31-Jan-13,27.80,28.14,27.61,28.09,8686904
30-Jan-13,28.28,28.65,27.77,27.94,11230877
29-Jan-13,28.80,28.82,28.16,28.45,13061762
28-Jan-13,29.05,29.15,28.61,28.83,7038485
25-Jan-13,28.96,29.16,28.87,29.07,10258393
24-Jan-13,28.59,28.98,28.35,28.78,8399983
23-Jan-13,28.58,28.84,26.62,28.57,11356484
22-Jan-13,29.19,29.27,28.38,28.63,18539847
18-Jan-13,29.44,29.53,28.88,29.28,9995254
17-Jan-13,29.48,29.65,29.19,29.49,12065396
16-Jan-13,29.57,29.73,28.83,29.31,28301367
15-Jan-13,30.11,30.68,29.95,30.60,7500212
14-Jan-13,30.15,30.39,29.89,30.33,6634631
11-Jan-13,30.38,30.60,30.11,30.36,6870332
10-Jan-13,30.28,30.45,29.78,30.44,12116682
9-Jan-13,29.58,30.28,29.56,29.97,13342390
8-Jan-13,29.66,29.85,29.05,29.37,10435209
7-Jan-13,29.64,29.86,29.30,29.66,8385584
4-Jan-13,29.74,29.86,29.23,29.86,8067246
3-Jan-13,29.05,30.23,28.84,29.82,22904960
2-Jan-13,29.41,29.50,28.63,29.13,15607784
31-Dec-12,27.76,28.90,27.62,28.83,13244194
28-Dec-12,27.66,27.94,27.55,27.85,5133472
27-Dec-12,27.74,27.99,27.42,27.96,9431123
26-Dec-12,27.63,27.95,27.49,27.62,7006110
24-Dec-12,27.31,27.74,27.31,27.66,4878268
21-Dec-12,26.74,27.38,26.54,27.32,8774683
20-Dec-12,27.00,27.48,26.87,27.34,15768810
19-Dec-12,27.44,27.90,26.86,27.18,54877822
18-Dec-12,24.98,25.54,24.80,25.49,9592645
17-Dec-12,24.67,24.90,24.65,24.85,7130998
14-Dec-12,25.08,25.11,24.40,24.61,9661308
13-Dec-12,25.56,25.83,24.90,25.12,7737713
12-Dec-12,25.54,26.06,25.44,25.63,8395468
11-Dec-12,25.31,25.50,25.11,25.45,5709243
10-Dec-12,25.06,25.41,25.04,25.28,5931805
7-Dec-12,24.76,25.21,24.57,25.19,9060203
6-Dec-12,24.91,25.00,24.46,24.57,9708813
5-Dec-12,25.37,25.60,24.94,25.00,7655662
4-Dec-12,25.34,25.50,24.52,25.41,12633812
3-Dec-12,26.06,26.36,25.46,25.51,11333078
30-Nov-12,25.89,26.17,25.58,25.88,6539562
29-Nov-12,25.61,26.24,25.51,26.09,10013546
28-Nov-12,24.69,25.30,24.64,25.28,5313624
27-Nov-12,25.14,25.35,25.00,25.01,5822654
26-Nov-12,25.17,25.41,24.95,25.23,6460373
23-Nov-12,24.96,25.42,24.86,25.21,4595863
21-Nov-12,24.57,24.97,24.43,24.60,4908132
20-Nov-12,24.90,24.94,24.38,24.60,6578630
19-Nov-12,24.27,24.94,24.13,24.93,7996780
16-Nov-12,23.92,23.98,23.39,23.85,9647914
15-Nov-12,24.18,24.19,23.54,23.88,9371645
14-Nov-12,24.93,24.99,24.10,24.17,9587988
13-Nov-12,24.89,25.18,24.75,24.82,9697878
12-Nov-12,25.05,25.38,25.05,25.26,5297083
9-Nov-12,24.38,25.28,24.38,25.04,7648965
8-Nov-12,25.22,25.50,24.70,24.72,5240772
7-Nov-12,25.64,25.67,24.92,25.03,11106291
6-Nov-12,25.59,26.27,25.45,26.19,10888597
5-Nov-12,25.44,25.99,25.35,25.57,7681998
2-Nov-12,25.81,25.99,25.55,25.79,9920747
1-Nov-12,25.53,25.85,24.91,25.68,14562083
31-Oct-12,24.30,25.72,23.90,25.50,24707696
26-Oct-12,23.61,23.90,23.19,23.28,10147591
25-Oct-12,23.98,24.27,23.58,23.63,11877786
24-Oct-12,24.15,24.27,23.66,23.69,6230780
23-Oct-12,24.07,24.10,23.73,23.87,8196120
22-Oct-12,24.56,24.85,24.28,24.62,7068140
19-Oct-12,25.43,25.50,24.55,24.59,10454244
18-Oct-12,25.09,25.72,24.96,25.56,9762844
17-Oct-12,24.90,25.13,24.60,25.06,6002611
16-Oct-12,24.52,24.85,24.41,24.79,4252042
15-Oct-12,24.51,24.58,24.33,24.48,5114225
12-Oct-12,24.56,24.83,24.33,24.44,4230206
11-Oct-12,24.41,24.99,24.23,24.66,8771607
10-Oct-12,24.41,24.58,24.10,24.23,6049247
9-Oct-12,24.74,24.86,24.26,24.37,7209905
