Date,Open,High,Low,Close,Volume
27-Nov-13,177.83,180.18,177.82,178.97,4596474
26-Nov-13,178.67,178.94,177.31,177.31,5756174
25-Nov-13,180.25,180.75,177.82,178.94,7162374
22-Nov-13,183.50,184.99,179.92,181.30,7610518
21-Nov-13,185.54,185.75,183.41,184.13,4459451
20-Nov-13,185.22,186.24,184.64,185.19,3646117
19-Nov-13,184.63,186.20,184.15,185.25,4577037
18-Nov-13,183.52,184.99,183.27,184.47,5344864
15-Nov-13,182.38,183.28,181.16,183.19,5179511
14-Nov-13,180.48,183.20,179.66,182.21,6322676
13-Nov-13,182.27,183.55,181.59,183.55,4711276
12-Nov-13,182.53,184.05,182.26,183.07,4258623
11-Nov-13,180.19,183.39,180.04,182.88,5222299
8-Nov-13,178.83,180.08,177.35,179.99,6275035
7-Nov-13,179.60,181.39,179.60,180.00,5221281
6-Nov-13,177.91,179.75,177.78,179.19,4560659
5-Nov-13,179.54,179.80,177.71,177.85,6103386
4-Nov-13,179.90,180.80,179.34,180.27,3484345
1-Nov-13,179.81,180.34,178.88,179.23,3644628
31-Oct-13,179.65,181.67,179.04,179.21,4318185
30-Oct-13,181.69,182.18,179.86,180.15,5275922
29-Oct-13,177.62,182.32,177.50,182.12,8909330
28-Oct-13,177.04,177.89,176.20,177.35,3712733
25-Oct-13,178.43,179.10,176.26,176.85,4826717
24-Oct-13,176.43,177.89,176.25,177.80,5501940
23-Oct-13,175.09,175.99,174.40,175.77,5416339
22-Oct-13,173.35,175.57,172.95,174.97,6980623
21-Oct-13,174.42,174.75,172.63,172.86,7098685
18-Oct-13,174.80,175.00,173.25,173.78,10552466
17-Oct-13,173.84,177.00,172.57,174.83,22368939
16-Oct-13,185.42,186.73,184.99,186.73,6717979
15-Oct-13,185.74,185.94,184.22,184.66,3367275
14-Oct-13,185.41,186.99,184.42,186.97,2663207
11-Oct-13,185.25,186.23,184.12,186.16,3232828
10-Oct-13,183.17,184.77,182.36,184.77,3659606
9-Oct-13,179.37,181.67,179.10,181.32,4424359
8-Oct-13,181.89,181.99,178.71,178.72,5560269
7-Oct-13,181.85,183.31,181.85,182.01,3968362
4-Oct-13,184.17,185.13,183.58,184.10,2864163
3-Oct-13,184.70,184.96,183.00,183.86,3212240
2-Oct-13,185.54,186.31,184.41,184.96,3566074
1-Oct-13,185.34,186.65,184.65,186.38,2682184
30-Sep-13,185.56,186.74,184.34,185.18,3973872
27-Sep-13,188.87,188.94,186.45,186.92,3907904
26-Sep-13,190.10,191.76,189.46,190.22,2093584
25-Sep-13,190.14,190.62,188.50,189.47,2654833
24-Sep-13,190.93,191.56,189.66,189.97,3085242
23-Sep-13,190.06,192.41,189.33,190.99,3319408
20-Sep-13,193.96,194.43,190.02,190.02,8531193
19-Sep-13,194.18,194.89,193.22,193.39,3178067
18-Sep-13,192.60,194.89,192.00,194.42,3841926
17-Sep-13,193.42,194.15,191.83,192.16,2931728
16-Sep-13,193.70,194.81,192.61,193.15,3907186
13-Sep-13,191.21,193.10,191.00,192.17,3710354
12-Sep-13,190.96,191.32,189.85,190.73,3354845
11-Sep-13,186.83,190.87,186.82,190.70,4959558
10-Sep-13,187.20,187.65,186.37,186.60,3149830
9-Sep-13,183.68,185.49,183.31,184.98,2929149
6-Sep-13,184.65,184.99,182.65,183.03,2902317
5-Sep-13,183.35,185.00,183.07,184.15,2869883
4-Sep-13,183.58,184.19,182.31,183.13,2601909
3-Sep-13,183.63,184.32,182.51,183.96,3487469
30-Aug-13,182.75,182.99,181.51,182.27,2731141
29-Aug-13,181.96,183.70,181.44,182.64,2981180
28-Aug-13,182.68,183.47,181.10,182.16,3979196
27-Aug-13,183.63,184.50,182.57,182.74,3190330
26-Aug-13,185.27,187.00,184.68,184.74,2174908
23-Aug-13,185.34,185.74,184.57,185.42,2294892
22-Aug-13,185.65,186.25,184.25,185.19,2354836
21-Aug-13,184.67,186.57,184.28,184.86,3551207
20-Aug-13,184.37,185.63,183.17,184.56,3122098
19-Aug-13,185.30,186.50,183.98,184.23,3251127
16-Aug-13,185.54,186.46,185.34,185.34,3427964
15-Aug-13,186.23,187.00,185.45,185.79,3692360
14-Aug-13,188.58,188.93,187.30,187.53,2899115
13-Aug-13,189.54,189.99,187.56,188.42,3542932
12-Aug-13,186.97,189.56,186.89,189.09,3026839
9-Aug-13,188.00,189.16,187.00,187.82,3250000
8-Aug-13,189.45,189.87,186.79,187.93,4547756
7-Aug-13,189.60,189.93,188.05,188.56,3901716
6-Aug-13,192.26,192.51,190.27,190.99,5939557
5-Aug-13,195.16,195.88,194.35,195.50,2492663
2-Aug-13,195.50,195.50,193.22,195.16,3873908
1-Aug-13,196.65,197.17,195.41,195.81,2877770
31-Jul-13,194.49,196.91,194.49,195.04,3809982
30-Jul-13,196.99,197.83,195.81,196.01,2663216
29-Jul-13,196.83,197.19,195.53,196.21,2113754
26-Jul-13,196.59,197.37,195.00,197.35,2485006
25-Jul-13,196.30,197.83,195.66,197.22,3014255
24-Jul-13,195.95,197.30,195.86,196.61,2958239
23-Jul-13,194.21,196.43,194.10,194.98,2864114
22-Jul-13,193.40,195.79,193.28,194.09,3399461
19-Jul-13,197.91,197.99,193.24,193.54,6998591
18-Jul-13,198.27,200.94,195.99,197.99,8394310
17-Jul-13,194.72,194.89,193.03,194.55,6868411
16-Jul-13,194.04,194.58,192.68,193.85,3747394
15-Jul-13,192.42,194.89,191.68,194.00,5678238
12-Jul-13,193.07,193.70,191.59,192.07,4495892
11-Jul-13,193.78,194.11,192.61,192.80,4179123
10-Jul-13,191.51,193.43,191.27,192.25,3891960
9-Jul-13,191.88,192.80,190.78,191.30,5204685
8-Jul-13,195.60,195.78,194.61,194.98,2948458
5-Jul-13,194.49,195.16,192.35,194.93,2407971
3-Jul-13,190.98,194.22,190.51,193.25,1878313
2-Jul-13,190.78,193.23,190.26,191.50,3657855
1-Jul-13,192.15,193.80,191.12,191.28,4442422
28-Jun-13,191.73,192.66,188.41,191.11,10056856
27-Jun-13,196.05,196.90,195.29,195.65,3519332
26-Jun-13,195.97,196.23,194.50,194.86,3320202
25-Jun-13,195.31,195.59,193.15,194.98,3848021
24-Jun-13,193.99,194.91,191.34,193.54,4356153
21-Jun-13,198.50,198.52,193.54,195.46,8918918
20-Jun-13,200.67,201.70,197.28,197.35,4516329
19-Jun-13,204.44,205.03,201.93,201.94,2846204
18-Jun-13,203.02,206.09,202.87,204.87,3278151
17-Jun-13,203.44,205.17,202.55,203.04,3220009
14-Jun-13,203.97,204.74,201.81,202.20,2604459
13-Jun-13,201.01,204.40,200.34,203.77,2899698
12-Jun-13,204.59,205.23,200.51,201.20,3409855
11-Jun-13,203.17,205.95,202.51,203.98,2813120
10-Jun-13,206.97,206.98,204.90,205.02,2652420
7-Jun-13,204.85,206.35,204.11,206.35,2953540
6-Jun-13,203.23,204.20,201.47,203.80,3679532
5-Jun-13,205.16,206.29,202.40,202.74,4215365
4-Jun-13,208.60,209.00,205.08,206.19,3598659
3-Jun-13,208.25,210.05,207.33,208.95,3323648
31-May-13,208.59,211.98,208.02,208.02,4950406
30-May-13,206.97,210.99,206.97,209.36,4400197
