Date,Open,High,Low,Close,Volume
29-Nov-13,53.76,54.52,53.63,54.02,407343
27-Nov-13,53.24,53.36,52.90,53.19,1085581
26-Nov-13,53.23,53.86,52.83,53.59,993574
25-Nov-13,53.65,53.65,53.18,53.23,1033431
22-Nov-13,53.59,54.02,53.42,53.92,758717
21-Nov-13,53.69,53.71,53.25,53.52,1021516
20-Nov-13,54.77,54.87,54.21,54.41,627806
19-Nov-13,55.60,55.70,54.76,54.94,957078
18-Nov-13,54.79,55.58,54.76,55.37,1395606
15-Nov-13,53.99,54.78,53.98,54.62,1145891
14-Nov-13,53.27,54.01,52.89,53.97,1192194
13-Nov-13,52.54,53.65,52.54,53.49,1006210
12-Nov-13,52.84,52.87,52.37,52.75,825549
11-Nov-13,53.33,53.63,53.01,53.23,1088975
8-Nov-13,53.46,53.68,53.01,53.68,1026142
7-Nov-13,53.97,54.31,53.58,53.67,1588391
6-Nov-13,53.00,53.84,53.00,53.58,1232290
5-Nov-13,52.83,53.01,52.59,52.92,1108703
4-Nov-13,52.67,52.80,52.31,52.41,1237647
1-Nov-13,53.10,53.31,52.32,52.57,1148396
31-Oct-13,53.74,53.83,53.03,53.06,1096749
30-Oct-13,54.01,54.24,53.60,53.72,1175262
29-Oct-13,54.08,54.51,53.72,54.11,1221672
28-Oct-13,54.22,54.22,53.39,53.92,1071378
25-Oct-13,54.25,54.39,53.64,54.06,906251
24-Oct-13,54.03,54.48,53.85,54.22,1050673
23-Oct-13,54.17,54.55,54.05,54.17,1224200
22-Oct-13,54.91,55.00,54.31,54.73,651036
21-Oct-13,54.27,54.71,54.17,54.52,637645
18-Oct-13,54.60,54.77,53.99,54.13,954095
17-Oct-13,53.49,54.37,53.32,54.27,1168659
16-Oct-13,54.71,55.14,54.20,54.48,1583922
15-Oct-13,53.94,54.86,53.90,54.76,1897940
14-Oct-13,53.85,54.60,53.65,54.54,1561168
11-Oct-13,53.28,54.34,53.01,53.40,3311593
10-Oct-13,50.55,51.35,50.22,50.28,3000915
9-Oct-13,49.65,49.79,49.27,49.68,3607194
8-Oct-13,49.21,49.38,48.20,48.34,1868164
7-Oct-13,49.23,49.50,49.00,49.42,1142656
4-Oct-13,49.30,49.46,48.99,49.40,1301442
3-Oct-13,49.25,49.48,48.93,49.15,1103488
2-Oct-13,48.49,48.99,48.37,48.90,869859
1-Oct-13,48.17,48.70,47.75,48.69,1083564
30-Sep-13,48.02,48.54,47.96,48.11,1163601
27-Sep-13,48.18,48.67,47.98,48.62,1547990
26-Sep-13,48.91,48.98,48.68,48.72,772533
25-Sep-13,49.13,49.29,48.78,48.87,1167958
24-Sep-13,48.01,48.75,47.90,48.61,1263805
23-Sep-13,48.04,48.87,47.99,48.46,1213636
