Date,Open,High,Low,Close,Volume
29-Nov-13,23.90,23.99,23.76,23.84,13802865
27-Nov-13,23.64,23.92,23.52,23.90,28419157
26-Nov-13,23.79,23.84,23.52,23.65,30602711
25-Nov-13,24.02,24.02,23.50,23.75,43394042
22-Nov-13,24.50,24.51,23.84,23.87,77908144
21-Nov-13,24.61,25.29,24.52,25.23,44050581
20-Nov-13,24.70,24.82,24.46,24.56,20288748
19-Nov-13,24.74,24.87,24.61,24.70,24870201
18-Nov-13,24.61,24.70,24.48,24.60,24712483
15-Nov-13,24.40,24.55,24.25,24.52,22866454
14-Nov-13,24.43,24.50,24.35,24.38,20198931
13-Nov-13,24.25,24.62,24.20,24.60,22990316
12-Nov-13,23.99,24.50,23.98,24.43,37816024
11-Nov-13,24.04,24.29,23.93,24.17,19236745
8-Nov-13,24.03,24.12,23.84,24.09,31502897
7-Nov-13,24.37,24.38,24.00,24.06,25631064
6-Nov-13,24.06,24.31,23.89,24.24,25525728
5-Nov-13,23.92,24.11,23.77,24.03,22849924
4-Nov-13,24.32,24.40,24.15,24.26,26639821
1-Nov-13,24.51,24.65,24.22,24.32,28305937
31-Oct-13,24.52,24.73,24.43,24.47,30902030
30-Oct-13,24.53,24.68,24.40,24.50,24096164
29-Oct-13,24.40,24.67,24.35,24.52,29961745
28-Oct-13,24.18,24.49,24.17,24.36,65581627
25-Oct-13,24.11,24.24,24.02,24.24,59300440
24-Oct-13,23.86,23.97,23.78,23.78,47352310
23-Oct-13,23.93,24.05,23.56,23.74,31651063
22-Oct-13,24.17,24.20,24.01,24.07,29010789
21-Oct-13,23.94,24.17,23.82,24.14,35297562
18-Oct-13,23.86,23.98,23.68,23.88,29579081
17-Oct-13,23.58,23.94,23.49,23.92,28694879
16-Oct-13,23.26,23.74,23.22,23.70,47723436
15-Oct-13,23.40,23.59,23.32,23.39,42957663
14-Oct-13,23.08,23.49,23.03,23.45,27176739
11-Oct-13,22.83,23.26,22.82,23.26,24550617
10-Oct-13,22.98,23.22,22.92,23.10,39189449
9-Oct-13,22.51,22.96,22.48,22.59,40435399
8-Oct-13,22.87,22.88,22.48,22.48,35807598
7-Oct-13,22.71,23.00,22.57,22.83,21329903
4-Oct-13,22.60,22.85,22.60,22.81,22550850
3-Oct-13,22.82,22.84,22.50,22.60,34888536
2-Oct-13,22.71,22.90,22.67,22.88,23068815
1-Oct-13,22.94,23.04,22.70,22.83,25888784
30-Sep-13,22.72,23.17,22.60,22.92,32345025
27-Sep-13,23.21,23.39,22.88,22.98,28927780
26-Sep-13,23.75,23.80,23.20,23.41,32003269
25-Sep-13,23.78,23.81,23.58,23.70,19879861
24-Sep-13,23.58,23.85,23.58,23.70,24410084
23-Sep-13,23.70,23.85,23.61,23.62,21991350
20-Sep-13,23.94,23.96,23.57,23.77,47068978
19-Sep-13,23.96,24.08,23.84,23.92,28261402
18-Sep-13,23.85,23.92,23.56,23.90,31984202
17-Sep-13,23.69,23.89,23.67,23.74,37540658
16-Sep-13,23.63,23.71,23.35,23.39,30256854
13-Sep-13,23.05,23.46,23.04,23.44,61134772
12-Sep-13,22.78,22.84,22.60,22.63,29519152
11-Sep-13,22.91,22.98,22.71,22.81,38794164
10-Sep-13,23.07,23.13,22.93,22.98,31707770
9-Sep-13,22.72,23.03,22.70,22.91,27268778
6-Sep-13,22.69,22.82,22.40,22.67,27538957
5-Sep-13,22.68,22.73,22.49,22.60,22552729
4-Sep-13,22.38,22.78,22.28,22.64,37951407
3-Sep-13,22.21,22.24,21.97,22.07,26428342
30-Aug-13,22.24,22.25,21.90,21.98,33896245
29-Aug-13,22.24,22.44,22.04,22.06,28308224
28-Aug-13,22.20,22.41,22.13,22.28,28091782
27-Aug-13,22.12,22.22,22.00,22.19,37520361
26-Aug-13,22.40,22.52,22.23,22.28,22267723
23-Aug-13,22.34,22.57,22.33,22.44,23073415
22-Aug-13,22.26,22.39,22.17,22.26,17380589
21-Aug-13,22.54,22.58,22.06,22.17,32403299
20-Aug-13,22.31,22.68,22.30,22.52,32084301
19-Aug-13,22.08,22.70,22.05,22.28,43419052
16-Aug-13,22.06,22.19,21.89,21.92,30086549
