Date,Open,High,Low,Close,Volume
29-Nov-13,79.47,79.84,79.47,79.58,792180
27-Nov-13,79.54,79.68,79.24,79.50,1184574
26-Nov-13,79.30,79.54,79.16,79.28,1555977
25-Nov-13,79.61,79.84,79.19,79.24,1113263
22-Nov-13,79.09,79.53,78.92,79.50,1716988
21-Nov-13,78.79,79.42,78.74,79.17,1597779
20-Nov-13,79.52,79.53,78.55,78.64,1486350
19-Nov-13,79.35,79.70,79.03,79.17,1566624
18-Nov-13,79.96,79.96,79.25,79.45,1571078
15-Nov-13,79.81,79.92,79.58,79.65,2535710
14-Nov-13,79.50,79.78,79.20,79.55,2103372
13-Nov-13,78.52,79.33,78.39,79.25,1962448
12-Nov-13,79.06,79.27,78.64,78.83,1312364
11-Nov-13,79.09,79.36,79.01,79.09,991148
8-Nov-13,78.36,79.28,78.22,79.08,1903626
7-Nov-13,78.81,79.28,78.30,78.36,1727093
6-Nov-13,79.68,79.68,79.16,79.25,1445217
5-Nov-13,78.94,79.33,78.51,79.15,1422112
4-Nov-13,79.25,79.29,79.02,79.22,1317288
1-Nov-13,79.05,79.35,78.51,78.98,1442046
31-Oct-13,78.52,79.36,78.30,78.79,1901884
30-Oct-13,79.34,79.38,78.34,78.46,1434855
29-Oct-13,78.74,79.52,78.54,79.24,1513551
28-Oct-13,78.40,78.70,78.20,78.45,1533348
25-Oct-13,78.62,78.62,77.70,78.55,3112115
24-Oct-13,78.94,79.50,78.25,78.51,2288428
23-Oct-13,77.85,78.70,77.77,78.47,2210874
22-Oct-13,77.90,78.55,77.40,78.04,2283081
21-Oct-13,77.36,77.56,76.87,77.56,1783748
18-Oct-13,77.29,77.83,77.15,77.42,1717581
17-Oct-13,75.73,76.92,75.53,76.86,1452467
16-Oct-13,75.82,76.61,75.45,75.90,2427964
15-Oct-13,76.84,77.23,75.69,75.76,2734526
14-Oct-13,76.42,77.36,76.30,77.25,881423
11-Oct-13,76.33,77.27,76.26,76.93,1516413
10-Oct-13,74.95,76.58,74.85,76.52,2076425
9-Oct-13,74.20,74.57,73.60,74.23,1452632
8-Oct-13,75.09,75.31,74.04,74.06,1902927
7-Oct-13,74.63,75.35,74.54,74.89,1229252
4-Oct-13,74.81,75.58,74.74,75.34,1346734
3-Oct-13,75.31,75.69,74.48,74.91,1888299
2-Oct-13,75.78,76.10,74.98,75.54,1986479
1-Oct-13,76.39,76.81,76.08,76.41,1863097
30-Sep-13,76.08,76.60,76.04,76.27,1858657
27-Sep-13,76.69,76.91,76.43,76.73,1506460
26-Sep-13,77.12,77.45,76.54,77.28,1914776
25-Sep-13,77.90,77.99,77.22,77.24,2484475
24-Sep-13,76.39,78.56,76.33,78.00,3670673
23-Sep-13,76.16,76.48,75.58,76.23,1513069
20-Sep-13,76.36,77.04,76.28,76.49,2772060
19-Sep-13,76.38,76.64,76.06,76.33,1514484
18-Sep-13,75.59,76.30,75.21,76.15,1862727
17-Sep-13,75.00,75.49,74.80,75.49,1452826
16-Sep-13,75.18,75.56,75.01,75.10,1558635
13-Sep-13,74.02,74.53,73.66,74.37,1150258
12-Sep-13,74.36,74.86,73.81,73.94,1510429
11-Sep-13,74.41,74.59,74.00,74.32,1252053
10-Sep-13,73.94,74.62,73.76,74.43,1536062
9-Sep-13,73.17,73.83,72.99,73.56,1535037
6-Sep-13,72.76,73.43,71.97,72.88,1302713
5-Sep-13,72.74,73.38,72.30,72.57,1361461
4-Sep-13,71.56,73.02,71.51,72.82,1349870
3-Sep-13,72.18,72.60,71.07,71.49,1877398
30-Aug-13,71.92,71.92,71.24,71.47,1444866
29-Aug-13,71.41,72.26,71.15,71.76,1184979
28-Aug-13,71.28,71.88,71.18,71.60,1279980
27-Aug-13,72.14,72.51,71.41,71.51,1454772
26-Aug-13,73.25,73.71,72.99,72.99,778416
23-Aug-13,73.01,73.44,72.69,73.28,1128710
22-Aug-13,72.18,73.31,72.18,72.88,1186203
21-Aug-13,71.91,72.54,71.91,72.00,1444174
20-Aug-13,72.09,72.41,71.89,72.35,1449952
19-Aug-13,72.39,72.65,72.10,72.16,1161061
16-Aug-13,72.37,72.92,72.26,72.43,1710658
15-Aug-13,72.95,73.00,72.42,72.60,1266577
14-Aug-13,73.84,73.96,73.50,73.57,850443
13-Aug-13,73.58,74.25,73.17,73.97,819964
12-Aug-13,73.09,73.87,72.94,73.52,1112737
9-Aug-13,73.00,73.57,72.82,73.30,1146713
8-Aug-13,73.84,74.10,73.50,73.54,1010140
7-Aug-13,73.20,73.75,72.97,73.54,1305628
6-Aug-13,73.43,73.71,73.16,73.47,1241632
5-Aug-13,74.00,74.10,73.57,73.74,799796
2-Aug-13,73.27,75.39,72.82,74.25,3445818
1-Aug-13,72.88,73.79,72.83,73.69,1515814
31-Jul-13,72.14,72.79,71.99,72.04,1514565
30-Jul-13,72.02,72.35,71.74,71.95,1146518
29-Jul-13,71.91,72.24,71.54,71.63,1148174
26-Jul-13,71.95,72.05,71.50,71.97,1092003
25-Jul-13,71.21,72.30,71.07,72.26,1729628
24-Jul-13,72.07,72.48,71.20,71.41,2556221
23-Jul-13,72.65,72.79,70.17,71.60,5093776
22-Jul-13,73.51,74.07,73.36,73.67,1587323
19-Jul-13,72.93,73.43,72.30,73.29,3091834
18-Jul-13,71.90,72.80,70.81,72.70,1453911
17-Jul-13,71.83,72.02,71.37,71.59,852849
16-Jul-13,72.10,72.33,71.33,71.46,1618264
15-Jul-13,71.97,72.13,71.70,72.05,954737
12-Jul-13,72.18,72.18,71.55,71.87,1762163
11-Jul-13,71.99,72.34,71.81,72.21,1445495
10-Jul-13,70.99,71.29,70.60,71.19,1884421
9-Jul-13,71.36,71.50,71.06,71.14,1676972
8-Jul-13,70.37,70.83,70.21,70.74,2256282
5-Jul-13,69.45,69.98,69.28,69.97,1031355
3-Jul-13,68.70,69.13,68.16,68.77,1483454
2-Jul-13,69.52,69.97,68.90,69.17,2212215
1-Jul-13,69.81,70.16,69.30,69.55,2671838
28-Jun-13,69.71,69.79,69.05,69.17,5409028
27-Jun-13,68.94,69.83,68.72,69.79,2450954
26-Jun-13,68.26,68.52,67.70,68.35,1974744
25-Jun-13,67.70,68.01,67.54,67.82,1917991
24-Jun-13,67.30,68.09,67.14,67.15,3606630
21-Jun-13,69.69,69.82,68.38,68.43,3630307
20-Jun-13,69.80,70.19,68.88,69.06,3253730
19-Jun-13,71.22,71.37,70.42,70.42,1335358
18-Jun-13,70.85,71.74,70.69,71.33,1764699
17-Jun-13,70.75,71.08,70.31,70.67,1608023
14-Jun-13,70.35,70.71,70.15,70.24,1161454
13-Jun-13,69.27,70.70,69.22,70.49,2159485
12-Jun-13,70.65,70.74,69.28,69.40,2023347
11-Jun-13,69.64,70.47,69.62,70.10,1355266
10-Jun-13,70.80,70.80,70.06,70.52,1032526
7-Jun-13,70.05,70.77,69.77,70.70,1773249
6-Jun-13,69.17,69.71,68.92,69.59,2424805
5-Jun-13,69.74,69.98,69.15,69.18,2058796
4-Jun-13,70.81,71.24,69.58,70.04,1551717
3-Jun-13,70.33,70.96,69.81,70.93,1979061
31-May-13,70.46,71.35,70.13,70.13,1970042
30-May-13,70.30,70.99,70.12,70.56,1361546
29-May-13,70.05,70.63,69.86,70.17,1178239
28-May-13,70.92,71.34,70.38,70.46,1305368
24-May-13,69.96,70.29,69.45,70.23,1158618
23-May-13,70.16,70.73,70.07,70.27,1809978
22-May-13,71.07,71.64,70.42,70.80,2660632
21-May-13,71.17,71.64,70.84,71.16,2171881
20-May-13,70.64,71.49,70.54,71.00,1496723
17-May-13,70.14,70.85,70.08,70.78,3013615
16-May-13,69.91,70.15,69.60,69.91,1843598
15-May-13,69.13,70.20,69.08,70.18,2016857
14-May-13,68.40,69.61,68.29,69.38,2585865
13-May-13,68.20,68.49,67.88,68.29,1203314
10-May-13,68.29,68.47,67.63,68.30,2078837
9-May-13,67.56,68.82,67.18,68.15,3046878
8-May-13,66.70,67.82,66.47,67.74,2413795
7-May-13,65.88,66.83,65.82,66.75,2190513
6-May-13,65.57,65.78,65.24,65.75,2029331
3-May-13,65.15,65.96,65.15,65.71,2666455
2-May-13,64.15,64.67,64.00,64.52,2751877
1-May-13,64.27,64.50,63.84,63.87,1913944
30-Apr-13,64.64,64.89,63.94,64.56,1856652
29-Apr-13,64.68,64.95,64.41,64.83,1385450
26-Apr-13,65.18,65.24,64.21,64.38,2552586
25-Apr-13,64.25,65.94,64.25,65.18,5199911
24-Apr-13,62.96,64.48,62.88,64.20,3339916
23-Apr-13,61.54,62.99,61.19,62.76,3100375
22-Apr-13,60.75,60.97,60.13,60.78,2526860
19-Apr-13,60.66,60.82,60.02,60.50,2688260
18-Apr-13,60.98,61.19,60.17,60.50,2009225
17-Apr-13,62.38,62.45,60.64,61.04,3753488
16-Apr-13,62.02,62.82,61.60,62.76,1965022
15-Apr-13,63.01,63.08,61.50,61.53,3007206
12-Apr-13,63.28,63.66,63.09,63.44,2843715
11-Apr-13,62.69,63.64,62.39,63.55,2161958
10-Apr-13,62.15,62.68,61.87,62.58,1609296
9-Apr-13,62.06,62.46,61.62,62.14,1347616
8-Apr-13,61.41,61.95,61.25,61.90,2124692
5-Apr-13,60.86,61.76,60.83,61.57,2841781
4-Apr-13,61.26,62.08,61.09,61.72,2355961
3-Apr-13,61.00,61.54,60.77,61.10,2562774
2-Apr-13,61.19,61.45,60.74,60.86,1593746
1-Apr-13,60.83,61.07,60.40,60.88,2276503
28-Mar-13,60.65,61.06,60.37,60.94,1929287
27-Mar-13,60.67,60.87,60.18,60.62,3482818
26-Mar-13,61.35,61.44,60.86,61.01,3338526
25-Mar-13,62.42,62.48,61.04,61.44,3653462
22-Mar-13,62.71,62.79,62.14,62.26,2036819
21-Mar-13,62.75,63.46,62.45,62.54,2727878
20-Mar-13,62.73,63.41,62.57,63.16,2508344
19-Mar-13,62.44,62.56,61.51,62.49,2692024
18-Mar-13,61.56,62.52,61.51,62.32,2145778
15-Mar-13,61.37,62.23,61.14,62.23,6753497
14-Mar-13,61.46,61.67,60.84,61.25,2409260
13-Mar-13,61.20,61.63,61.04,61.32,1667008
12-Mar-13,62.41,62.50,61.20,61.26,2365961
11-Mar-13,62.31,62.68,62.09,62.49,1219328
8-Mar-13,62.58,62.70,62.03,62.44,1559319
7-Mar-13,62.84,62.85,62.02,62.17,1665324
6-Mar-13,62.56,62.78,62.06,62.61,2380643
5-Mar-13,62.00,62.65,61.90,62.30,1544918
4-Mar-13,61.34,61.67,60.65,61.54,2159982
1-Mar-13,61.16,62.02,60.45,61.60,1840708
28-Feb-13,61.53,62.01,61.32,61.50,2455285
27-Feb-13,60.12,61.65,60.06,61.45,2027007
26-Feb-13,59.99,60.33,59.71,60.08,2100551
25-Feb-13,61.77,61.89,59.75,59.77,2581036
22-Feb-13,61.88,62.24,61.31,61.48,2704199
21-Feb-13,62.81,62.95,61.49,61.62,2370680
20-Feb-13,64.02,64.20,63.12,63.12,1524301
19-Feb-13,64.64,64.65,63.99,64.19,2914342
15-Feb-13,63.87,64.13,63.24,63.25,2256622
14-Feb-13,63.55,63.87,63.40,63.70,1488484
13-Feb-13,63.21,63.56,62.91,63.55,1363042
12-Feb-13,62.87,63.12,62.66,63.02,1053150
11-Feb-13,62.70,62.93,62.48,62.80,1185514
8-Feb-13,61.90,62.73,61.79,62.72,1560108
7-Feb-13,62.32,62.43,61.62,62.07,1844321
6-Feb-13,62.57,62.73,62.09,62.27,2379521
5-Feb-13,62.28,62.99,62.06,62.84,2605359
4-Feb-13,62.50,62.82,61.76,61.79,2939585
1-Feb-13,63.31,63.36,62.62,62.90,2829420
31-Jan-13,63.48,63.51,62.83,62.83,3727729
30-Jan-13,63.49,64.27,63.25,63.56,2754746
29-Jan-13,64.06,64.45,63.11,64.14,4302842
28-Jan-13,64.90,65.60,64.76,65.44,2792998
25-Jan-13,64.74,65.22,64.62,64.99,2118573
24-Jan-13,63.95,64.98,63.88,64.83,2026922
23-Jan-13,63.51,63.99,63.46,63.93,1447112
22-Jan-13,63.54,63.92,63.05,63.65,2228064
18-Jan-13,63.52,63.72,62.74,63.72,2537115
17-Jan-13,62.69,63.44,62.37,63.30,1856542
16-Jan-13,62.41,62.50,62.10,62.29,1125099
15-Jan-13,62.63,62.82,62.42,62.62,1791305
14-Jan-13,62.57,62.98,62.54,62.88,1405721
11-Jan-13,63.05,63.05,62.45,62.56,1384897
10-Jan-13,62.27,62.85,62.17,62.76,2524177
9-Jan-13,62.51,62.88,61.83,61.87,2930376
8-Jan-13,60.94,62.23,60.83,62.22,3123222
7-Jan-13,62.17,62.47,61.92,62.26,2876381
4-Jan-13,62.39,62.75,62.31,62.40,1830952
3-Jan-13,62.06,63.21,61.88,62.23,3062658
2-Jan-13,62.34,62.50,61.65,61.98,3822816
31-Dec-12,59.76,60.89,59.55,60.81,1900887
28-Dec-12,60.25,60.72,59.96,60.02,1486771
27-Dec-12,61.02,61.13,60.07,60.69,1508591
26-Dec-12,61.21,61.47,60.75,61.00,862489
24-Dec-12,61.08,61.29,60.85,61.08,403246
21-Dec-12,61.07,61.55,60.81,61.29,3492271
20-Dec-12,61.47,61.89,61.28,61.89,1683415
19-Dec-12,61.80,61.97,61.24,61.39,2433329
18-Dec-12,60.48,61.95,60.41,61.79,4373658
17-Dec-12,60.11,60.54,59.98,60.26,3498040
