Date,Open,High,Low,Close,Volume
29-Nov-13,57.58,57.85,57.20,57.22,7128768
27-Nov-13,57.58,57.83,57.33,57.48,11238931
26-Nov-13,57.63,57.96,57.17,57.17,16267215
25-Nov-13,57.50,58.14,57.41,57.65,18649810
22-Nov-13,57.25,57.52,57.06,57.46,16734060
21-Nov-13,56.28,57.40,56.28,57.22,22843587
20-Nov-13,56.43,56.44,55.77,56.10,17688310
19-Nov-13,55.97,56.64,55.78,56.15,22979874
18-Nov-13,55.49,56.00,55.30,55.74,22318779
15-Nov-13,54.27,54.96,54.19,54.87,20530108
14-Nov-13,54.26,54.50,53.70,54.40,17633988
13-Nov-13,53.52,54.20,53.15,54.14,22121852
12-Nov-13,53.93,54.08,53.60,53.97,15964769
11-Nov-13,53.91,54.15,53.70,54.10,12066340
8-Nov-13,51.83,53.97,51.80,53.96,31186943
7-Nov-13,52.13,52.34,51.58,51.65,17348895
6-Nov-13,52.26,52.34,51.83,52.10,14013047
5-Nov-13,51.85,52.13,51.66,51.95,14532200
4-Nov-13,52.74,52.76,52.00,52.04,18895794
1-Nov-13,51.45,52.70,51.30,52.51,25796825
31-Oct-13,52.65,52.71,51.54,51.54,23737966
30-Oct-13,53.00,53.24,52.50,52.60,16157237
29-Oct-13,52.83,52.99,52.25,52.73,23363056
28-Oct-13,52.89,53.09,52.50,52.68,14836830
25-Oct-13,52.16,52.91,52.07,52.77,19344045
24-Oct-13,52.84,52.89,52.11,52.48,17642746
23-Oct-13,53.31,53.36,52.72,52.75,21034427
22-Oct-13,54.65,54.68,53.62,53.62,24820908
21-Oct-13,54.27,54.85,53.89,54.27,19471674
18-Oct-13,54.26,54.58,53.80,54.30,24805953
17-Oct-13,53.79,54.29,53.61,54.21,17790971
16-Oct-13,52.61,54.05,52.58,54.00,24864021
15-Oct-13,52.91,53.04,52.18,52.31,17566460
14-Oct-13,51.94,52.84,51.76,52.71,18881586
11-Oct-13,52.96,53.35,52.16,52.51,32498774
10-Oct-13,51.84,52.56,51.38,52.52,24328712
9-Oct-13,51.17,51.34,50.25,50.75,24721193
8-Oct-13,51.83,51.96,50.84,50.87,19460814
7-Oct-13,52.29,52.36,51.83,51.83,16159259
4-Oct-13,52.07,52.68,52.01,52.67,17407162
3-Oct-13,52.00,52.20,51.50,51.94,18614460
2-Oct-13,51.32,52.45,51.29,52.09,23748358
1-Oct-13,51.64,52.09,51.45,51.96,19187967
30-Sep-13,51.73,52.09,51.44,51.69,21248822
27-Sep-13,51.50,52.40,51.39,52.24,23025958
26-Sep-13,51.93,52.56,51.54,51.89,22307376
25-Sep-13,50.22,51.90,50.06,51.70,39175565
24-Sep-13,51.01,51.28,50.30,50.32,34906865
23-Sep-13,52.08,52.38,51.39,51.46,28087102
20-Sep-13,52.95,53.47,52.80,52.80,30795890
19-Sep-13,53.63,53.75,52.53,52.75,22452271
18-Sep-13,52.69,53.87,52.56,53.41,20876558
17-Sep-13,53.19,53.32,52.88,53.09,13207266
16-Sep-13,53.45,53.49,52.98,53.14,17125652
13-Sep-13,52.29,52.80,52.23,52.59,11945263
12-Sep-13,53.43,53.71,52.08,52.24,21981126
11-Sep-13,53.37,53.76,53.06,53.26,16013643
10-Sep-13,53.83,53.93,53.30,53.67,20234537
9-Sep-13,52.78,53.19,52.52,52.86,19661511
6-Sep-13,52.41,52.71,51.28,52.56,22311239
5-Sep-13,52.03,52.52,51.91,52.11,13916586
4-Sep-13,51.16,52.10,50.93,51.87,19931752
3-Sep-13,51.25,51.72,50.83,51.13,15278128
30-Aug-13,50.82,50.83,50.29,50.53,15871865
29-Aug-13,50.59,51.18,50.45,50.70,13581495
28-Aug-13,50.33,51.05,50.13,50.58,18753074
27-Aug-13,51.02,51.55,50.55,50.60,23528796
26-Aug-13,52.16,52.54,51.79,51.80,16549623
23-Aug-13,52.27,52.42,51.90,52.32,11059912
22-Aug-13,52.00,52.66,51.93,52.21,14660232
21-Aug-13,51.92,52.22,51.28,51.63,17138265
20-Aug-13,51.78,52.36,50.66,52.12,18701423
19-Aug-13,52.89,52.95,51.80,51.83,22793513
16-Aug-13,53.07,53.78,53.07,53.29,17141448
15-Aug-13,53.52,53.68,52.89,53.29,16933185
14-Aug-13,54.33,54.85,54.00,54.15,15792655
13-Aug-13,54.22,54.70,53.60,54.29,15082231
12-Aug-13,54.04,54.32,53.68,54.09,15133367
9-Aug-13,54.69,55.15,54.33,54.52,12657547
8-Aug-13,55.42,55.73,54.12,54.83,18589565
7-Aug-13,55.06,55.47,54.78,55.30,12828764
6-Aug-13,55.99,56.10,55.31,55.49,10589217
5-Aug-13,56.33,56.58,56.01,56.10,9377651
2-Aug-13,56.27,56.52,56.01,56.49,11009689
1-Aug-13,56.36,56.78,56.20,56.54,15979674
31-Jul-13,55.58,56.27,55.51,55.73,19409613
30-Jul-13,55.87,56.00,55.08,55.33,14210071
29-Jul-13,55.98,56.00,55.38,55.69,10057579
26-Jul-13,56.06,56.22,55.60,56.05,16767435
25-Jul-13,56.45,56.50,55.89,56.50,13875417
24-Jul-13,56.92,56.93,56.38,56.63,16666802
23-Jul-13,56.72,56.89,56.48,56.67,10579046
22-Jul-13,56.17,56.67,55.95,56.56,16003738
19-Jul-13,56.51,56.56,55.91,56.16,17764823
18-Jul-13,55.51,56.53,55.49,56.37,24567458
17-Jul-13,55.05,55.58,54.84,55.27,19171393
16-Jul-13,54.90,55.41,54.78,55.01,19224790
15-Jul-13,55.49,55.50,54.60,54.89,28300795
12-Jul-13,55.51,55.85,54.75,54.97,32571799
11-Jul-13,55.84,55.87,54.55,55.14,21322522
10-Jul-13,54.77,55.15,54.44,54.83,16915573
9-Jul-13,55.07,55.17,54.19,54.89,20515315
8-Jul-13,54.54,54.91,54.05,54.70,21789640
5-Jul-13,53.36,54.00,53.11,53.99,17077144
3-Jul-13,52.31,52.81,52.21,52.77,10443381
2-Jul-13,52.57,53.53,52.12,52.80,23945834
1-Jul-13,53.22,53.63,52.43,52.49,23522935
28-Jun-13,53.12,53.13,52.58,52.79,18264399
27-Jun-13,53.03,53.49,52.88,53.15,17094917
26-Jun-13,52.65,52.80,51.88,52.50,19333681
25-Jun-13,51.51,52.56,51.51,52.08,20954482
24-Jun-13,50.88,51.45,50.11,50.92,30736424
21-Jun-13,52.96,52.98,51.69,51.96,44415245
20-Jun-13,53.08,53.18,52.27,52.48,31868373
19-Jun-13,53.99,54.51,53.52,53.55,20848948
18-Jun-13,54.03,54.27,53.72,54.11,13261393
17-Jun-13,53.70,54.26,53.54,53.85,16857603
14-Jun-13,54.04,54.13,52.91,53.13,17097632
13-Jun-13,53.00,54.24,52.97,54.17,17090655
12-Jun-13,53.90,54.10,52.96,53.18,18481270
11-Jun-13,53.46,54.05,53.11,53.49,17570146
10-Jun-13,54.64,54.84,54.02,54.36,16007865
7-Jun-13,53.77,54.48,53.41,54.27,21692593
6-Jun-13,52.84,53.52,52.27,53.50,23946336
5-Jun-13,53.78,54.27,52.70,53.03,24329847
4-Jun-13,54.54,55.39,53.87,54.04,22024367
3-Jun-13,54.60,54.86,53.04,54.49,28284621
31-May-13,55.71,55.83,54.59,54.59,24996488
30-May-13,54.60,55.90,54.53,55.62,24890794
29-May-13,54.09,54.96,53.91,54.67,20484210
28-May-13,54.56,54.65,54.02,54.60,27168406
24-May-13,52.90,53.66,52.72,53.66,18343221
23-May-13,52.82,53.79,52.66,53.35,25299869
22-May-13,53.43,54.96,53.29,53.63,46851598
21-May-13,52.53,53.67,52.45,53.02,37122039
20-May-13,52.28,52.63,51.91,52.29,22020134
17-May-13,51.26,52.33,51.25,52.30,26095658
16-May-13,50.87,51.66,50.84,50.97,21391585
15-May-13,50.20,51.43,50.15,51.09,27470078
14-May-13,49.77,50.42,49.66,50.23,24190788
13-May-13,48.84,49.70,48.61,49.67,23987718
10-May-13,49.05,49.23,48.64,48.96,16200456
9-May-13,49.70,49.81,48.92,49.04,18103144
8-May-13,49.22,49.99,49.11,49.76,23565162
7-May-13,48.57,49.39,48.26,49.14,24291602
6-May-13,47.71,48.39,47.57,48.18,20830656
3-May-13,48.63,48.70,46.98,47.57,43273931
2-May-13,48.25,48.25,47.71,48.08,15529736
1-May-13,48.76,48.91,47.85,48.01,17687511
30-Apr-13,48.96,49.25,48.72,49.01,13805540
29-Apr-13,49.08,49.10,48.65,48.92,13498061
26-Apr-13,48.86,49.09,48.61,48.88,13931035
25-Apr-13,49.02,49.63,48.89,49.00,19063807
24-Apr-13,48.32,48.92,48.16,48.72,16462785
23-Apr-13,47.68,48.24,47.39,48.17,20568406
22-Apr-13,47.40,47.49,46.87,47.35,15232043
19-Apr-13,47.15,47.36,46.70,47.23,19753205
18-Apr-13,46.80,47.33,46.05,46.64,26106845
17-Apr-13,48.11,48.18,46.38,46.79,43473273
16-Apr-13,48.43,48.52,47.59,48.49,23866838
15-Apr-13,48.39,49.34,47.90,47.93,31528338
12-Apr-13,48.90,49.58,48.45,49.01,37808388
11-Apr-13,49.21,49.60,48.83,49.31,22584616
10-Apr-13,48.94,49.56,48.88,49.25,20389881
9-Apr-13,48.74,48.96,48.46,48.68,20066632
8-Apr-13,47.90,48.59,47.59,48.58,18675807
5-Apr-13,46.79,48.04,46.75,47.91,22964186
4-Apr-13,46.96,47.54,46.90,47.49,21516666
3-Apr-13,48.03,48.07,46.53,46.85,33475105
2-Apr-13,48.01,48.38,47.88,48.28,17276418
1-Apr-13,47.55,47.99,47.49,47.83,17449299
28-Mar-13,47.84,47.93,47.28,47.46,27519846
27-Mar-13,48.20,48.31,47.56,47.77,26534597
26-Mar-13,48.74,48.97,48.32,48.64,16420085
25-Mar-13,49.04,49.32,48.16,48.52,23582710
22-Mar-13,48.63,49.00,48.34,48.78,22799985
21-Mar-13,48.79,49.23,48.35,48.35,23543287
20-Mar-13,49.57,49.64,49.04,49.12,19388482
19-Mar-13,49.65,49.99,48.68,49.20,24418504
18-Mar-13,49.19,49.66,48.95,49.51,28017768
15-Mar-13,49.97,50.29,49.15,50.02,60908739
14-Mar-13,50.25,51.00,50.19,51.00,26380348
13-Mar-13,50.29,50.43,50.11,50.16,16686257
12-Mar-13,50.35,50.67,50.05,50.28,18006118
11-Mar-13,50.23,50.77,49.91,50.48,19473159
8-Mar-13,50.59,50.85,49.61,50.20,32726854
7-Mar-13,50.05,50.86,50.01,50.63,24252643
6-Mar-13,49.88,50.19,49.62,50.03,19611229
5-Mar-13,49.49,50.11,49.31,49.49,25565033
4-Mar-13,48.73,49.14,48.33,49.10,17698510
1-Mar-13,48.60,49.42,48.37,48.91,25925897
28-Feb-13,49.16,49.55,48.75,48.92,24718064
27-Feb-13,47.85,49.40,47.76,49.28,31932363
26-Feb-13,48.22,48.26,46.85,47.60,39407782
25-Feb-13,49.10,49.20,47.65,47.70,32776345
22-Feb-13,48.63,48.91,48.41,48.91,23586192
21-Feb-13,48.41,48.45,47.83,48.25,24445078
20-Feb-13,49.35,49.54,48.36,48.61,24789397
19-Feb-13,49.12,49.68,49.12,49.45,20450050
15-Feb-13,49.35,49.46,48.57,48.88,20016541
14-Feb-13,48.40,49.29,48.37,49.22,18020155
13-Feb-13,49.35,49.45,48.50,48.68,21637319
12-Feb-13,48.80,49.31,48.60,49.14,16393466
11-Feb-13,48.51,48.90,48.38,48.66,13937728
8-Feb-13,48.33,48.69,48.26,48.63,15219612
7-Feb-13,48.65,48.75,47.90,48.23,21432016
6-Feb-13,48.42,48.83,48.32,48.61,28286377
5-Feb-13,47.94,48.80,47.93,48.79,28068446
4-Feb-13,47.54,47.81,47.38,47.68,20828175
1-Feb-13,47.40,48.00,47.21,47.85,24527532
31-Jan-13,47.01,47.22,46.88,47.05,19541263
30-Jan-13,47.04,47.35,46.96,47.13,18636633
29-Jan-13,46.28,47.16,46.25,47.12,19910343
28-Jan-13,46.84,47.00,46.48,46.64,19708169
25-Jan-13,46.74,47.16,46.60,47.16,26014637
24-Jan-13,46.24,46.80,46.08,46.37,20017415
23-Jan-13,46.23,46.44,45.92,46.23,19112157
22-Jan-13,46.25,46.55,46.13,46.54,24259226
18-Jan-13,46.38,46.60,46.18,46.46,28694707
17-Jan-13,46.40,46.87,46.29,46.44,41097680
16-Jan-13,45.91,46.83,45.57,46.82,43459526
15-Jan-13,45.49,46.47,45.35,46.35,29905738
14-Jan-13,45.89,46.18,45.48,45.88,19079465
11-Jan-13,45.97,46.15,45.47,46.14,19723892
10-Jan-13,45.89,46.16,45.53,46.15,23420153
9-Jan-13,45.56,46.20,45.14,45.47,25923639
8-Jan-13,45.40,45.50,44.96,45.50,19625226
7-Jan-13,45.09,45.48,45.02,45.41,24457249
4-Jan-13,44.45,45.43,44.44,45.36,24491604
3-Jan-13,44.74,44.75,44.20,44.57,24228885
2-Jan-13,44.98,45.00,44.22,44.66,31421123
31-Dec-12,43.10,44.00,43.05,43.97,24213813
28-Dec-12,43.10,43.69,43.09,43.24,15403478
27-Dec-12,43.96,44.02,42.90,43.63,19566946
26-Dec-12,43.95,44.18,43.72,43.96,11499413
24-Dec-12,43.72,44.02,43.71,43.92,8622420
21-Dec-12,43.82,44.20,43.34,44.00,38986323
20-Dec-12,43.69,44.54,43.41,44.53,25016763
19-Dec-12,43.99,44.39,43.42,43.53,34352174
18-Dec-12,43.83,43.94,43.31,43.87,33867674
17-Dec-12,43.00,43.51,42.81,43.48,23889797
14-Dec-12,42.77,43.11,42.71,42.81,16208762
13-Dec-12,42.65,42.92,42.50,42.78,18461750
12-Dec-12,43.00,43.38,42.70,42.77,23110567
11-Dec-12,42.60,43.09,42.42,42.64,21959925
10-Dec-12,42.54,42.67,42.01,42.31,22397285
7-Dec-12,41.84,42.57,41.73,42.56,34559111
6-Dec-12,41.25,41.55,41.11,41.47,20541648
5-Dec-12,40.69,41.49,40.50,41.20,25515569
4-Dec-12,40.78,40.92,40.20,40.57,24036982
3-Dec-12,41.27,41.37,40.75,40.81,18965875
30-Nov-12,40.99,41.34,40.85,41.08,20081805
29-Nov-12,41.15,41.35,40.91,41.22,18910626
28-Nov-12,40.49,40.88,39.88,40.83,26112040
27-Nov-12,40.87,41.20,40.64,40.75,19876930
26-Nov-12,40.79,40.88,40.09,40.88,20376505
23-Nov-12,41.10,41.22,40.97,41.09,8316667
21-Nov-12,40.94,40.98,40.35,40.73,13035979
20-Nov-12,40.33,41.18,40.25,40.70,19379181
19-Nov-12,40.09,40.70,40.09,40.59,26784470
16-Nov-12,39.43,39.67,38.83,39.53,32462098
15-Nov-12,39.06,39.72,38.97,39.39,24859853
14-Nov-12,40.21,40.37,39.13,39.29,30995630
13-Nov-12,40.18,40.52,40.00,40.04,19799080
12-Nov-12,40.85,40.91,40.30,40.58,12820369
9-Nov-12,40.31,41.23,39.86,40.62,27559061
8-Nov-12,41.28,41.50,40.40,40.40,27830997
7-Nov-12,42.01,42.01,40.31,40.48,47631169
6-Nov-12,42.57,43.05,42.41,42.88,17196716
