Date,Open,High,Low,Close,Volume
29-Nov-13,165.73,166.57,165.25,165.89,703207
27-Nov-13,165.10,165.59,163.77,165.50,908873
26-Nov-13,164.97,165.39,163.58,164.35,1581635
25-Nov-13,163.95,166.05,163.61,165.14,1916684
22-Nov-13,160.90,164.00,160.43,163.61,1703266
21-Nov-13,159.21,161.17,158.39,160.90,1007744
20-Nov-13,159.67,159.93,157.83,158.39,978644
19-Nov-13,159.00,159.68,157.38,159.21,916855
18-Nov-13,161.34,161.60,158.58,158.78,1193026
15-Nov-13,159.64,160.61,159.03,160.15,1105596
14-Nov-13,157.87,159.77,155.92,159.46,2013483
13-Nov-13,157.31,157.90,156.46,157.89,1331698
12-Nov-13,158.45,159.67,156.85,157.89,1469059
11-Nov-13,158.80,159.50,157.78,158.90,983311
8-Nov-13,156.05,158.63,155.91,158.56,1331900
7-Nov-13,157.48,158.00,155.80,156.29,1374186
6-Nov-13,158.97,158.99,154.02,156.46,2556502
5-Nov-13,159.61,159.71,158.42,158.92,1223862
4-Nov-13,159.42,159.79,158.50,159.72,1239386
1-Nov-13,156.29,159.57,156.00,159.44,2274064
31-Oct-13,156.16,158.38,155.31,156.34,2297741
30-Oct-13,156.26,157.35,155.33,156.04,2142887
29-Oct-13,153.45,155.95,153.29,155.87,1941906
28-Oct-13,152.88,153.90,152.06,153.28,3013800
25-Oct-13,151.81,156.27,151.05,154.99,4269818
24-Oct-13,154.60,155.00,147.61,150.00,6964293
23-Oct-13,142.51,145.04,141.21,143.05,2641176
22-Oct-13,136.35,143.23,135.68,142.13,1984015
21-Oct-13,141.50,142.09,140.43,141.02,1146272
18-Oct-13,143.47,143.86,140.76,141.45,1521557
17-Oct-13,140.33,142.91,140.14,142.82,1501049
16-Oct-13,139.07,141.19,139.00,140.79,1164992
15-Oct-13,138.25,139.36,137.39,137.95,1284948
14-Oct-13,137.92,138.78,136.69,138.69,904042
11-Oct-13,137.88,139.00,137.23,138.31,1421518
10-Oct-13,134.56,138.03,134.56,137.88,2285688
9-Oct-13,134.05,134.67,132.83,133.48,2841432
8-Oct-13,137.50,138.43,133.38,133.72,6323391
7-Oct-13,131.24,131.30,129.57,129.63,1307868
4-Oct-13,130.00,132.02,129.46,131.87,1236416
3-Oct-13,129.87,130.04,128.84,129.57,1071746
2-Oct-13,131.12,131.18,129.54,130.55,1024541
1-Oct-13,128.97,131.82,128.97,131.52,1264753
30-Sep-13,128.40,128.69,127.95,128.30,780495
27-Sep-13,128.19,129.77,128.04,129.29,969569
26-Sep-13,128.58,129.05,127.90,128.44,919963
25-Sep-13,128.83,129.98,128.40,128.48,1454512
24-Sep-13,129.11,129.72,127.45,127.91,1758225
23-Sep-13,131.07,131.34,129.20,129.50,1490333
20-Sep-13,131.90,132.62,130.78,131.27,2225646
19-Sep-13,132.20,133.33,131.61,132.01,1637228
18-Sep-13,131.21,131.89,129.58,131.61,838493
17-Sep-13,129.83,131.41,129.78,131.08,923772
16-Sep-13,130.03,130.45,129.43,129.78,595884
13-Sep-13,128.54,128.92,128.00,128.70,720821
12-Sep-13,127.80,129.62,127.80,128.60,900309
11-Sep-13,125.97,127.70,125.60,127.70,1284700
10-Sep-13,125.00,125.94,124.54,125.92,738069
9-Sep-13,123.74,124.55,123.32,124.25,640070
6-Sep-13,122.98,124.46,121.38,123.57,718195
5-Sep-13,122.79,123.45,122.53,122.94,621075
4-Sep-13,122.69,123.41,122.08,123.00,1137593
3-Sep-13,122.77,124.11,121.79,122.52,831535
30-Aug-13,121.74,122.21,120.78,121.41,898804
29-Aug-13,120.65,122.35,120.17,121.56,566565
28-Aug-13,120.61,121.84,120.26,121.20,699997
27-Aug-13,122.04,122.04,120.51,120.85,733800
26-Aug-13,123.28,123.28,122.28,122.38,626866
23-Aug-13,122.94,123.16,122.00,122.95,507729
22-Aug-13,122.13,123.12,122.00,122.92,385240
21-Aug-13,122.41,123.08,121.98,122.08,753029
