Date,Open,High,Low,Close,Volume
25-Nov-13,8.04,8.11,8.00,8.10,28129732
22-Nov-13,8.01,8.18,7.96,8.09,37373308
21-Nov-13,7.98,7.98,7.90,7.95,26569123
20-Nov-13,8.00,8.02,7.76,7.94,27381214
19-Nov-13,7.98,8.03,7.75,7.80,24479000
18-Nov-13,8.09,8.13,8.01,8.06,31772196
15-Nov-13,7.98,8.01,7.89,8.00,26914922
14-Nov-13,7.97,7.98,7.86,7.89,20624781
13-Nov-13,7.70,7.94,7.69,7.94,26043893
12-Nov-13,7.60,7.72,7.60,7.71,20723361
11-Nov-13,7.72,7.77,7.69,7.74,13956745
8-Nov-13,7.43,7.72,7.42,7.65,26423743
7-Nov-13,7.86,7.86,7.52,7.54,41242178
6-Nov-13,7.89,7.99,7.87,7.90,26525485
5-Nov-13,7.72,7.78,7.66,7.70,22025394
4-Nov-13,7.76,7.82,7.70,7.75,23031275
1-Nov-13,7.62,7.70,7.57,7.62,22587006
31-Oct-13,7.56,7.69,7.52,7.63,31690206
30-Oct-13,7.71,7.76,7.56,7.62,50543513
29-Oct-13,7.28,7.49,7.25,7.45,89143236
28-Oct-13,6.87,6.89,6.72,6.75,36212974
25-Oct-13,7.06,7.12,6.95,6.97,25756247
24-Oct-13,7.15,7.24,7.08,7.15,25830502
23-Oct-13,7.31,7.37,7.26,7.29,32597919
22-Oct-13,7.20,7.41,7.16,7.35,65393233
21-Oct-13,7.18,7.23,7.13,7.15,16743160
18-Oct-13,7.19,7.20,7.11,7.15,23429015
17-Oct-13,7.14,7.17,7.05,7.12,32656174
16-Oct-13,7.00,7.07,6.92,7.03,30715272
15-Oct-13,6.76,6.96,6.75,6.92,45643903
14-Oct-13,6.60,6.67,6.58,6.62,22120406
11-Oct-13,6.61,6.66,6.56,6.65,16075140
10-Oct-13,6.52,6.62,6.52,6.58,31382566
9-Oct-13,6.50,6.52,6.22,6.49,63252674
8-Oct-13,6.69,6.71,6.53,6.60,30188221
7-Oct-13,6.61,6.70,6.58,6.64,32775801
4-Oct-13,6.68,6.75,6.65,6.73,22332426
3-Oct-13,6.71,6.72,6.57,6.71,28928289
2-Oct-13,6.69,6.69,6.58,6.63,44805732
1-Oct-13,6.66,6.75,6.58,6.62,36519908
30-Sep-13,6.54,6.60,6.50,6.51,25620819
27-Sep-13,6.63,6.70,6.60,6.66,19630030
26-Sep-13,6.60,6.66,6.57,6.64,16823177
25-Sep-13,6.61,6.70,6.59,6.63,25090853
24-Sep-13,6.61,6.65,6.54,6.58,30899375
23-Sep-13,6.56,6.72,6.45,6.67,51043954
20-Sep-13,6.61,6.74,6.52,6.58,38484793
19-Sep-13,6.73,6.78,6.55,6.69,55696659
18-Sep-13,6.51,6.74,6.45,6.71,63336067
17-Sep-13,6.26,6.37,6.22,6.27,32094614
16-Sep-13,6.28,6.39,6.22,6.24,60357384
13-Sep-13,6.44,6.47,6.21,6.41,101348209
12-Sep-13,6.07,6.47,6.04,6.36,131249236
11-Sep-13,5.79,5.95,5.79,5.95,81337062
10-Sep-13,5.57,5.68,5.55,5.66,43231261
9-Sep-13,5.48,5.53,5.46,5.52,43796775
6-Sep-13,5.46,5.48,5.34,5.37,58213273
5-Sep-13,5.47,5.55,5.44,5.49,103121111
4-Sep-13,5.19,5.36,5.17,5.33,163121890
3-Sep-13,5.45,5.58,4.97,5.12,591199222
30-Aug-13,3.91,3.93,3.87,3.90,21521327
29-Aug-13,3.94,4.03,3.94,4.00,13230909
28-Aug-13,3.90,3.99,3.89,3.97,20224917
27-Aug-13,4.02,4.06,3.97,3.99,21171401
26-Aug-13,4.13,4.18,4.12,4.17,13042411
23-Aug-13,4.10,4.19,4.09,4.16,23863231
22-Aug-13,4.06,4.13,4.05,4.12,18602591
