Date,Open,High,Low,Close,Volume
27-Nov-13,35.06,35.40,35.02,35.29,16120157
26-Nov-13,34.69,35.16,34.61,34.93,28403658
25-Nov-13,34.92,34.96,34.60,34.78,14753849
22-Nov-13,34.82,34.96,34.68,34.83,13826338
21-Nov-13,34.84,35.05,34.71,34.94,11773038
20-Nov-13,34.84,34.97,34.67,34.75,12165500
19-Nov-13,34.99,34.99,34.63,34.76,14532934
18-Nov-13,34.88,35.13,34.82,34.93,15093178
15-Nov-13,34.36,34.93,34.31,34.92,21477665
14-Nov-13,34.17,34.57,34.06,34.38,25791002
13-Nov-13,34.60,35.00,34.59,35.00,14815829
12-Nov-13,34.46,34.85,34.27,34.70,16146034
11-Nov-13,34.31,34.63,34.28,34.37,11415081
8-Nov-13,33.92,34.35,33.76,34.35,14028333
7-Nov-13,34.18,34.46,33.94,34.00,17101351
6-Nov-13,33.66,34.34,33.62,34.07,25184641
5-Nov-13,33.55,33.69,33.41,33.50,11161503
4-Nov-13,33.70,33.76,33.46,33.71,12725040
1-Nov-13,33.70,33.82,33.43,33.53,15115766
31-Oct-13,33.50,33.91,33.44,33.50,16172506
30-Oct-13,33.82,33.95,33.42,33.53,14959701
29-Oct-13,33.24,33.73,33.24,33.71,15955025
28-Oct-13,33.24,33.46,33.09,33.14,17632835
25-Oct-13,33.21,33.49,33.01,33.15,19764318
24-Oct-13,32.74,33.25,32.73,33.07,24963548
23-Oct-13,32.86,32.89,32.44,32.70,24610250
22-Oct-13,33.09,33.14,32.85,32.90,19742276
21-Oct-13,33.23,33.40,32.83,32.95,16568836
18-Oct-13,32.75,33.00,32.55,32.90,17472845
17-Oct-13,32.62,33.05,32.52,32.87,22822284
16-Oct-13,32.91,33.20,32.89,33.02,16399680
15-Oct-13,33.14,33.26,32.70,32.75,20678323
14-Oct-13,33.01,33.35,32.89,33.28,12882408
11-Oct-13,33.08,33.38,32.94,33.26,14018793
10-Oct-13,32.48,33.00,32.34,32.99,21581394
9-Oct-13,32.45,32.46,32.00,32.19,19660094
8-Oct-13,32.83,32.92,32.27,32.37,23600317
7-Oct-13,32.86,33.24,32.79,32.84,14150068
4-Oct-13,33.18,33.50,33.06,33.21,15055118
3-Oct-13,33.53,33.68,33.08,33.24,15480112
2-Oct-13,33.31,33.72,33.26,33.68,19266446
1-Oct-13,33.20,33.55,33.06,33.50,16300287
30-Sep-13,33.49,33.53,33.04,33.17,24869735
27-Sep-13,33.63,33.95,33.51,33.78,14068670
26-Sep-13,33.98,34.26,33.69,33.81,15621290
25-Sep-13,33.76,34.09,33.70,33.87,19653496
24-Sep-13,33.83,33.89,33.59,33.64,18958837
23-Sep-13,33.80,34.34,33.75,33.94,26211472
20-Sep-13,33.94,34.13,33.67,34.05,53492178
19-Sep-13,33.64,34.00,33.25,33.89,63329516
18-Sep-13,33.21,33.91,33.13,33.87,39526802
17-Sep-13,32.99,33.43,32.93,33.26,20282221
16-Sep-13,32.84,33.15,32.78,32.97,25463286
13-Sep-13,32.84,32.87,32.35,32.46,17655408
12-Sep-13,33.01,33.11,32.74,32.79,16250325
11-Sep-13,32.87,33.22,32.74,33.02,19664401
10-Sep-13,32.80,32.99,32.75,32.86,15920489
9-Sep-13,32.31,32.89,32.25,32.75,12094791
6-Sep-13,32.30,32.46,31.85,32.20,12624694
5-Sep-13,32.38,32.52,32.16,32.26,11437819
4-Sep-13,32.01,32.49,31.96,32.32,13046270
3-Sep-13,32.17,32.36,31.82,32.02,14659321
30-Aug-13,31.74,32.10,31.71,31.86,14044457
29-Aug-13,31.57,31.98,31.56,31.70,14012139
28-Aug-13,31.79,31.91,31.66,31.66,15921166
27-Aug-13,31.65,32.20,31.60,31.78,16045402
26-Aug-13,31.76,32.60,31.76,32.34,18888502
23-Aug-13,32.38,32.66,31.77,31.77,27091075
22-Aug-13,32.42,32.53,32.13,32.40,10271780
21-Aug-13,32.19,32.62,32.10,32.30,11955687
20-Aug-13,32.06,32.42,32.00,32.20,13870116
19-Aug-13,32.40,32.70,32.01,32.06,13387162
16-Aug-13,32.60,32.85,32.30,32.41,19504397
15-Aug-13,33.24,33.24,32.54,32.73,19574910
14-Aug-13,33.26,33.65,33.23,33.57,19686982
13-Aug-13,33.39,33.46,33.11,33.25,12739745
12-Aug-13,32.81,33.34,32.75,33.25,11749253
9-Aug-13,32.91,33.11,32.70,32.92,11648537
8-Aug-13,32.91,33.10,32.76,33.02,14204640
7-Aug-13,32.77,33.00,32.68,32.82,17416932
6-Aug-13,32.75,33.22,32.70,33.00,18621754
5-Aug-13,32.59,32.90,32.55,32.78,11151469
2-Aug-13,32.62,32.70,32.48,32.57,19000862
1-Aug-13,32.62,32.83,32.40,32.75,15800980
31-Jul-13,32.58,32.75,31.95,32.35,30541219
30-Jul-13,32.60,32.71,32.49,32.55,18341064
29-Jul-13,32.39,32.56,32.17,32.48,16119337
26-Jul-13,32.36,32.60,32.16,32.54,17309364
25-Jul-13,32.41,32.41,31.97,32.37,21051436
24-Jul-13,32.38,32.56,32.30,32.39,20003671
23-Jul-13,31.87,32.19,31.81,32.07,16772099
22-Jul-13,31.79,31.90,31.70,31.87,16760231
19-Jul-13,32.03,32.03,31.51,31.86,28512008
18-Jul-13,31.96,32.46,31.81,32.01,23621144
17-Jul-13,32.07,32.44,32.05,32.16,22361795
16-Jul-13,31.99,32.15,31.86,32.00,22531475
12-Jul-13,31.90,32.00,31.24,31.25,157684208
11-Jul-13,31.57,32.00,31.57,31.86,33193603
10-Jul-13,31.36,31.44,31.05,31.23,28458530
9-Jul-13,31.50,31.60,31.23,31.52,28854209
8-Jul-13,31.35,31.65,31.25,31.64,28905015
5-Jul-13,30.99,31.20,30.54,31.19,22197462
3-Jul-13,30.05,30.80,30.04,30.70,18629685
2-Jul-13,30.09,30.35,29.95,30.10,33115272
1-Jul-13,30.89,30.98,30.07,30.11,33968095
28-Jun-13,30.28,30.81,30.25,30.71,39787156
27-Jun-13,30.31,31.14,30.29,30.45,43016091
26-Jun-13,30.19,30.23,29.86,30.14,52433519
25-Jun-13,30.50,30.53,29.89,29.96,64059456
24-Jun-13,30.12,30.44,30.03,30.17,78927443
21-Jun-13,30.71,30.84,29.98,30.14,140791733
20-Jun-13,33.88,34.02,33.03,33.21,35222399
19-Jun-13,34.43,34.59,34.08,34.09,19408595
18-Jun-13,34.26,34.59,34.21,34.40,16949864
17-Jun-13,34.03,34.63,34.00,34.27,19399590
14-Jun-13,34.15,34.32,33.70,33.77,17501155
13-Jun-13,33.47,34.32,33.41,34.25,15727440
12-Jun-13,33.83,33.87,33.50,33.52,13731025
11-Jun-13,33.66,34.15,33.50,33.57,15261056
10-Jun-13,33.98,34.09,33.82,34.05,16901427
7-Jun-13,33.59,34.03,33.32,33.82,20549163
6-Jun-13,33.98,33.98,33.13,33.35,29160177
5-Jun-13,34.10,34.60,34.00,34.12,22005984
4-Jun-13,34.34,34.75,33.96,34.16,20324871
3-Jun-13,33.85,34.40,33.73,34.39,19782808
31-May-13,34.12,34.46,33.75,33.78,24412505
30-May-13,34.49,34.79,34.34,34.34,17928351
29-May-13,34.40,34.56,34.12,34.40,16005097
28-May-13,34.67,34.78,34.26,34.53,21432182
24-May-13,33.69,34.14,33.42,34.05,22643149
23-May-13,33.95,34.41,33.86,34.23,20442625
22-May-13,35.07,35.15,33.92,34.12,33570585
21-May-13,34.90,35.32,34.90,35.10,19683387
20-May-13,34.81,35.03,34.56,34.90,18326347
17-May-13,34.59,35.03,34.44,35.03,26986845
16-May-13,34.09,34.61,34.09,34.37,25526628
15-May-13,33.74,34.10,33.71,33.98,18360497
14-May-13,33.65,34.25,33.55,33.67,23560303
13-May-13,33.95,34.00,33.66,33.78,12193774
10-May-13,33.83,34.03,33.65,34.02,17364022
9-May-13,33.30,34.00,33.28,33.70,18722157
8-May-13,33.09,33.57,33.09,33.46,21382656
7-May-13,33.53,33.78,33.19,33.26,17954982
