Date,Open,High,Low,Close,Volume
29-Nov-13,70.03,70.72,69.41,69.61,1688148
27-Nov-13,68.60,71.00,68.40,70.12,4526359
26-Nov-13,68.79,69.23,68.13,68.75,3094352
25-Nov-13,68.48,69.35,68.13,68.64,2808260
22-Nov-13,67.85,68.80,67.54,68.48,3108299
21-Nov-13,67.06,67.64,65.84,67.50,2933400
20-Nov-13,68.22,68.39,66.80,67.03,2923586
19-Nov-13,67.14,68.54,66.92,67.77,3246116
18-Nov-13,67.62,68.05,67.05,67.21,2723267
15-Nov-13,67.30,67.62,66.52,67.10,4106330
14-Nov-13,66.24,68.36,66.23,67.56,4088469
13-Nov-13,65.28,66.06,64.53,66.05,3427049
12-Nov-13,64.93,66.23,64.83,65.41,3230192
11-Nov-13,65.15,65.58,64.79,65.49,2438341
8-Nov-13,63.92,65.39,63.66,65.36,3252743
7-Nov-13,64.28,64.86,63.62,63.84,3084232
6-Nov-13,64.75,65.56,64.15,64.36,2984816
5-Nov-13,64.25,64.81,63.62,64.27,3184087
4-Nov-13,64.28,64.54,63.39,64.44,2729592
1-Nov-13,64.47,64.83,63.29,64.13,2747014
31-Oct-13,64.98,65.53,64.41,64.43,3786337
30-Oct-13,64.10,65.64,63.05,65.23,4687922
29-Oct-13,63.39,64.32,63.23,64.14,3214537
28-Oct-13,63.77,64.42,63.14,63.28,3071613
25-Oct-13,63.32,63.72,62.75,63.40,2206843
24-Oct-13,64.54,64.60,62.70,63.23,4242904
23-Oct-13,64.37,65.40,64.33,64.66,4215644
22-Oct-13,64.34,65.24,64.16,64.88,4265681
21-Oct-13,63.77,64.19,63.49,63.91,2986061
18-Oct-13,62.51,63.50,62.25,63.48,3813897
17-Oct-13,60.57,62.39,60.50,62.22,3405038
16-Oct-13,60.02,60.75,59.86,60.73,2993344
15-Oct-13,60.39,60.85,59.34,59.50,3602623
14-Oct-13,59.57,60.72,59.25,60.48,2892026
11-Oct-13,58.55,60.81,58.47,59.93,5680746
10-Oct-13,57.67,58.79,57.62,58.57,4396865
9-Oct-13,56.82,57.28,56.51,56.90,3466676
8-Oct-13,57.92,58.09,56.50,56.89,4211391
7-Oct-13,58.76,58.90,57.90,57.90,3345691
4-Oct-13,59.00,59.35,58.39,59.17,3550709
3-Oct-13,58.86,59.83,58.60,59.56,4244425
2-Oct-13,57.59,59.31,57.33,59.18,4136154
1-Oct-13,57.65,58.22,57.19,57.90,2601212
30-Sep-13,58.01,58.09,56.88,57.82,4401827
27-Sep-13,58.10,58.87,58.10,58.53,3027849
26-Sep-13,58.01,59.00,58.01,58.48,2713944
25-Sep-13,57.82,58.55,57.53,58.05,3053822
