Date,Open,High,Low,Close,Volume
29-Nov-13,73.52,73.89,73.26,73.58,6060038
27-Nov-13,73.24,73.58,72.81,73.56,7915422
26-Nov-13,72.69,73.65,72.59,73.65,16427085
25-Nov-13,71.09,72.53,70.96,72.49,16549338
22-Nov-13,71.91,73.09,71.87,72.96,12561176
21-Nov-13,70.40,71.81,70.40,71.71,13598689
20-Nov-13,71.95,72.40,70.91,71.03,15106095
19-Nov-13,72.18,72.43,71.73,71.84,10544792
18-Nov-13,72.28,72.30,71.72,71.94,10955777
15-Nov-13,71.34,72.18,71.10,72.17,14221716
14-Nov-13,69.98,71.48,69.85,71.22,14855556
13-Nov-13,68.99,70.03,68.55,70.03,13680116
12-Nov-13,67.54,68.57,67.54,68.51,9940673
11-Nov-13,67.30,67.92,67.18,67.62,10570303
8-Nov-13,67.42,68.04,67.06,67.45,14752508
7-Nov-13,66.83,67.75,66.25,67.09,33831405
6-Nov-13,69.43,69.81,68.67,69.74,13386416
5-Nov-13,69.25,69.55,68.86,69.00,8605109
4-Nov-13,70.14,70.19,69.25,69.57,9294454
1-Nov-13,69.53,70.00,69.32,69.90,10847215
31-Oct-13,69.19,69.98,68.76,69.49,11205114
30-Oct-13,68.99,69.35,68.83,69.04,7184780
29-Oct-13,68.73,69.39,68.60,68.93,8219932
28-Oct-13,68.39,68.62,67.96,68.54,7655100
25-Oct-13,67.20,68.27,67.00,68.27,10163437
24-Oct-13,67.46,67.51,66.82,66.94,6976984
23-Oct-13,68.26,68.50,66.92,67.04,13641842
22-Oct-13,68.85,69.25,68.79,68.92,8093827
21-Oct-13,68.51,68.95,68.36,68.77,5637324
18-Oct-13,68.47,68.98,68.22,68.40,8244742
17-Oct-13,68.29,68.76,67.85,68.70,7438329
16-Oct-13,68.50,69.10,68.39,68.87,8290336
15-Oct-13,68.00,68.70,67.80,68.17,7729031
14-Oct-13,67.11,67.94,66.92,67.75,5548157
11-Oct-13,66.96,67.60,66.59,67.55,7119400
10-Oct-13,66.22,66.97,66.00,66.84,7416752
9-Oct-13,66.55,66.58,65.47,65.71,11099561
8-Oct-13,67.18,67.23,66.26,66.35,8011454
7-Oct-13,66.39,67.65,66.30,67.19,12189765
4-Oct-13,67.25,68.19,67.13,68.02,7852381
3-Oct-13,67.72,67.72,66.70,67.11,6167388
2-Oct-13,67.03,67.74,66.95,67.68,6075587
1-Oct-13,67.40,67.88,67.17,67.49,6881115
30-Sep-13,66.94,67.59,66.55,67.32,8532846
27-Sep-13,68.19,68.28,67.08,67.38,10850596
26-Sep-13,69.08,69.35,68.70,68.87,4987096
25-Sep-13,68.44,69.07,68.26,68.75,7053657
24-Sep-13,68.72,68.91,68.14,68.51,8067598
23-Sep-13,70.00,70.24,68.88,68.98,13505566
20-Sep-13,69.52,69.89,69.00,69.06,18278258
19-Sep-13,69.71,70.04,69.42,69.46,12310200
18-Sep-13,69.47,69.87,68.91,69.64,11063452
17-Sep-13,68.36,69.46,68.15,69.42,14140609
16-Sep-13,69.02,69.05,67.97,68.09,12197530
13-Sep-13,69.21,69.24,68.36,68.58,11713798
12-Sep-13,68.73,69.72,68.50,68.81,17294185
11-Sep-13,68.29,68.60,67.49,68.09,20893553
10-Sep-13,69.39,70.37,69.39,70.09,14610669
9-Sep-13,68.00,69.37,68.00,69.30,12373716
6-Sep-13,67.98,68.45,67.37,68.02,10252827
5-Sep-13,67.33,67.96,67.24,67.83,8074594
4-Sep-13,66.82,67.51,66.80,67.28,7903157
3-Sep-13,66.92,67.74,66.52,66.75,11906598
30-Aug-13,66.63,66.66,65.74,66.28,8441297
29-Aug-13,66.57,67.14,66.40,66.71,6551794
28-Aug-13,66.07,66.84,65.99,66.56,8513324
27-Aug-13,66.31,66.65,65.91,66.02,9015074
26-Aug-13,67.03,67.24,66.80,66.95,10388683
23-Aug-13,67.01,67.34,66.60,67.15,8372690
22-Aug-13,66.69,67.17,66.64,67.13,6698123
21-Aug-13,66.31,67.00,66.19,66.57,8471513
20-Aug-13,66.53,67.14,66.31,66.71,9066733
19-Aug-13,66.88,67.40,66.29,66.33,9069611
16-Aug-13,66.69,67.42,66.69,66.90,13889169
15-Aug-13,66.35,66.95,66.20,66.95,11463148
14-Aug-13,67.08,67.22,66.62,66.96,9323710
13-Aug-13,66.73,67.45,66.53,67.25,12605118
12-Aug-13,65.89,66.62,65.80,66.46,7244748
9-Aug-13,66.34,66.55,66.04,66.27,7891392
8-Aug-13,65.59,66.64,65.36,66.35,12876439
7-Aug-13,65.27,65.84,65.00,65.21,9493341
6-Aug-13,66.18,66.30,65.53,65.59,7952421
5-Aug-13,65.41,66.39,65.34,66.25,13250034
2-Aug-13,64.89,66.76,64.89,66.75,19320499
1-Aug-13,64.78,65.48,64.31,65.27,11595566
31-Jul-13,64.60,64.95,64.40,64.56,12417452
30-Jul-13,64.72,65.19,64.39,64.51,11529147
29-Jul-13,64.47,64.90,64.17,64.24,9440491
26-Jul-13,62.92,64.80,62.83,64.61,18064316
25-Jul-13,63.49,64.45,62.89,63.42,25003173
24-Jul-13,62.89,62.96,61.19,61.39,20129482
23-Jul-13,62.27,62.75,62.21,62.30,9018230
22-Jul-13,61.68,62.21,61.50,62.21,12713203
19-Jul-13,61.22,61.57,61.09,61.46,14614652
18-Jul-13,61.94,62.02,60.82,61.12,23683940
17-Jul-13,62.05,62.66,61.56,62.65,12761850
16-Jul-13,61.49,61.88,61.20,61.85,13334553
15-Jul-13,61.39,61.66,60.85,61.28,14772481
12-Jul-13,61.35,62.02,61.29,62.02,11053619
11-Jul-13,61.15,61.37,60.81,61.30,13293643
10-Jul-13,59.23,60.65,59.20,60.44,19127041
9-Jul-13,60.15,60.34,59.02,59.39,24848048
8-Jul-13,60.75,60.94,59.83,59.99,17682465
5-Jul-13,60.75,60.96,60.27,60.95,11157904
3-Jul-13,60.74,61.34,60.66,60.91,4380098
2-Jul-13,60.74,61.24,60.64,60.92,7922130
1-Jul-13,61.50,61.61,60.90,60.96,7457378
28-Jun-13,60.64,61.63,60.55,61.09,13533283
27-Jun-13,61.63,61.77,60.27,61.08,14249055
26-Jun-13,62.56,62.92,61.17,61.27,22001700
25-Jun-13,60.42,62.38,60.37,61.81,21211895
24-Jun-13,60.00,60.21,59.46,59.88,17769893
21-Jun-13,60.93,61.05,60.22,60.67,25052714
20-Jun-13,61.40,61.86,60.67,60.92,14425468
19-Jun-13,62.63,62.80,61.83,61.91,11231829
18-Jun-13,62.29,62.73,62.01,62.38,11624355
17-Jun-13,61.61,62.35,61.49,62.07,13528404
14-Jun-13,61.79,61.93,61.34,61.38,9855700
13-Jun-13,61.22,62.12,60.75,61.96,11578784
12-Jun-13,61.97,61.97,61.01,61.11,14631848
11-Jun-13,61.47,62.05,61.15,61.66,11788213
10-Jun-13,62.11,62.20,61.67,62.03,11083971
7-Jun-13,62.90,63.11,61.42,62.10,29483720
6-Jun-13,63.34,63.82,62.53,62.97,10775944
5-Jun-13,63.65,63.65,62.68,63.15,10344995
4-Jun-13,63.43,64.04,63.20,63.71,14394751
3-Jun-13,63.37,63.67,62.69,63.23,13372350
31-May-13,63.90,64.58,63.48,63.48,12413441
30-May-13,64.13,64.76,64.03,64.18,10866944
29-May-13,63.78,64.30,63.50,64.11,13122991
28-May-13,64.64,64.88,64.02,64.07,10913230
24-May-13,63.70,64.35,63.51,64.26,10523434
23-May-13,64.59,64.93,63.63,63.91,19177343
22-May-13,65.63,66.15,64.88,65.23,13357267
21-May-13,65.68,66.21,65.60,65.76,11231359
20-May-13,66.30,66.60,66.01,66.10,10224664
17-May-13,66.22,66.67,65.57,66.61,11528726
16-May-13,65.43,66.20,65.36,65.64,11532265
15-May-13,65.33,65.60,65.04,65.54,10592209
14-May-13,65.01,65.32,64.74,65.32,8986401
13-May-13,64.34,65.07,64.18,64.82,9940620
10-May-13,64.01,64.64,64.01,64.64,9431267
9-May-13,64.21,64.50,63.93,64.11,9502100
8-May-13,63.90,64.50,63.90,64.12,11134396
7-May-13,63.81,64.22,63.53,63.97,9762723
6-May-13,63.82,64.32,63.74,63.86,10558017
3-May-13,63.52,63.85,63.31,63.77,10548805
2-May-13,62.14,63.01,61.93,62.89,15143014
1-May-13,61.43,62.07,61.43,61.92,14881748
30-Apr-13,61.60,62.12,61.25,61.60,21043312
29-Apr-13,61.80,62.11,61.52,61.61,22799496
26-Apr-13,62.51,62.68,61.47,61.52,28623770
25-Apr-13,62.81,63.05,61.79,62.44,56911610
24-Apr-13,66.00,66.56,65.81,66.00,17845981
23-Apr-13,64.95,65.49,64.61,65.35,9924478
22-Apr-13,64.09,64.59,63.58,64.58,11160122
19-Apr-13,63.62,64.12,63.03,63.93,12205059
18-Apr-13,64.99,65.59,63.25,63.64,15041454
17-Apr-13,65.08,65.18,64.01,64.23,14208291
16-Apr-13,65.78,66.18,65.38,65.81,10076775
15-Apr-13,66.23,66.67,65.43,65.49,9738520
12-Apr-13,67.02,67.07,66.09,66.68,10766583
11-Apr-13,67.24,67.60,66.62,67.03,11181879
10-Apr-13,66.28,67.66,66.19,67.28,11095783
9-Apr-13,66.00,66.20,65.32,65.96,12059479
8-Apr-13,65.14,65.86,65.09,65.86,5605857
5-Apr-13,64.67,65.25,64.55,65.16,10245001
4-Apr-13,65.98,66.30,65.34,65.81,7933469
3-Apr-13,66.50,66.65,65.94,65.97,10655935
2-Apr-13,66.50,66.71,65.90,66.26,9207996
1-Apr-13,66.70,66.84,65.60,66.00,8706418
28-Mar-13,66.64,67.00,66.53,66.94,7899189
