Date,Open,High,Low,Close,Volume
29-Nov-13,81.85,82.37,81.37,81.46,2193572
27-Nov-13,81.39,81.91,81.20,81.62,2376000
26-Nov-13,80.86,81.65,80.40,81.51,4383932
25-Nov-13,81.37,81.48,80.51,80.71,4500563
22-Nov-13,81.70,81.70,81.10,81.35,3963085
21-Nov-13,79.80,81.65,79.75,81.53,6569547
20-Nov-13,80.13,80.25,79.32,79.69,4367075
19-Nov-13,80.01,80.92,79.86,79.92,4362972
18-Nov-13,81.02,81.34,80.21,80.54,4161314
15-Nov-13,81.25,81.45,80.78,81.19,3222700
14-Nov-13,81.53,81.54,80.78,81.14,3823844
13-Nov-13,79.24,81.50,79.19,81.46,6259529
12-Nov-13,80.76,81.05,80.12,80.62,3306536
11-Nov-13,81.20,81.42,80.98,80.99,2573104
8-Nov-13,79.51,81.25,79.40,81.20,5743868
7-Nov-13,81.30,81.35,79.00,79.07,6641644
6-Nov-13,82.39,82.50,80.97,81.13,4281147
5-Nov-13,80.36,82.34,80.15,81.99,5046422
4-Nov-13,80.75,80.78,80.21,80.37,4142592
1-Nov-13,81.54,81.54,79.67,80.37,6002603
31-Oct-13,78.69,81.62,78.57,81.05,10245776
30-Oct-13,80.63,80.85,79.76,80.83,8759358
29-Oct-13,79.21,79.62,79.05,79.62,3949218
28-Oct-13,80.20,80.43,78.52,78.71,5621366
25-Oct-13,79.47,80.00,79.27,79.96,3608900
24-Oct-13,79.36,79.44,78.51,79.05,6745164
23-Oct-13,80.45,80.85,79.89,80.05,3954047
22-Oct-13,79.90,81.08,79.60,80.90,4209785
21-Oct-13,79.11,79.91,78.67,79.46,3385145
18-Oct-13,79.27,79.67,78.97,79.31,4524984
17-Oct-13,77.67,78.85,77.45,78.74,3281290
16-Oct-13,77.20,78.22,76.89,78.04,5051969
15-Oct-13,77.83,77.90,76.60,76.71,4073437
14-Oct-13,77.54,78.32,77.25,78.10,2993331
11-Oct-13,77.22,77.84,76.88,77.82,2765188
10-Oct-13,76.29,77.31,76.13,77.12,3319048
9-Oct-13,75.39,75.80,74.45,75.26,4744789
8-Oct-13,77.11,78.03,75.44,75.53,6303159
7-Oct-13,76.60,77.39,76.41,76.86,2553492
4-Oct-13,76.80,77.46,76.51,77.40,2621073
3-Oct-13,76.96,77.46,76.32,76.87,4133218
2-Oct-13,76.59,77.23,76.21,77.19,3033234
1-Oct-13,76.98,77.34,76.56,77.16,2604561
30-Sep-13,76.50,77.08,76.05,76.97,4408782
27-Sep-13,76.91,77.48,76.40,77.33,3100442
26-Sep-13,76.64,77.28,76.32,77.18,2494407
25-Sep-13,76.84,77.01,76.07,76.34,3631245
24-Sep-13,75.53,77.31,75.48,76.55,3867963
23-Sep-13,76.11,76.38,75.07,75.36,3382868
20-Sep-13,76.26,77.00,76.07,76.12,4817617
19-Sep-13,77.52,77.84,76.30,76.35,4023750
18-Sep-13,75.88,77.62,75.55,77.33,4745631
17-Sep-13,75.26,76.24,75.17,76.04,3330608
16-Sep-13,76.57,76.60,74.86,75.24,4393716
13-Sep-13,75.59,75.70,74.65,75.57,2884068
12-Sep-13,75.50,75.91,75.12,75.67,3814380
11-Sep-13,74.33,75.50,74.33,75.39,4989278
10-Sep-13,72.98,74.32,72.93,74.22,5889712
9-Sep-13,71.68,72.49,71.67,72.44,2424590
6-Sep-13,72.37,72.65,70.93,71.57,3159757
5-Sep-13,72.25,72.76,72.01,72.05,2465610
