Date,Open,High,Low,Close,Volume
29-Nov-13,17.70,17.78,17.66,17.73,3991226
27-Nov-13,17.66,17.72,17.51,17.58,13181113
26-Nov-13,17.45,17.54,17.35,17.46,14337108
25-Nov-13,17.18,17.25,17.13,17.17,9930288
22-Nov-13,16.99,17.19,16.93,17.13,15826407
21-Nov-13,17.32,17.35,16.86,17.02,19212810
20-Nov-13,17.48,17.68,17.43,17.55,10457446
19-Nov-13,17.84,17.85,17.55,17.57,8452021
18-Nov-13,17.72,17.88,17.67,17.70,10210208
15-Nov-13,17.63,17.77,17.54,17.66,12669690
14-Nov-13,17.61,17.65,17.48,17.50,10754365
13-Nov-13,17.50,17.75,17.36,17.61,12877262
12-Nov-13,17.66,17.81,17.61,17.81,8571647
11-Nov-13,17.84,17.85,17.71,17.73,6615018
8-Nov-13,18.00,18.04,17.87,18.01,8990166
7-Nov-13,18.34,18.35,18.10,18.13,10357647
6-Nov-13,18.08,18.30,18.03,18.27,9934071
5-Nov-13,18.13,18.17,18.04,18.08,9365497
4-Nov-13,18.50,18.55,18.26,18.34,8109321
1-Nov-13,18.53,18.63,18.40,18.47,6402012
31-Oct-13,18.59,18.67,18.35,18.41,11222630
30-Oct-13,18.75,18.91,18.48,18.58,6733797
29-Oct-13,18.69,18.79,18.59,18.77,6290124
28-Oct-13,18.59,18.70,18.55,18.61,4698263
25-Oct-13,18.38,18.51,18.29,18.47,11324751
24-Oct-13,18.80,18.83,18.58,18.68,10917580
23-Oct-13,18.98,19.00,18.69,18.72,7310505
22-Oct-13,19.06,19.25,19.02,19.16,9070096
21-Oct-13,18.95,19.01,18.87,18.98,9150014
18-Oct-13,18.75,19.16,18.70,19.08,18201723
17-Oct-13,18.25,18.71,18.18,18.65,11722813
16-Oct-13,18.17,18.30,18.14,18.28,15598111
15-Oct-13,18.00,18.23,17.97,18.15,11212885
14-Oct-13,17.91,18.04,17.85,18.01,6662128
11-Oct-13,17.90,18.12,17.83,18.09,11789414
10-Oct-13,17.43,17.67,17.42,17.67,10695606
9-Oct-13,17.65,17.66,17.15,17.26,16482565
8-Oct-13,17.82,17.97,17.45,17.46,10977511
7-Oct-13,17.60,17.76,17.48,17.62,6451314
4-Oct-13,17.60,17.74,17.55,17.68,4444215
3-Oct-13,17.77,17.85,17.52,17.70,10645847
2-Oct-13,17.40,17.49,17.20,17.47,7562826
1-Oct-13,17.10,17.43,17.09,17.42,9772519
30-Sep-13,16.87,17.12,16.74,16.96,10691686
27-Sep-13,17.25,17.26,17.03,17.07,7685939
26-Sep-13,17.27,17.33,17.15,17.32,4675398
25-Sep-13,17.43,17.47,17.24,17.32,8526901
24-Sep-13,17.64,17.69,17.46,17.56,9132650
23-Sep-13,17.72,17.75,17.53,17.65,10631947
20-Sep-13,17.54,17.61,17.30,17.31,10983363
19-Sep-13,17.68,17.74,17.58,17.60,8842589
18-Sep-13,17.48,17.77,17.35,17.61,14262319
17-Sep-13,17.80,17.82,17.62,17.68,5369145
16-Sep-13,17.65,17.76,17.60,17.62,7983684
13-Sep-13,17.26,17.34,17.22,17.33,4095726
12-Sep-13,17.39,17.48,17.22,17.28,5454021
11-Sep-13,17.45,17.52,17.40,17.44,7016610
10-Sep-13,17.54,17.54,17.34,17.48,12162917
9-Sep-13,17.11,17.34,17.09,17.30,9615702
6-Sep-13,17.23,17.28,17.00,17.01,6326586
5-Sep-13,16.96,17.26,16.95,17.18,7743555
4-Sep-13,17.00,17.00,16.74,16.86,13726506
3-Sep-13,17.06,17.23,16.82,16.90,11184868
30-Aug-13,16.79,17.10,16.51,16.56,11490017
29-Aug-13,16.46,16.75,16.46,16.67,9963209
28-Aug-13,16.17,16.30,16.13,16.26,6967402
27-Aug-13,16.07,16.16,15.94,15.98,8090697
26-Aug-13,16.18,16.42,16.16,16.26,7273432
23-Aug-13,16.19,16.29,16.14,16.22,7439677
22-Aug-13,15.88,16.12,15.87,16.06,8432850
21-Aug-13,15.77,15.92,15.70,15.75,10358684
20-Aug-13,15.85,15.98,15.81,15.83,10514780
19-Aug-13,16.00,16.03,15.81,15.81,6690573
