Date,Open,High,Low,Close,Volume
29-Nov-13,42.63,43.08,42.51,43.00,3756415
27-Nov-13,42.10,42.58,41.94,42.52,4764288
26-Nov-13,42.59,42.85,42.56,42.70,4181036
25-Nov-13,42.66,42.74,42.42,42.55,6201234
22-Nov-13,42.43,42.67,42.15,42.64,5002332
21-Nov-13,42.08,42.49,42.01,42.44,3828000
20-Nov-13,42.40,42.40,41.81,41.93,4858796
19-Nov-13,42.48,42.70,42.09,42.15,3604960
18-Nov-13,42.62,42.70,42.33,42.44,4000353
15-Nov-13,42.60,42.74,42.29,42.55,4231822
14-Nov-13,42.23,42.75,42.21,42.63,6114477
13-Nov-13,41.65,42.41,41.51,42.39,7135191
12-Nov-13,41.61,41.99,41.61,41.85,4176771
11-Nov-13,41.94,42.00,41.64,41.79,4291014
8-Nov-13,41.84,42.04,41.56,41.98,5590102
7-Nov-13,42.26,42.30,41.51,41.65,6335588
6-Nov-13,42.11,42.26,41.90,42.14,4637285
5-Nov-13,41.75,42.04,41.50,41.90,5350410
4-Nov-13,42.18,42.24,41.89,41.99,3681570
1-Nov-13,42.36,42.37,41.82,42.03,6033849
31-Oct-13,41.70,42.34,41.65,42.08,9643623
30-Oct-13,41.66,42.33,41.56,41.72,11278330
29-Oct-13,41.41,41.77,40.92,41.76,11073643
28-Oct-13,40.13,41.06,40.09,41.01,11603976
25-Oct-13,39.95,40.27,39.79,40.23,7117800
24-Oct-13,39.65,40.28,39.65,39.88,6644263
23-Oct-13,40.00,40.11,39.19,39.73,12047643
22-Oct-13,40.18,40.46,39.78,40.28,13065081
21-Oct-13,40.55,41.22,40.54,40.99,9658818
18-Oct-13,40.69,40.76,40.34,40.71,5724381
17-Oct-13,40.28,40.72,40.09,40.64,4972765
16-Oct-13,39.99,40.77,39.74,40.75,8301696
15-Oct-13,40.51,40.60,40.21,40.25,6437420
14-Oct-13,40.23,40.64,40.14,40.55,6080440
11-Oct-13,39.82,40.43,39.82,40.38,4500146
10-Oct-13,39.57,40.24,39.56,40.12,6385390
9-Oct-13,39.32,39.48,38.92,39.29,6859193
8-Oct-13,39.90,39.90,39.20,39.24,6364624
7-Oct-13,39.61,40.22,39.52,39.86,5850719
4-Oct-13,40.25,40.25,39.83,39.93,6539277
3-Oct-13,40.06,40.36,39.81,40.22,5899215
2-Oct-13,40.11,40.46,40.08,40.26,4235375
1-Oct-13,40.34,40.55,40.23,40.40,3944796
30-Sep-13,39.88,40.41,39.68,40.29,5512125
27-Sep-13,40.25,40.33,40.00,40.16,3799270
26-Sep-13,40.52,40.54,40.14,40.38,3275451
25-Sep-13,40.43,40.52,40.21,40.32,4421131
24-Sep-13,40.45,40.56,40.23,40.32,4440678
23-Sep-13,40.50,40.62,40.25,40.47,5769089
20-Sep-13,40.89,40.91,40.51,40.52,7184426
19-Sep-13,40.91,40.94,40.67,40.80,5066776
18-Sep-13,40.70,40.90,40.54,40.85,7654377
17-Sep-13,40.66,40.84,40.39,40.73,4061198
16-Sep-13,40.50,40.58,40.28,40.45,5415927
13-Sep-13,40.06,40.30,39.74,40.28,4272345
12-Sep-13,39.93,40.11,39.66,39.90,5856541
11-Sep-13,40.05,40.39,39.96,40.03,6714449
10-Sep-13,39.96,40.36,39.88,40.31,6432188
9-Sep-13,39.39,39.84,39.25,39.75,3604873
6-Sep-13,39.60,39.60,38.98,39.18,4768462
5-Sep-13,39.36,39.58,39.29,39.48,4374378
4-Sep-13,38.77,39.47,38.52,39.37,6225845
3-Sep-13,38.62,39.09,38.48,38.64,4466824
30-Aug-13,38.64,38.65,38.06,38.20,4377337
29-Aug-13,38.38,38.82,38.26,38.61,3192425
28-Aug-13,38.37,38.69,38.14,38.43,5114996
27-Aug-13,38.81,38.81,38.12,38.25,9136092
26-Aug-13,39.16,39.56,39.04,39.19,6765227
23-Aug-13,38.93,39.14,38.71,39.07,5159911
22-Aug-13,38.62,38.95,38.35,38.82,4260449
21-Aug-13,38.30,38.76,38.00,38.45,9314168
20-Aug-13,38.58,38.86,38.45,38.75,5428899
19-Aug-13,38.94,39.03,38.41,38.44,5367444
16-Aug-13,38.63,39.05,38.44,38.74,5714586
15-Aug-13,38.67,38.90,38.36,38.65,8551240
14-Aug-13,39.78,39.79,39.04,39.17,11735301
13-Aug-13,39.70,39.92,39.45,39.76,4100307
12-Aug-13,39.48,39.92,39.48,39.71,3506630
9-Aug-13,39.55,39.94,39.51,39.78,5768639
8-Aug-13,39.85,39.96,39.42,39.65,3897346
7-Aug-13,39.55,39.89,39.49,39.65,4515462
6-Aug-13,39.81,39.99,39.53,39.73,5140104
5-Aug-13,39.72,39.90,39.66,39.86,4514344
2-Aug-13,39.63,39.99,39.41,39.94,9305654
1-Aug-13,39.36,39.90,39.25,39.82,8625045
31-Jul-13,38.98,39.35,38.78,39.18,8871516
30-Jul-13,38.73,39.05,38.62,38.76,6160008
29-Jul-13,38.62,38.99,38.54,38.59,4971658
26-Jul-13,38.76,39.12,38.75,39.11,6964998
25-Jul-13,38.91,39.27,38.73,39.25,9191614
24-Jul-13,38.97,39.21,38.66,38.93,10252373
23-Jul-13,38.65,39.74,38.58,38.93,21957997
22-Jul-13,37.55,37.60,37.22,37.42,7906489
19-Jul-13,37.53,37.60,37.13,37.26,8238731
18-Jul-13,37.89,38.10,37.56,37.60,6911293
17-Jul-13,37.93,38.16,37.80,37.90,5810898
16-Jul-13,37.89,37.95,37.62,37.82,5192970
15-Jul-13,37.49,37.83,37.41,37.79,6279459
12-Jul-13,37.20,37.49,37.01,37.49,6618869
11-Jul-13,36.86,37.31,36.84,37.17,10298866
10-Jul-13,36.06,36.67,36.06,36.59,7016438
9-Jul-13,36.00,36.41,35.96,36.24,6284900
8-Jul-13,36.13,36.16,35.41,35.69,8024115
5-Jul-13,35.76,36.02,35.52,36.00,5764584
3-Jul-13,34.85,35.78,34.81,35.47,4081279
