Date,Open,High,Low,Close,Volume
29-Nov-13,80.85,81.16,80.36,80.63,276908
27-Nov-13,80.85,81.25,80.64,80.79,1014917
26-Nov-13,80.52,81.86,79.57,80.84,1486953
25-Nov-13,81.21,81.82,79.66,80.33,2009320
22-Nov-13,81.18,81.72,80.79,81.30,1640287
21-Nov-13,78.57,81.17,78.57,80.99,2544041
20-Nov-13,78.45,79.52,78.29,78.42,1712875
19-Nov-13,78.34,78.58,77.77,78.29,1319576
18-Nov-13,79.04,79.47,77.86,78.22,1368631
15-Nov-13,78.00,79.26,77.45,78.96,2146304
14-Nov-13,78.92,79.17,76.51,77.24,4376602
13-Nov-13,80.68,81.56,79.09,79.58,3988066
12-Nov-13,79.99,81.24,79.30,80.66,1095816
11-Nov-13,79.58,80.61,79.23,80.32,1584541
8-Nov-13,80.52,80.96,78.65,79.28,3012459
7-Nov-13,82.12,82.38,80.28,80.66,1657692
6-Nov-13,80.65,82.03,80.63,81.65,1681625
5-Nov-13,80.58,81.26,80.25,80.52,1257240
4-Nov-13,80.93,81.94,80.46,81.32,1217274
1-Nov-13,81.48,81.64,79.80,80.75,1473213
31-Oct-13,81.49,82.85,81.26,81.28,1517917
30-Oct-13,82.00,82.12,80.77,81.44,1404153
29-Oct-13,82.67,83.28,81.19,81.85,2478655
28-Oct-13,83.05,83.75,81.90,82.26,2212573
25-Oct-13,85.06,85.31,83.13,83.39,1852840
24-Oct-13,83.86,85.10,83.71,84.78,2150786
23-Oct-13,84.16,84.57,82.01,83.54,4188318
22-Oct-13,90.11,90.75,83.99,85.00,10307929
21-Oct-13,82.61,83.28,81.25,82.65,5297124
18-Oct-13,81.21,82.22,80.60,81.43,3202830
17-Oct-13,79.30,79.31,78.53,78.74,1753470
16-Oct-13,77.91,79.88,77.90,79.66,1985979
15-Oct-13,80.19,80.34,77.77,77.91,1835319
14-Oct-13,79.79,80.29,78.84,80.28,1083194
11-Oct-13,80.01,81.12,79.77,80.44,1427406
10-Oct-13,77.82,80.11,77.81,79.52,2451910
9-Oct-13,78.52,79.49,76.94,78.93,2240451
8-Oct-13,79.77,80.60,77.34,78.06,3292131
7-Oct-13,80.11,81.69,79.93,80.70,1263227
4-Oct-13,79.80,81.89,79.70,81.06,1573958
3-Oct-13,82.48,82.90,79.28,79.85,2616519
2-Oct-13,81.39,82.67,81.39,82.44,788981
1-Oct-13,80.94,82.75,80.78,82.04,1454371
30-Sep-13,82.15,82.25,80.62,80.90,1997789
27-Sep-13,83.40,83.41,82.31,82.63,1021698
26-Sep-13,83.65,85.11,83.42,83.80,1038322
25-Sep-13,83.45,84.02,82.69,83.23,956593
24-Sep-13,84.50,84.60,82.82,83.19,2985315
23-Sep-13,87.42,87.42,84.42,85.33,1751850
20-Sep-13,88.74,89.22,87.29,87.51,1679656
19-Sep-13,89.95,90.60,88.67,88.89,1241572
18-Sep-13,87.81,89.39,87.32,89.16,1022524
17-Sep-13,87.98,88.32,87.35,87.51,723901
16-Sep-13,88.10,89.40,88.02,88.32,949442
13-Sep-13,87.96,88.04,86.90,87.63,793065
12-Sep-13,88.51,88.62,87.68,87.95,813841
11-Sep-13,88.45,88.96,87.82,88.37,937453
10-Sep-13,87.57,89.36,87.33,88.78,1394047
9-Sep-13,85.34,87.83,85.34,87.08,1739224
6-Sep-13,85.04,85.54,84.19,84.81,1093539
5-Sep-13,84.73,85.34,84.55,84.90,656574
4-Sep-13,84.88,85.53,83.87,84.97,897173
3-Sep-13,84.97,85.56,83.82,84.63,975816
30-Aug-13,85.51,85.64,83.92,84.15,859464
29-Aug-13,83.94,85.25,83.66,84.86,880037
28-Aug-13,83.30,84.34,83.12,83.82,948528
27-Aug-13,85.28,86.23,82.90,83.39,2781792
26-Aug-13,87.84,88.50,86.19,86.52,1778278
23-Aug-13,87.26,88.38,86.73,87.80,2519820
22-Aug-13,84.41,85.77,84.36,85.46,839170
21-Aug-13,83.30,85.35,83.30,84.31,1489084
20-Aug-13,83.69,83.85,83.16,83.44,1034458
19-Aug-13,83.70,85.06,83.06,83.36,1588791
16-Aug-13,83.85,84.35,83.57,83.97,1285196
15-Aug-13,84.66,84.66,83.02,83.96,1859161
14-Aug-13,85.92,86.69,85.40,85.69,1289313
13-Aug-13,85.98,86.23,85.30,85.88,1432659
12-Aug-13,84.35,86.29,84.26,86.02,1417923
9-Aug-13,84.91,85.84,84.40,84.99,2076171
8-Aug-13,83.43,86.00,83.25,84.95,2830908
7-Aug-13,82.10,82.87,81.60,82.87,1732340
6-Aug-13,82.28,82.89,81.81,82.57,1066853
5-Aug-13,81.98,83.36,81.69,82.58,1315978
2-Aug-13,81.64,82.39,81.26,82.17,1390906
