Date,Open,High,Low,Close,Volume
29-Nov-13,50.04,50.05,49.54,49.62,4908551
27-Nov-13,50.14,50.20,49.64,49.93,7320623
26-Nov-13,50.08,50.36,49.91,50.05,8631605
25-Nov-13,50.29,50.34,49.92,50.01,5948608
22-Nov-13,50.30,50.40,50.01,50.22,9849623
21-Nov-13,50.60,50.80,50.35,50.38,6608041
20-Nov-13,50.79,51.25,50.31,50.40,9640197
19-Nov-13,50.83,51.05,50.50,50.78,7936846
18-Nov-13,50.35,50.81,50.34,50.76,10224565
15-Nov-13,50.16,50.42,49.87,50.31,9101986
14-Nov-13,50.09,50.43,50.09,50.27,8874004
13-Nov-13,49.88,50.00,49.36,49.99,10915592
12-Nov-13,50.01,50.46,49.78,50.16,9595752
11-Nov-13,50.12,50.25,49.77,49.96,5166944
8-Nov-13,50.06,50.24,49.52,50.20,16393147
7-Nov-13,50.55,51.00,50.05,50.17,10811256
6-Nov-13,50.38,50.86,50.35,50.61,9305591
5-Nov-13,50.81,50.87,50.08,50.10,11832377
4-Nov-13,50.92,51.09,50.53,51.08,8296520
1-Nov-13,50.79,51.46,50.34,50.49,11450089
31-Oct-13,50.49,50.91,50.05,50.51,10923494
30-Oct-13,51.39,51.40,50.39,50.53,12593949
29-Oct-13,50.62,51.49,50.58,51.09,14668347
28-Oct-13,50.69,50.72,50.28,50.57,12444566
25-Oct-13,50.33,50.78,50.11,50.71,9169908
24-Oct-13,51.04,51.19,50.32,50.42,10345690
23-Oct-13,51.03,51.38,50.77,50.82,11368049
22-Oct-13,50.56,51.30,50.15,51.14,15220140
21-Oct-13,50.01,50.61,50.00,50.58,14398499
18-Oct-13,49.36,50.06,49.17,50.01,22190722
17-Oct-13,48.57,49.24,48.12,48.90,29363581
16-Oct-13,46.60,47.44,46.40,47.25,18900328
15-Oct-13,46.80,46.94,46.27,46.32,12576068
14-Oct-13,46.79,47.10,46.68,46.81,10940408
11-Oct-13,46.81,47.09,46.66,47.09,11131240
10-Oct-13,46.65,46.86,46.20,46.86,11557905
9-Oct-13,46.21,46.78,46.06,46.20,13270818
8-Oct-13,46.72,46.73,46.03,46.05,15781255
7-Oct-13,46.88,47.65,46.76,47.29,45152555
4-Oct-13,47.05,47.12,46.65,47.10,47164033
3-Oct-13,46.68,47.18,46.52,47.01,14969951
2-Oct-13,46.84,46.98,46.33,46.79,11885889
1-Oct-13,46.62,47.00,46.53,46.99,10054921
30-Sep-13,46.57,46.92,46.32,46.68,12255502
27-Sep-13,47.42,47.45,46.69,47.00,10311949
26-Sep-13,47.05,47.71,47.05,47.67,10238830
25-Sep-13,47.30,47.35,46.76,46.94,13292377
24-Sep-13,47.69,47.70,46.88,47.27,16939052
23-Sep-13,47.71,48.00,47.37,47.98,9031155
20-Sep-13,48.59,48.59,47.54,47.78,15192472
19-Sep-13,48.62,48.89,48.22,48.51,11499666
18-Sep-13,48.51,48.83,47.87,48.72,10958357
17-Sep-13,48.47,48.70,48.27,48.57,10267659
16-Sep-13,48.31,48.50,48.06,48.30,15385971
13-Sep-13,47.80,48.36,47.56,47.76,16631810
12-Sep-13,46.60,47.52,46.44,47.35,18127833
11-Sep-13,46.49,46.90,46.32,46.52,16039215
10-Sep-13,45.96,46.60,45.47,46.47,19006934
9-Sep-13,46.35,46.40,45.82,45.91,12582223
6-Sep-13,47.01,47.04,46.04,46.34,13431209
5-Sep-13,47.11,47.58,46.32,46.64,17784439
4-Sep-13,45.71,47.07,45.70,46.78,26571791
3-Sep-13,45.52,46.45,45.08,46.01,47087430
30-Aug-13,47.83,47.97,47.10,47.38,13420902
29-Aug-13,48.62,48.66,47.57,47.82,36425826
28-Aug-13,46.88,46.92,46.54,46.56,6798238
27-Aug-13,46.58,47.00,46.25,46.95,9651228
26-Aug-13,47.53,47.53,46.94,46.94,6942939
23-Aug-13,47.02,47.70,46.95,47.61,6756127
22-Aug-13,47.45,47.45,46.74,47.02,9861163
21-Aug-13,47.79,47.79,47.24,47.27,8434450
20-Aug-13,47.54,48.18,47.50,47.91,7264109
19-Aug-13,47.55,48.09,47.45,47.50,7877976
16-Aug-13,48.29,48.53,47.33,47.71,15384641
15-Aug-13,48.66,48.98,48.42,48.54,6610625
14-Aug-13,49.10,49.27,48.72,48.89,7395667
13-Aug-13,49.64,49.68,49.03,49.15,7881588
12-Aug-13,49.28,49.76,49.17,49.65,5507849
9-Aug-13,49.70,49.80,49.02,49.32,8585261
8-Aug-13,50.06,50.07,49.46,49.62,8154963
7-Aug-13,49.93,50.25,49.84,49.93,5366311
6-Aug-13,50.19,50.22,49.82,50.09,5226455
5-Aug-13,50.11,50.35,49.95,50.21,4533110
2-Aug-13,49.83,50.44,49.81,50.25,6883565
1-Aug-13,50.05,50.19,49.63,50.01,9001249
31-Jul-13,50.27,50.46,49.45,49.48,14436836
30-Jul-13,51.94,51.94,50.30,50.42,11579443
29-Jul-13,51.03,51.74,50.92,51.49,8445053
26-Jul-13,50.74,51.08,50.51,51.02,7090671
25-Jul-13,50.29,50.80,50.10,50.71,6488003
24-Jul-13,50.16,50.53,49.94,50.38,8469317
23-Jul-13,50.33,50.46,50.03,50.36,6756168
22-Jul-13,49.84,50.31,49.63,50.27,8795244
19-Jul-13,50.05,50.27,49.71,49.95,12338332
18-Jul-13,50.00,50.33,49.19,49.97,12951365
17-Jul-13,50.62,51.26,50.57,50.74,8545392
16-Jul-13,49.75,50.45,49.71,50.28,8841651
15-Jul-13,50.20,50.22,49.40,49.96,10593761
12-Jul-13,51.25,51.30,50.21,50.41,12705037
11-Jul-13,51.00,51.29,50.77,51.21,10229598
10-Jul-13,50.94,51.09,50.42,50.54,8373770
9-Jul-13,51.50,51.58,50.87,50.96,6738946
8-Jul-13,51.10,51.41,50.80,51.17,7238987
5-Jul-13,51.30,51.30,50.34,51.30,8033172
3-Jul-13,50.56,51.30,50.45,51.01,5975684
2-Jul-13,50.36,51.04,50.19,50.63,9661158
1-Jul-13,50.29,50.65,50.18,50.36,9746948
28-Jun-13,50.93,51.23,50.33,50.34,11175984
27-Jun-13,50.96,51.50,50.93,51.00,8634087
26-Jun-13,50.80,50.84,50.24,50.66,9202920
25-Jun-13,49.43,50.68,49.43,50.44,31415266
24-Jun-13,49.05,49.41,48.81,49.12,29397984
21-Jun-13,49.43,49.78,49.10,49.52,35022353
20-Jun-13,49.69,49.86,48.86,48.96,14667533
19-Jun-13,51.31,51.45,50.04,50.05,11190990
18-Jun-13,50.83,51.68,50.76,51.55,11104374
17-Jun-13,51.45,51.63,50.35,50.71,9887822
14-Jun-13,50.59,51.27,50.55,51.07,12017699
13-Jun-13,49.89,50.71,49.80,50.64,7147096
12-Jun-13,50.47,50.56,49.74,49.90,8215937
11-Jun-13,50.22,50.79,49.93,50.18,9912679
10-Jun-13,50.87,50.87,50.12,50.53,9617647
7-Jun-13,50.17,50.31,49.77,50.24,12002956
6-Jun-13,48.29,50.09,48.15,49.97,17673788
5-Jun-13,48.91,48.93,48.23,48.30,11311152
4-Jun-13,48.66,49.46,48.39,48.84,19903293
3-Jun-13,48.43,48.71,47.77,48.66,17575703
31-May-13,48.90,49.94,48.47,48.48,19672392
30-May-13,49.48,50.06,49.08,49.08,12461424
