Date,Open,High,Low,Close,Volume
29-Nov-13,81.17,81.35,80.82,81.01,3447212
27-Nov-13,80.55,81.00,80.38,80.93,4813288
26-Nov-13,80.44,80.68,80.11,80.68,5538136
25-Nov-13,80.06,80.57,79.91,80.43,5670506
22-Nov-13,78.87,79.87,78.75,79.81,4818619
21-Nov-13,78.74,79.20,78.55,78.86,3840986
20-Nov-13,79.31,79.39,78.49,78.90,4511312
19-Nov-13,79.30,79.35,78.88,79.25,4455005
18-Nov-13,79.23,79.32,78.91,79.22,5962661
15-Nov-13,78.93,79.29,78.75,79.22,5917004
14-Nov-13,77.75,79.53,77.68,79.08,9306044
13-Nov-13,78.42,78.99,78.35,78.90,8289973
12-Nov-13,78.85,78.97,78.25,78.71,5274506
11-Nov-13,77.86,79.07,77.79,79.01,7450486
8-Nov-13,77.49,77.96,76.79,77.96,5793894
7-Nov-13,78.19,78.22,77.24,77.51,8347756
6-Nov-13,77.64,78.28,77.30,78.16,4829209
5-Nov-13,76.81,77.61,76.72,77.42,5092603
4-Nov-13,77.22,77.65,77.20,77.33,4704244
1-Nov-13,76.97,77.40,76.59,77.07,5116130
31-Oct-13,76.88,77.15,76.60,76.75,4612369
30-Oct-13,77.27,77.52,76.56,76.91,4645994
29-Oct-13,77.25,77.63,76.75,77.06,7437557
28-Oct-13,76.16,77.21,76.05,77.14,7032415
25-Oct-13,76.37,76.76,75.78,76.08,6400663
24-Oct-13,76.03,76.51,75.82,76.42,5824254
23-Oct-13,76.18,76.35,75.81,75.90,5870080
22-Oct-13,75.43,76.49,75.21,76.32,6953746
21-Oct-13,75.72,75.82,74.82,75.15,5364144
18-Oct-13,75.80,75.93,75.48,75.71,6788695
17-Oct-13,75.49,76.12,71.69,75.78,6395186
16-Oct-13,74.81,75.62,74.57,75.60,5914521
15-Oct-13,74.43,75.37,73.99,74.37,8993268
14-Oct-13,74.34,74.71,73.75,74.68,5904038
11-Oct-13,74.61,74.83,73.83,74.82,6529172
10-Oct-13,73.48,74.87,73.27,74.79,7680163
9-Oct-13,72.83,73.34,72.57,73.00,6472436
8-Oct-13,71.85,73.19,71.80,72.90,9152610
7-Oct-13,72.42,72.42,71.51,71.87,6886395
4-Oct-13,73.01,73.38,72.79,72.80,5747662
3-Oct-13,73.53,73.53,72.95,73.16,7179614
2-Oct-13,73.39,73.72,73.04,73.72,7348490
1-Oct-13,73.87,73.89,73.32,73.59,5683089
30-Sep-13,74.28,74.60,73.74,73.96,6704177
27-Sep-13,74.38,74.46,74.07,74.36,4215371
26-Sep-13,74.78,74.98,74.22,74.62,5078084
25-Sep-13,75.91,75.94,73.56,74.65,14997895
24-Sep-13,76.40,76.73,75.68,75.75,6874782
23-Sep-13,75.39,76.43,75.20,76.42,5513165
20-Sep-13,76.32,76.45,75.83,75.83,8855283
19-Sep-13,76.50,76.53,75.62,76.21,7109721
18-Sep-13,75.16,76.53,74.90,76.42,6919276
17-Sep-13,74.84,75.47,74.79,75.15,4293020
16-Sep-13,74.90,75.19,74.69,74.78,4212240
13-Sep-13,74.13,74.40,73.98,74.36,4020403
12-Sep-13,74.18,74.52,73.77,73.91,5261800
11-Sep-13,74.00,74.24,73.66,74.05,5310933
10-Sep-13,73.66,74.21,73.57,73.96,6846286
9-Sep-13,72.85,73.65,72.70,73.51,5417467
6-Sep-13,72.70,73.16,72.19,72.59,5753550
5-Sep-13,72.84,73.48,72.62,72.67,4680482
4-Sep-13,72.70,73.12,72.45,72.91,4669890
3-Sep-13,73.48,73.58,72.54,72.68,7156986
30-Aug-13,72.64,73.07,72.58,72.98,6066164
29-Aug-13,72.35,72.88,72.23,72.43,4088193
28-Aug-13,72.66,72.86,72.27,72.38,5609965
27-Aug-13,72.68,73.11,72.51,72.86,5781674
26-Aug-13,73.64,73.75,73.03,73.03,5358106
23-Aug-13,73.65,73.75,73.03,73.44,5473122
22-Aug-13,73.81,74.04,73.24,73.46,3947992
21-Aug-13,73.16,74.13,72.93,73.55,8077861
20-Aug-13,73.55,73.62,73.20,73.23,6663009
19-Aug-13,73.88,73.93,73.21,73.58,5364944
16-Aug-13,74.12,74.50,73.70,74.11,7254895
15-Aug-13,74.46,75.08,74.03,74.41,13221821
14-Aug-13,76.81,77.22,76.24,76.40,6820098
13-Aug-13,77.17,77.25,76.22,76.86,6380970
12-Aug-13,76.56,77.39,76.49,77.08,5787049
9-Aug-13,77.21,77.32,76.77,76.90,5765133
8-Aug-13,77.51,77.89,76.93,77.25,4474679
7-Aug-13,77.16,77.63,76.62,77.37,5819994
6-Aug-13,78.56,78.57,77.56,77.87,6701069
5-Aug-13,78.62,79.00,78.43,78.77,3906060
2-Aug-13,78.25,78.75,78.00,78.75,6133797
1-Aug-13,78.42,78.67,78.10,78.22,5168733
31-Jul-13,77.92,78.48,77.73,77.94,6042731
30-Jul-13,78.21,78.36,77.69,77.89,4533684
29-Jul-13,77.83,78.26,77.78,77.99,3465300
26-Jul-13,77.93,78.03,77.10,78.00,5349510
25-Jul-13,78.05,78.46,77.63,78.01,5920265
24-Jul-13,78.68,78.69,77.72,78.23,4930310
23-Jul-13,77.96,78.63,77.80,78.55,5254366
22-Jul-13,77.89,78.25,77.73,77.87,4159034
19-Jul-13,77.45,78.17,77.34,78.08,6831261
18-Jul-13,77.22,77.55,77.01,77.34,4149818
17-Jul-13,77.62,77.79,77.09,77.20,5351582
16-Jul-13,76.98,77.45,76.90,77.37,4707604
15-Jul-13,77.30,77.30,76.70,77.03,4887186
12-Jul-13,77.61,77.67,77.33,77.63,4462338
11-Jul-13,77.45,77.75,77.33,77.63,4681427
10-Jul-13,76.96,77.50,76.45,76.77,5141215
9-Jul-13,76.96,77.44,76.74,77.03,5273182
8-Jul-13,75.68,76.77,75.68,76.71,6717093
5-Jul-13,75.15,75.26,74.41,75.21,5447535
3-Jul-13,74.41,75.12,74.09,74.76,2325106
2-Jul-13,74.31,75.68,74.21,74.71,6728501
1-Jul-13,74.99,75.28,74.10,74.59,6697777
28-Jun-13,75.11,75.66,74.45,74.49,14555128
27-Jun-13,75.48,76.11,75.24,75.26,7089475
26-Jun-13,74.62,75.18,74.54,75.01,5478746
25-Jun-13,74.27,74.75,73.84,74.37,7221640
24-Jun-13,73.05,74.79,72.90,74.20,9697215
21-Jun-13,73.52,74.20,73.26,73.51,14575716
20-Jun-13,74.50,74.66,73.01,73.03,9071365
19-Jun-13,75.74,75.96,74.34,74.46,8329317
18-Jun-13,75.00,75.88,74.80,75.73,6739607
17-Jun-13,75.00,75.44,74.51,74.95,6481064
14-Jun-13,74.84,75.27,74.80,74.87,6347232
13-Jun-13,74.78,75.33,74.56,75.00,7241763
12-Jun-13,75.47,75.71,74.65,74.84,4731124
11-Jun-13,75.42,75.83,74.99,75.25,5995362
10-Jun-13,76.28,76.65,75.66,75.75,6731771
7-Jun-13,76.38,76.87,76.19,76.33,8348910
6-Jun-13,75.27,75.74,74.84,75.63,9426122
5-Jun-13,75.72,75.95,75.07,75.25,6778532
4-Jun-13,75.77,76.38,75.47,75.94,9344138
3-Jun-13,75.06,75.80,74.64,75.69,8441954
31-May-13,75.36,75.63,74.82,74.84,9749348
30-May-13,76.49,76.54,75.61,75.63,6228644
29-May-13,77.05,77.05,76.06,76.23,5882206
28-May-13,77.52,78.04,77.06,77.32,6060170
24-May-13,76.32,77.41,76.15,77.31,7589759
23-May-13,76.83,76.94,76.25,76.33,8048141
22-May-13,77.19,77.80,76.75,77.03,9021499
21-May-13,77.62,78.18,77.25,77.39,7484486
20-May-13,77.88,77.90,77.36,77.40,5583000
17-May-13,78.30,78.59,77.40,77.87,10671473
16-May-13,78.10,78.86,77.34,78.50,12129178
15-May-13,78.80,79.96,78.65,79.86,8002558
14-May-13,77.98,78.86,77.67,78.78,10018069
13-May-13,78.80,78.94,77.92,78.50,7714538
10-May-13,78.47,78.91,78.28,78.89,5831224
9-May-13,78.31,78.96,77.90,78.40,6516841
8-May-13,78.56,78.66,77.78,78.25,8010645
7-May-13,79.10,79.14,78.77,78.83,6572201
6-May-13,79.10,79.16,78.77,78.83,4807303
3-May-13,78.92,79.34,78.90,79.25,5605083
2-May-13,77.91,78.49,77.80,78.46,4520564
1-May-13,77.85,78.66,77.69,78.06,6260681
30-Apr-13,78.28,78.30,77.37,77.72,7970243
29-Apr-13,79.08,79.25,78.15,78.39,6157908
26-Apr-13,78.58,79.15,78.57,79.04,5923528
25-Apr-13,78.18,78.83,77.88,78.65,5734370
24-Apr-13,79.23,79.50,77.92,78.03,8084145
23-Apr-13,78.11,79.22,78.05,79.09,6663451
