Date,Open,High,Low,Close,Volume
29-Nov-13,93.65,94.22,93.30,93.48,6770498
27-Nov-13,94.36,94.42,93.48,93.80,8828125
26-Nov-13,94.75,94.81,94.15,94.27,11859551
25-Nov-13,95.21,95.75,94.83,95.09,10515815
22-Nov-13,94.96,95.07,94.29,95.01,8541590
21-Nov-13,94.85,95.39,94.63,94.69,9128848
20-Nov-13,95.75,95.95,94.37,94.68,10459364
19-Nov-13,95.40,95.79,95.16,95.42,12697290
18-Nov-13,95.98,96.00,95.06,95.45,14245128
15-Nov-13,94.15,95.29,94.03,95.27,18374489
14-Nov-13,92.68,93.42,92.68,93.22,7909231
13-Nov-13,92.22,92.74,92.07,92.59,9285719
12-Nov-13,92.67,93.32,92.50,92.67,10727290
11-Nov-13,92.85,93.23,92.50,92.96,7927463
8-Nov-13,91.80,92.82,91.48,92.73,12331256
7-Nov-13,92.64,92.98,91.76,91.96,16578928
6-Nov-13,92.42,93.28,92.12,93.22,13464561
5-Nov-13,91.34,93.25,91.24,91.99,21122485
4-Nov-13,90.00,92.27,90.00,92.10,20601160
1-Nov-13,89.74,90.04,88.27,89.82,19024810
31-Oct-13,89.45,90.96,89.20,89.62,19185158
30-Oct-13,88.97,89.48,88.69,88.81,14307370
29-Oct-13,88.45,89.03,88.44,88.93,10339953
28-Oct-13,87.83,88.46,87.61,88.23,9921855
25-Oct-13,88.23,88.65,87.82,87.97,11364835
24-Oct-13,87.98,88.73,87.97,88.42,12276029
23-Oct-13,87.52,87.65,86.95,87.61,11455553
22-Oct-13,87.29,88.15,87.13,87.98,12714825
21-Oct-13,87.50,87.65,86.84,87.23,10730911
18-Oct-13,87.69,87.74,87.30,87.55,12425312
17-Oct-13,87.13,87.50,87.01,87.48,10438237
16-Oct-13,87.48,87.86,86.72,87.31,11668116
15-Oct-13,87.47,87.58,86.64,86.79,12023047
14-Oct-13,86.51,87.74,86.51,87.60,9742067
11-Oct-13,85.90,86.95,85.50,86.95,12661803
10-Oct-13,85.52,86.04,84.79,86.04,17542441
9-Oct-13,85.35,85.59,84.83,85.16,13575125
8-Oct-13,85.86,85.95,85.47,85.51,15327377
7-Oct-13,85.57,86.29,85.27,85.90,10985769
4-Oct-13,86.31,86.42,85.68,86.32,11331483
3-Oct-13,86.04,86.05,85.34,85.50,13927518
2-Oct-13,85.75,86.11,85.28,86.08,11767969
1-Oct-13,85.99,86.34,85.78,86.00,11888460
30-Sep-13,86.06,86.70,85.61,86.04,17437266
27-Sep-13,86.85,87.01,86.61,86.90,10870712
