Date,Open,High,Low,Close,Volume
25-Nov-13,36.78,36.85,35.96,36.29,15162027
22-Nov-13,36.19,36.63,35.96,36.49,13247491
21-Nov-13,36.23,36.66,36.22,36.30,26425032
20-Nov-13,35.43,36.22,35.22,35.62,32439819
19-Nov-13,35.03,35.16,34.51,34.63,14955251
18-Nov-13,35.65,36.19,34.51,34.98,19070025
15-Nov-13,35.80,35.94,35.30,35.47,15615672
14-Nov-13,35.07,35.89,34.76,35.69,21411438
13-Nov-13,33.82,35.12,33.63,35.10,21359387
12-Nov-13,34.00,34.52,33.88,34.07,18227643
11-Nov-13,33.57,33.99,33.25,33.82,15846795
8-Nov-13,32.23,33.12,32.20,33.12,15088528
7-Nov-13,32.99,33.05,32.06,32.11,16861276
6-Nov-13,33.07,33.30,32.71,32.88,10833341
5-Nov-13,33.03,33.08,32.54,32.97,13473928
4-Nov-13,33.20,33.66,33.01,33.19,15779977
1-Nov-13,33.15,33.34,33.00,33.18,15205446
31-Oct-13,32.43,33.12,32.28,32.94,15301928
30-Oct-13,33.33,33.48,32.38,32.57,14292323
29-Oct-13,33.07,34.00,32.82,33.17,29349210
28-Oct-13,32.09,32.70,31.70,32.35,18325684
25-Oct-13,32.31,32.95,32.00,32.25,22271677
24-Oct-13,33.16,33.31,32.81,33.08,15010453
23-Oct-13,33.76,33.84,33.02,33.10,15931696
22-Oct-13,34.24,34.60,33.58,33.94,17557544
21-Oct-13,33.65,34.35,33.65,34.06,17776670
18-Oct-13,33.17,33.75,33.11,33.43,24631231
17-Oct-13,32.88,33.01,32.31,32.74,25229702
16-Oct-13,33.90,34.11,32.83,33.09,44820000
15-Oct-13,34.20,34.32,33.06,33.38,42773930
14-Oct-13,33.80,34.10,33.68,34.00,17613965
11-Oct-13,33.67,34.37,33.61,34.15,17012313
10-Oct-13,33.49,33.91,33.33,33.87,23448116
9-Oct-13,33.07,33.33,31.79,33.01,33509655
8-Oct-13,34.46,34.50,32.10,32.93,42807884
7-Oct-13,34.46,34.69,34.08,34.14,15448721
4-Oct-13,33.96,35.06,33.96,34.89,23950214
3-Oct-13,34.32,34.36,33.20,33.88,23263879
2-Oct-13,34.15,34.70,33.90,34.14,21522524
1-Oct-13,33.36,34.44,33.30,34.31,28180896
30-Sep-13,33.04,33.75,32.68,33.17,28810130
27-Sep-13,33.33,33.85,32.76,33.55,31791543
26-Sep-13,31.65,33.00,31.58,32.75,39233678
25-Sep-13,31.40,32.03,31.12,31.34,19146534
24-Sep-13,30.55,31.66,30.54,31.27,27820580
23-Sep-13,31.03,31.03,30.02,30.26,15658710
20-Sep-13,31.05,31.10,30.76,30.92,14934468
19-Sep-13,30.53,31.05,30.34,31.03,12795013
18-Sep-13,30.01,30.46,29.85,30.44,15574143
17-Sep-13,29.64,30.00,29.31,30.00,10499639
16-Sep-13,29.64,30.04,29.51,29.62,15817078
13-Sep-13,29.47,29.47,28.80,29.26,13838827
12-Sep-13,29.72,30.27,29.50,29.65,22060634
11-Sep-13,29.38,29.41,28.97,29.19,10284043
10-Sep-13,29.43,29.63,29.08,29.48,13007522
9-Sep-13,28.32,29.32,28.32,29.24,20900263
6-Sep-13,28.35,28.50,27.82,28.17,10803202
5-Sep-13,28.10,28.35,27.91,28.23,8991862
4-Sep-13,27.70,28.12,27.60,28.07,8884346
3-Sep-13,27.38,27.87,27.37,27.78,14593875
30-Aug-13,27.39,27.44,26.82,27.12,16344332
29-Aug-13,27.03,27.45,27.03,27.30,13912316
28-Aug-13,26.90,27.24,26.83,27.11,9603606
27-Aug-13,27.24,27.46,26.75,27.00,14489362
26-Aug-13,27.99,28.04,27.70,27.70,9754343
23-Aug-13,28.30,28.32,27.81,27.99,13192856
22-Aug-13,27.60,28.01,27.37,27.90,15728588
21-Aug-13,27.09,27.49,27.00,27.06,8793589
20-Aug-13,26.92,27.31,26.90,27.12,10708746
19-Aug-13,27.27,27.44,26.91,26.91,11875960
16-Aug-13,27.00,27.60,27.00,27.32,14825450
15-Aug-13,27.83,27.83,27.12,27.14,14220326
14-Aug-13,28.19,28.21,28.00,28.05,8474490
13-Aug-13,28.38,28.60,28.23,28.34,14894340
12-Aug-13,27.55,28.37,27.50,28.35,16566758
9-Aug-13,27.41,27.70,27.20,27.68,13051223
8-Aug-13,27.55,27.62,27.23,27.48,8935747
7-Aug-13,27.31,27.51,27.06,27.39,9450679
6-Aug-13,27.67,27.75,27.15,27.32,10951644
5-Aug-13,27.71,27.80,27.45,27.67,7842782
2-Aug-13,28.07,28.09,27.55,27.65,11863388
1-Aug-13,28.35,28.45,27.91,27.96,13157511
31-Jul-13,27.92,28.21,27.57,28.09,20920526
30-Jul-13,28.09,28.23,27.86,28.05,10337715
29-Jul-13,27.95,28.33,27.80,27.93,11095710
26-Jul-13,28.00,28.34,27.74,28.11,11918658
25-Jul-13,27.73,28.46,27.65,28.27,20162969
24-Jul-13,27.54,27.92,27.23,27.84,22747570
23-Jul-13,28.03,28.04,27.21,27.36,25923397
22-Jul-13,28.08,28.42,27.63,27.86,46046390
19-Jul-13,29.41,29.72,29.04,29.11,20756878
18-Jul-13,29.57,29.83,28.73,29.66,35025566
17-Jul-13,27.66,29.73,27.52,29.66,83791379
16-Jul-13,27.30,27.45,26.72,26.88,31375110
15-Jul-13,27.47,27.47,27.06,27.34,16674735
12-Jul-13,27.08,27.44,27.01,27.23,17320013
11-Jul-13,26.95,27.19,26.94,27.04,17590926
10-Jul-13,26.88,27.07,26.19,26.56,15103299
9-Jul-13,25.74,26.70,25.74,26.68,17567705
8-Jul-13,25.72,25.99,25.49,25.52,10478593
5-Jul-13,25.85,26.26,25.52,25.68,11097418
3-Jul-13,24.84,25.64,24.82,25.59,6059036
2-Jul-13,25.27,25.50,24.90,24.99,10132023
1-Jul-13,25.26,25.54,25.18,25.24,10679324
28-Jun-13,25.43,25.54,24.89,25.13,26774731
27-Jun-13,25.47,25.98,25.44,25.47,14489973
26-Jun-13,25.22,25.68,25.01,25.28,12583718
25-Jun-13,24.29,25.00,24.23,24.96,18888350
24-Jun-13,24.98,25.08,23.82,24.06,37007539
21-Jun-13,25.29,25.43,24.94,25.19,24574056
20-Jun-13,26.03,26.05,25.23,25.35,19115437
19-Jun-13,26.60,26.78,26.23,26.24,11404001
18-Jun-13,26.56,26.89,26.50,26.66,9711376
17-Jun-13,26.29,26.85,26.24,26.54,10289754
14-Jun-13,26.32,26.55,26.16,26.28,7372671
13-Jun-13,25.79,26.46,25.71,26.37,9764435
12-Jun-13,26.50,26.53,25.89,25.89,11922810
11-Jun-13,26.43,26.88,26.32,26.40,10046201
10-Jun-13,27.04,27.12,26.70,26.74,15854401
7-Jun-13,26.39,27.09,26.28,27.04,16949819
6-Jun-13,25.88,26.21,25.66,26.21,13562567
5-Jun-13,26.11,26.25,25.68,25.75,14272384
4-Jun-13,26.46,26.56,25.97,26.26,13218221
3-Jun-13,26.37,26.62,26.13,26.39,16454998
31-May-13,26.20,26.60,26.09,26.30,23995914
30-May-13,25.83,26.50,25.80,26.33,12916152
29-May-13,25.90,26.04,25.32,25.81,18741747
28-May-13,26.65,26.77,25.98,26.07,19021175
24-May-13,25.90,26.48,25.65,26.33,14974345
23-May-13,25.95,26.27,25.70,26.02,23389519
22-May-13,27.07,27.19,26.44,26.54,16018560
21-May-13,26.90,27.13,26.72,27.00,14891816
20-May-13,26.68,27.05,26.21,26.58,25099093
17-May-13,26.78,26.98,26.46,26.52,14889255
16-May-13,27.43,27.43,26.57,26.58,18193576
15-May-13,26.63,27.68,26.55,27.34,21963768
14-May-13,26.75,26.87,26.52,26.64,14828685
13-May-13,26.76,26.83,26.36,26.39,15809984
10-May-13,26.32,26.86,26.31,26.83,16240050
9-May-13,26.41,26.49,26.14,26.24,11186968
8-May-13,26.17,26.66,25.96,26.41,24967497
7-May-13,26.01,26.79,25.55,26.07,25883101
6-May-13,25.05,25.34,24.92,25.17,11991366
3-May-13,25.13,25.25,24.99,25.07,11518932
2-May-13,24.34,24.97,24.18,24.97,10652699
1-May-13,24.67,24.72,24.26,24.30,11076495
30-Apr-13,24.38,24.78,24.36,24.73,10097124
29-Apr-13,24.85,24.91,24.35,24.43,12535121
26-Apr-13,25.14,25.37,24.58,24.68,19578899
25-Apr-13,24.93,25.29,24.88,25.20,17298912
24-Apr-13,24.45,24.96,24.44,24.75,15143316
23-Apr-13,23.96,24.45,23.96,24.38,16720491
22-Apr-13,23.71,23.96,23.47,23.95,15540284
19-Apr-13,23.12,23.63,22.83,23.47,17860178
18-Apr-13,23.66,23.70,22.70,23.26,25823399
17-Apr-13,23.45,24.10,23.13,23.70,45154649
16-Apr-13,24.06,24.26,23.76,23.79,30877416
15-Apr-13,24.72,24.99,23.82,23.98,28132812
12-Apr-13,24.58,24.80,24.34,24.69,13342886
11-Apr-13,24.41,24.57,24.31,24.48,12367971
10-Apr-13,24.00,24.32,23.95,24.20,17284863
9-Apr-13,23.56,24.00,23.44,23.83,14773881
8-Apr-13,23.24,23.48,23.12,23.48,9998822
5-Apr-13,23.18,23.41,23.01,23.30,14244036
4-Apr-13,23.49,23.72,23.36,23.52,12523231
3-Apr-13,23.78,23.88,23.24,23.38,14934252
2-Apr-13,23.77,23.90,23.60,23.78,14732283
1-Apr-13,23.31,23.62,23.19,23.50,12344323
28-Mar-13,23.63,23.77,23.45,23.53,17612371
27-Mar-13,23.54,23.83,23.41,23.59,13945214
26-Mar-13,23.46,23.62,23.35,23.59,16893118
25-Mar-13,23.41,23.88,23.30,23.38,23139127
22-Mar-13,22.88,23.26,22.72,23.26,18062036
21-Mar-13,22.39,22.95,22.36,22.86,24723214
20-Mar-13,22.03,22.33,21.95,22.10,18095391
19-Mar-13,22.06,22.33,21.89,22.17,12847240
18-Mar-13,21.90,22.17,21.87,22.01,15071629
15-Mar-13,22.34,22.39,21.97,22.07,33559591
14-Mar-13,22.47,22.75,22.40,22.43,12804383
13-Mar-13,22.48,22.48,22.16,22.34,13957535
12-Mar-13,22.51,22.58,22.19,22.40,12013704
11-Mar-13,22.80,23.00,22.57,22.60,16493882
8-Mar-13,22.92,22.96,22.71,22.90,10586614
7-Mar-13,22.92,23.00,22.65,22.70,12886148
6-Mar-13,23.08,23.09,22.71,22.80,15194256
5-Mar-13,22.91,23.08,22.61,22.95,30497359
4-Mar-13,22.37,22.74,22.20,22.70,30074277
1-Mar-13,21.36,22.28,21.26,21.94,33776653
28-Feb-13,21.06,21.57,21.05,21.30,18876805
27-Feb-13,20.81,21.31,20.69,21.16,15697992
26-Feb-13,20.68,20.85,20.58,20.76,14038337
25-Feb-13,21.26,21.32,20.72,20.73,13336119
22-Feb-13,20.87,21.31,20.85,21.22,13675866
21-Feb-13,20.92,21.00,20.74,20.83,13298052
20-Feb-13,21.31,21.45,20.90,20.92,14444402
19-Feb-13,21.03,21.41,20.97,21.29,16672068
15-Feb-13,21.15,21.25,20.90,21.02,12591323
14-Feb-13,21.10,21.26,21.06,21.18,12817857
